iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,capital_elasticity_alpha,k_pub_share_kappa,self_employment,k_pub_share,k_oth_share,k_prv_share,reconstruction_share_sigma_h,rho,max_increased_spending,income_elasticity_eta
CZE,49681.058065333,10864042.0,0.7455200000000001,0.5393701498150425,0.7777441399174381,1.0,0.925,0.1901309840206049,0.425355419052038,0.43691,0.2068762830607566,0.159759582922946,0.2068762830607566,0.6577036562793889,0.1354200606598543,0.1354200606598543,0.06,0.05,1.5
DEU,63578.141098086,83280000.0,0.77765,0.6063789838354662,0.8288874185926249,0.8333333333333334,0.9166666666666669,0.2180023453970511,0.43167876476861944,0.3863,0.1721630392213487,0.0874656407857717,0.1721630392213487,0.7268401200710436,0.1009968407076078,0.1009968407076078,0.06,0.05,1.5
DNK,72097.3038273778,5946952.0,0.88495,0.6982914904907482,0.7946013699842172,0.8333333333333334,0.9166666666666669,0.2117268243790424,0.4239689138677663,0.4203,0.2608448357294645,0.0858239586703711,0.2608448357294645,0.6609201049474425,0.078235059323093,0.078235059323093,0.06,0.05,1.5
DOM,23087.9343626862,11331265.0,0.84446,0.5853167226634055,0.8114523226201735,0.6666666666666666,0.5416666666666666,0.2486250864217581,0.17723432331158046,0.5261800000000001,0.194381943305443,0.436493366394847,0.194381943305443,0.5783090334022308,0.2273090232923261,0.2273090232923261,0.06,0.05,1.5
ECU,14472.3165053895,17980083.0,0.64792,0.563095812503476,0.5041280465060598,0.6666666666666666,0.4333333333333333,0.1806050261935844,0.13769404548938544,0.4502199999999999,0.4454544814932124,0.532987473669405,0.4454544814932124,0.3359150706893978,0.2186304478173898,0.2186304478173898,0.06,0.05,1.5
EGY,16691.1332373374,114535772.0,0.431,0.6082203936160391,0.661233132045334,0.6666666666666666,0.4666666666666667,0.7411056618723808,0.12552285229834584,0.58236,0.553974064890681,0.274219539653659,0.553974064890681,0.3727266987777803,0.0732992363315387,0.0732992363315387,0.06,0.05,1.5
ESP,47141.5410387803,48347910.0,0.81552,0.6061794448483766,0.846283972014659,0.8333333333333334,0.7666666666666666,0.166704778502992,0.37473232066277246,0.40911,0.2081258693388833,0.153393914212258,0.2081258693388833,0.648252764873238,0.1436213657878785,0.1436213657878785,0.06,0.05,1.5
EST,42471.8236769525,1370286.0,0.6981,0.3661017450190345,0.5575839205548966,0.8181818181818182,0.8257575757575757,0.2239238114723021,0.43138412994968345,0.43631,0.2352917723846148,0.105154862941274,0.2352917723846148,0.6732447888375871,0.0914634387777981,0.0914634387777981,0.06,0.05,1.5
ETH,2755.45709577808,128691692.0,0.23157,0.5417738643394608,0.5874933870575137,0.8333333333333334,0.5083333333333333,0.4834511165692108,0.06820997206180943,0.5951,0.4763948504577115,0.85154740805313,0.4763948504577115,0.3315248721808501,0.1920802773614383,0.1920802773614383,0.06,0.05,1.5
FIN,57063.5249858264,5583911.0,0.85773,0.6963851362078851,0.9111164864944634,0.8333333333333334,0.8916666666666666,0.1999180459504058,0.4265739286453304,0.44523,0.2321439287306758,0.139334034720556,0.2321439287306758,0.654266057633494,0.1135900136358301,0.1135900136358301,0.06,0.05,1.5
FRA,55441.1857994818,68287487.0,0.81777,0.5654372974328619,0.8331997399350071,1.0,0.95,0.1766812468382362,0.42132645052829515,0.40222,0.2426868189590076,0.130925347170912,0.2426868189590076,0.6339569193687974,0.1233562616721951,0.1233562616721951,0.06,0.05,1.5
GAB,18702.6905177984,2484789.0,0.91029,0.4267726317339799,0.2934889000307104,0.8333333333333334,0.5041666666666667,0.2729777731386862,0.06693352380557861,0.7319599999999999,0.3021150603585998,0.337305964052288,0.3021150603585998,0.6211594957461154,0.0767254438952848,0.0767254438952848,0.06,0.05,1.5
GBR,54542.016908202,68350000.0,0.84642,0.642071262418551,0.892841058757993,0.8333333333333334,0.8500000000000001,0.2116697162815504,0.42625668585730864,0.40957,0.2198610748752126,0.156715165830136,0.2198610748752126,0.636371086477487,0.1437678386473004,0.1437678386473004,0.06,0.05,1.5
GEO,22590.5293543813,3715483.0,0.60727,0.4799341211716937,0.3753251800319887,0.8333333333333334,0.6416666666666667,0.2604396764340878,0.3812739084209241,0.49023,0.3861178288330016,0.489158358626632,0.3861178288330016,0.4069067540427023,0.206975417124296,0.206975417124296,0.06,0.05,1.5
GHA,6796.47361923819,33787914.0,0.59238,0.5975740580549966,0.6733557627182511,0.8333333333333334,0.475,0.4015998812071467,0.04568886043298732,0.56556,0.1717632495436755,0.7510598368460341,0.1717632495436755,0.5252198776079359,0.3030168728483887,0.3030168728483887,0.06,0.05,1.5
GIN,3949.34013510824,14405468.0,0.38085,0.491227769978424,0.4747194246428278,0.6666666666666666,0.6666666666666666,0.5326179953434279,0.07583308709919641,0.62568,0.4145797953249539,0.8184914076630091,0.4145797953249539,0.3929860910977747,0.1924341135772713,0.1924341135772713,0.06,0.05,1.5
GMB,2932.28059517915,2697845.0,0.64472,0.5417738643394608,0.5874933870575137,0.8333333333333334,0.8333333333333334,0.5058967226596787,0.08169725151412735,0.58589,0.4514409142145189,0.7487742965867671,0.4514409142145189,0.3587141350919302,0.1898449506935509,0.1898449506935509,0.06,0.05,1.5
GRC,36905.4535773689,10405588.0,0.8067300000000001,0.5450174951544926,0.7755713147866197,0.8333333333333334,0.6666666666666667,0.1247032487295633,0.28936277852406794,0.42877,0.31996727703623,0.371162358945008,0.31996727703623,0.4550290295502065,0.2250036934135633,0.2250036934135633,0.06,0.05,1.5
GTM,12389.385871782,18124838.0,0.53098,0.50202975475267,0.6125539928753647,0.6666666666666666,0.5583333333333333,0.3252414222281725,0.18070439655011555,0.5234099999999999,0.2291045588880606,0.4392842036535,0.2291045588880606,0.5506437648704438,0.2202516762414956,0.2202516762414956,0.06,0.05,1.5
HND,6468.30192068321,10644851.0,0.60212,0.2604377998089767,0.5335129090244716,0.8333333333333334,0.6041666666666667,0.242592640152496,0.12120407572983878,0.42805,0.3070449444945375,0.459221586307969,0.3070449444945375,0.4294464230400451,0.2635086324654173,0.2635086324654173,0.06,0.05,1.5
HRV,41116.8704725701,3859686.0,0.58575,0.4687164668184457,0.4877557045058928,0.6666666666666666,0.6333333333333333,0.2034149049016802,0.3166530431994725,0.43627,0.3170618403516154,0.134848418306363,0.3170618403516154,0.5815974089141717,0.1013407507342127,0.1013407507342127,0.06,0.05,1.5
HTI,2956.46213701659,11637398.0,0.59656,0.3983119757086822,0.6205710009432347,0.5,0.5,0.1143319686014651,0.09244371164253003,0.4944700000000001,0.3643993893903692,0.7458229751745981,0.3643993893903692,0.360623419789609,0.2749771908200218,0.2749771908200218,0.06,0.05,1.5
HUN,40543.9936316007,9592186.0,0.7286400000000001,0.6448860437011493,0.7762924710809507,0.8333333333333334,0.7083333333333334,0.2093766840969745,0.4859791034778407,0.52869,0.2321231644391211,0.126754663579263,0.2321231644391211,0.6899177358639644,0.0779590996969143,0.0779590996969143,0.06,0.05,1.5
IDN,13889.8828825663,281190067.0,0.58572,0.7011917233988042,0.7309248779754527,0.6666666666666666,0.6333333333333333,0.1761408179006248,0.16136473634726886,0.41441,0.1462758784443502,0.534448353390389,0.1462758784443502,0.4863935976804502,0.3673305238751994,0.3673305238751994,0.06,0.05,1.5
IND,9160.06365370888,1438069596.0,0.3636399999999999,0.7738320593043702,0.766967178241663,1.0,0.775,0.2680875156035308,0.12747753671077178,0.4310699999999999,0.3044996423644062,0.768696430156531,0.3044996423644062,0.3452415930278429,0.3502587646077509,0.3502587646077509,0.06,0.05,1.5
IRL,114922.392692015,5307600.0,0.6446599999999999,0.5127947441090477,0.8874838915392584,0.8181818181818182,0.8340909090909091,0.274919206221943,0.3859607391974109,0.6938500000000001,0.1424381729132829,0.1395593871263269,0.1424381729132829,0.8078177782028895,0.0497440488838275,0.0497440488838275,0.06,0.05,1.5
IRN,15912.0299184195,90608707.0,0.7725700000000001,0.5945261939061661,0.436906467022161,0.8333333333333334,0.8333333333333334,0.1673617841863386,0.053730398562213254,0.61212,0.2371731620121534,0.4246882495483129,0.2371731620121534,0.6010719176008429,0.1617549203870036,0.1617549203870036,0.06,0.05,1.5
IRQ,12711.0616746745,45074049.0,0.71599,0.2611828188184946,0.5997007123556064,0.5,0.3666666666666666,0.4073304239369676,0.1168154716331102,0.59656,0.6565013926525455,0.311321550340261,0.6565013926525455,0.2837565806374555,0.0597420267099989,0.0597420267099989,0.06,0.05,1.5
ISL,67255.6720087402,393349.0,0.94042,0.6291541148918254,0.6029074554510778,0.8181818181818182,0.7924242424242425,0.2088920584384275,0.410268241651293,0.37971,0.2315210892556229,0.136748950740004,0.2315210892556229,0.6281545011101073,0.1403244096342698,0.1403244096342698,0.06,0.05,1.5
ISR,48432.1096518058,9756600.0,0.92854,0.3037350504261213,0.7978486816808547,0.7222222222222222,0.7694444444444445,0.2848230351273969,0.3199781285058703,0.49759,0.1546851552148269,0.114040701489842,0.1546851552148269,0.7580310703541623,0.0872837744310107,0.0872837744310107,0.06,0.05,1.5
ITA,53312.0698662293,58993475.0,0.71973,0.6623002024068627,0.7794301766653018,0.8333333333333334,0.7,0.1434501066431165,0.3731143970311482,0.41961,0.2054792368904967,0.215420242555502,0.2054792368904967,0.6121295385910941,0.1823912245184091,0.1823912245184091,0.06,0.05,1.5
JOR,9362.58776056423,11439213.0,0.9202,0.5705707672674138,0.7056089058662753,0.5,0.4333333333333333,0.3098295810740082,0.21035896626097952,0.56101,0.309929046953581,0.11666866119959,0.309929046953581,0.6323424158291251,0.0577285372172939,0.0577285372172939,0.06,0.05,1.5
JPN,46157.6360184941,124516650.0,0.92043,0.5890552972778644,0.7847495148207655,0.8333333333333334,0.8083333333333333,0.2106785735429563,0.43944473260757894,0.43671,0.3377069010284831,0.0968754646337039,0.3377069010284831,0.5887286669034301,0.0735644320680868,0.0735644320680868,0.06,0.05,1.5
KAZ,34703.2349286604,20330104.0,0.58179,0.4874772623375023,0.6738272052386438,1.0,0.7916666666666667,0.4992063423501769,0.2613852310654991,0.58449,0.1908235010127013,0.256401253668204,0.1908235010127013,0.6844238747440162,0.1247526242432823,0.1247526242432823,0.06,0.05,1.5
KEN,5682.98916248678,55339003.0,0.2952,0.6358429590097112,0.5578241153792867,0.6666666666666666,0.4833333333333333,0.442077796979773,0.0824714879821443,0.63979,0.3504660682264093,0.6139698783941681,0.3504660682264093,0.4826833569715559,0.1668505748020347,0.1668505748020347,0.06,0.05,1.5
KOR,50572.2499861828,51712619.0,0.8145600000000001,0.6918635585867663,0.9462272774829674,1.0,0.9416666666666668,0.202797209207779,0.3787277434253316,0.40246,0.2058308271007059,0.23452051295509,0.2058308271007059,0.5890601593738642,0.2051090135254299,0.2051090135254299,0.06,0.05,1.5
LAO,8372.15591874407,7664993.0,0.38247,0.5617039206533438,0.7068764904028856,0.3333333333333333,0.2291666666666666,0.2864886795282072,0.09125201185639624,0.54714,0.5334457503891898,0.788568762502874,0.5334457503891898,0.2823004028937467,0.1842538467170634,0.1842538467170634,0.06,0.05,1.5
LBN,11474.7505845558,5773493.0,0.89432,0.3565122472738893,0.532533392684082,0.5,0.25,0.1778802634087515,0.2461860613688069,0.56323,0.1277240199274969,0.298085456368104,0.1277240199274969,0.7085007790911255,0.1637752009813775,0.1637752009813775,0.06,0.05,1.5
