iso3,hazard,protection
TUN,Earthquake,0.0
TUN,Flood,18.55861253050972
TUN,Tsunami,0.0
TUR,Earthquake,0.0
TUR,Flood,18.12234076589479
TUR,Tsunami,0.0
TZA,Earthquake,0.0
TZA,Flood,1.968519954600199
TZA,Storm surge,0.3793602063981523
TZA,Tsunami,0.0
TZA,Wind,0.0
UGA,Earthquake,0.0
UGA,Flood,1.529017771501006
UKR,Earthquake,0.0
UKR,Flood,9.271870953945935
URY,Earthquake,0.0
URY,Flood,46.96074307270953
USA,Earthquake,0.0
USA,Flood,458.6981328030826
USA,Storm surge,96.05204297834209
USA,Tsunami,0.0
USA,Wind,0.0
UZB,Earthquake,0.0
UZB,Flood,9.039966627458808
VNM,Earthquake,0.0
VNM,Flood,18.2452584815773
VNM,Storm surge,3.720332321796721
VNM,Tsunami,0.0
VNM,Wind,0.0
ZAF,Earthquake,0.0
ZAF,Flood,100.0000048883162
ZAF,Tsunami,0.0
ZMB,Earthquake,0.0
ZMB,Flood,6.529094939141981
ZWE,Earthquake,0.0
ZWE,Flood,2.020500802515371
