iso3,hazard,rp,income_cat,fa,income_cat,v_ew
ALB,Flood,10.0,q3,0.0092956000917269,q3,0.6693468853417732
ALB,Flood,10.0,q4,0.0092956000917269,q4,0.32333644670422507
ALB,Flood,10.0,q5,0.0092956000917269,q5,0.28686295086075986
ALB,Flood,25.0,q1,0.0214562863085382,q1,0.6693468853417732
ALB,Flood,25.0,q2,0.0218083850017109,q2,0.6693468853417732
ALB,Flood,25.0,q3,0.018860951710288,q3,0.6693468853417732
ALB,Flood,25.0,q4,0.018860951710288,q4,0.32333644670422507
ALB,Flood,25.0,q5,0.018860951710288,q5,0.28686295086075986
ALB,Flood,50.0,q1,0.0296774724744379,q1,0.6693468853417732
ALB,Flood,50.0,q2,0.0301644812291059,q2,0.6693468853417732
ALB,Flood,50.0,q3,0.0260877100153643,q3,0.6693468853417732
ALB,Flood,50.0,q4,0.0260877100153643,q4,0.32333644670422507
ALB,Flood,50.0,q5,0.0260877100153643,q5,0.28686295086075986
ALB,Flood,100.0,q1,0.0329421741858592,q1,0.6693468853417732
ALB,Flood,100.0,q2,0.0334827568530701,q2,0.6693468853417732
ALB,Flood,100.0,q3,0.0289575161151789,q3,0.6693468853417732
ALB,Flood,100.0,q4,0.0289575161151789,q4,0.32333644670422507
ALB,Flood,100.0,q5,0.0289575161151789,q5,0.28686295086075986
ALB,Flood,250.0,q1,0.0347629115713973,q1,0.6693468853417732
ALB,Flood,250.0,q2,0.0353333726269202,q2,0.6693468853417732
ALB,Flood,250.0,q3,0.0305580186164941,q3,0.6693468853417732
ALB,Flood,250.0,q4,0.0305580186164941,q4,0.32333644670422507
ALB,Flood,250.0,q5,0.0305580186164941,q5,0.28686295086075986
ALB,Flood,500.0,q1,0.0363277242647086,q1,0.6693468853417732
ALB,Flood,500.0,q2,0.0369238639720005,q2,0.6693468853417732
ALB,Flood,500.0,q3,0.0319335528641166,q3,0.6693468853417732
ALB,Flood,500.0,q4,0.0319335528641166,q4,0.32333644670422507
ALB,Flood,500.0,q5,0.0319335528641166,q5,0.28686295086075986
ALB,Flood,1000.0,q1,0.0381333834873774,q1,0.6693468853417732
ALB,Flood,1000.0,q2,0.0387591541496014,q2,0.6693468853417732
ALB,Flood,1000.0,q3,0.033520801044639,q3,0.6693468853417732
ALB,Flood,1000.0,q4,0.033520801044639,q4,0.32333644670422507
ALB,Flood,1000.0,q5,0.033520801044639,q5,0.28686295086075986
ALB,Flood,2500.0,q1,0.0410184951167331,q1,0.6693468853417732
ALB,Flood,2500.0,q2,0.0416916105999455,q2,0.6693468853417732
ALB,Flood,2500.0,q3,0.0360569319639218,q3,0.6693468853417732
ALB,Flood,2500.0,q4,0.0360569319639218,q4,0.32333644670422507
ALB,Flood,2500.0,q5,0.0360569319639218,q5,0.28686295086075986
ALB,Flood,5000.0,q1,0.0436313489817803,q1,0.6693468853417732
ALB,Flood,5000.0,q2,0.0443473415229377,q2,0.6693468853417732
ALB,Flood,5000.0,q3,0.0383537371922843,q3,0.6693468853417732
ALB,Flood,5000.0,q4,0.0383537371922843,q4,0.32333644670422507
ALB,Flood,5000.0,q5,0.0383537371922843,q5,0.28686295086075986
ALB,Tsunami,10.0,q1,8.515780419446719e-05,q1,0.7
ALB,Tsunami,10.0,q2,8.515780419446719e-05,q2,0.7
ALB,Tsunami,10.0,q3,8.515780419446719e-05,q3,0.7
ALB,Tsunami,10.0,q4,8.515780419446719e-05,q4,0.3381438199677123
ALB,Tsunami,10.0,q5,8.515780419446719e-05,q5,0.2999999999999999
ALB,Tsunami,25.0,q1,0.0001914027720024,q1,0.7
ALB,Tsunami,25.0,q2,0.0001914027720024,q2,0.7
ALB,Tsunami,25.0,q3,0.0001914027720024,q3,0.7
ALB,Tsunami,25.0,q4,0.0001914027720024,q4,0.3381438199677123
ALB,Tsunami,25.0,q5,0.0001914027720024,q5,0.2999999999999999
ALB,Tsunami,50.0,q1,0.0003419319867805,q1,0.7
ALB,Tsunami,50.0,q2,0.0003419319867805,q2,0.7
ALB,Tsunami,50.0,q3,0.0003419319867805,q3,0.7
ALB,Tsunami,50.0,q4,0.0003419319867805,q4,0.3381438199677123
ALB,Tsunami,50.0,q5,0.0003419319867805,q5,0.2999999999999999
ALB,Tsunami,100.0,q1,0.0006026614458272,q1,0.7
ALB,Tsunami,100.0,q2,0.0006026614458272,q2,0.7
ALB,Tsunami,100.0,q3,0.0006026614458272,q3,0.7
ALB,Tsunami,100.0,q4,0.0006026614458272,q4,0.3381438199677123
ALB,Tsunami,100.0,q5,0.0006026614458272,q5,0.2999999999999999
ALB,Tsunami,250.0,q1,0.0013311500745178,q1,0.7
ALB,Tsunami,250.0,q2,0.0013311500745178,q2,0.7
ALB,Tsunami,250.0,q3,0.0013311500745178,q3,0.7
ALB,Tsunami,250.0,q4,0.0013311500745178,q4,0.3381438199677123
ALB,Tsunami,250.0,q5,0.0013311500745178,q5,0.2999999999999999
ALB,Tsunami,500.0,q1,0.002403351543988,q1,0.7
ALB,Tsunami,500.0,q2,0.002403351543988,q2,0.7
ALB,Tsunami,500.0,q3,0.002403351543988,q3,0.7
ALB,Tsunami,500.0,q4,0.002403351543988,q4,0.3381438199677123
ALB,Tsunami,500.0,q5,0.002403351543988,q5,0.2999999999999999
ALB,Tsunami,1000.0,q1,0.0043481753392582,q1,0.7
ALB,Tsunami,1000.0,q2,0.0043481753392582,q2,0.7
ALB,Tsunami,1000.0,q3,0.0043481753392582,q3,0.7
ALB,Tsunami,1000.0,q4,0.0043481753392582,q4,0.3381438199677123
ALB,Tsunami,1000.0,q5,0.0043481753392582,q5,0.2999999999999999
ALB,Tsunami,2500.0,q1,0.0094466046550786,q1,0.7
ALB,Tsunami,2500.0,q2,0.0094466046550786,q2,0.7
ALB,Tsunami,2500.0,q3,0.0094466046550786,q3,0.7
ALB,Tsunami,2500.0,q4,0.0094466046550786,q4,0.3381438199677123
ALB,Tsunami,2500.0,q5,0.0094466046550786,q5,0.2999999999999999
ALB,Tsunami,5000.0,q1,0.0169540356273627,q1,0.7
ALB,Tsunami,5000.0,q2,0.0169540356273627,q2,0.7
ALB,Tsunami,5000.0,q3,0.0169540356273627,q3,0.7
ALB,Tsunami,5000.0,q4,0.0169540356273627,q4,0.3381438199677123
ALB,Tsunami,5000.0,q5,0.0169540356273627,q5,0.2999999999999999
ARG,Earthquake,10.0,q1,0.0016268120840986,q1,0.4280702923864284
ARG,Earthquake,10.0,q2,0.0016268120840986,q2,0.3203704712271822
ARG,Earthquake,10.0,q3,0.0016268120840986,q3,0.275838732624553
ARG,Earthquake,10.0,q4,0.0016268120840986,q4,0.4366425297624744
ARG,Earthquake,10.0,q5,0.0016268120840986,q5,0.633830795978134
ARG,Earthquake,25.0,q1,0.0040653145700576,q1,0.4280702923864284
ARG,Earthquake,25.0,q2,0.0040653145700576,q2,0.3203704712271822
ARG,Earthquake,25.0,q3,0.0040653145700576,q3,0.275838732624553
ARG,Earthquake,25.0,q4,0.0040653145700576,q4,0.4366425297624744
