iso3,income_cat,income_share,liquidity,axfin,diversified_share,n,c,gamma_SP,k
HTI,q2,0.1028971028971029,63.92853168783443,0.0864286377009329,0.12019535727527642,0.2,1521.056943619924,0.6689343074590595,12897.052589265315
HTI,q3,0.1518481518481518,54.15402237335207,0.1048917969917812,0.07933378076773179,0.2,2244.666557575033,0.6515688181847232,19916.489561890794
HTI,q4,0.2197802197802197,85.50341452037333,0.1541248875789316,0.08519136949608386,0.2,3248.8594912270205,1.0126907270679764,28643.0941556981
HTI,q5,0.4705294705294705,100.2848389888083,0.1920848504500161,0.08898736578319233,0.2,6955.512819854214,2.2646850370790603,61067.804091506325
HUN,q1,0.09,1466.255097382274,0.1318740468114005,0.8146712925343891,0.2,18244.797134220313,0.7543577059526616,31417.57375388717
HUN,q2,0.132,1545.591645293547,0.219313918530023,0.619857341063681,0.2,26759.035796856464,0.8418177698882963,94516.57512535408
HUN,q3,0.177,1772.253486786821,0.3192081579499544,0.5840988506999848,0.2,35881.43436396662,1.0636825311421174,138659.8812199979
HUN,q4,0.22,1746.5967582238986,0.3770486351066004,0.4895209332449686,0.2,44598.39299476077,1.108016831826635,211537.83511115634
HUN,q5,0.381,1822.1327431357108,0.5467674951093731,0.31432392714317414,0.2,77236.30786819934,1.2321251611902895,492075.1203587911
IDN,q1,0.079,512.3430098036059,0.0728842834622945,0.12765525247408316,0.2,5486.503738613688,0.31248354422831914,32400.42457842442
IDN,q2,0.1159999999999999,507.8786968491977,0.1439433191521393,0.1644169761865244,0.2,8056.132071888446,0.5909707929182142,45570.42267352881
IDN,q3,0.152,535.6043752555349,0.1480915551266056,0.21092096571391405,0.2,10556.310990750388,0.9934012695165153,56389.6698446728
IDN,q4,0.207,565.0124700686652,0.2492578257221486,0.14563224543243125,0.2,14376.02878345612,0.9340911616413241,83147.77915571355
IDN,q5,0.446,564.1717136542596,0.3624811241142319,0.15695457527163958,0.2,30974.43882812285,2.169053231695627,176775.18239037626
IND,q1,0.0799200799200799,283.92518115139734,0.0502245740855072,0.11223030332986994,0.2,3660.3650963871637,0.3518053079394067,13892.215616745058
IND,q2,0.1218781218781218,305.2015990367542,0.0941720334337496,0.09560880358997181,0.2,5582.056771990422,0.4570460693399701,21582.282277766124
IND,q3,0.1638361638361638,314.12284363920537,0.0993120968755837,0.11496280053791186,0.2,7503.748447593685,0.73876012629298,28391.385380986827
IND,q4,0.2247752247752248,342.6148782595777,0.1509226271449145,0.13282855592713472,0.2,10294.776833588901,1.1710521432034922,38165.3015227279
IND,q5,0.4095904095904096,374.2983838431086,0.2426856427831661,0.1420048574909598,0.2,18759.371118984214,2.2813363532241504,68809.73692629614
IRL,q1,0.0889110889110889,3831.98668098585,0.5670637095810129,0.48708260112033164,0.2,51089.37537257409,0.5610291417892587,155230.4093181391
IRL,q2,0.1308691308691308,3979.24958967161,0.6289054417315803,0.3686765730745485,0.2,75198.96824502475,0.6250426246773989,281230.59502817254
IRL,q3,0.1698301698301698,3992.207671462923,0.6657803404694854,0.4379284180450096,0.2,97586.44734087185,0.9634847544946936,324922.59594309964
IRL,q4,0.2187812187812187,4030.45997491101,0.6379090542140701,0.3582340555220913,0.2,125714.3056920643,1.0153219656361834,477925.43822364707
IRL,q5,0.3916083916083916,4027.1413338808647,0.6728804412672224,0.3617311942274065,0.2,225022.86680953985,1.8351215134024654,850803.0760846719
IRN,q1,0.072,634.645196564873,0.1759897016055211,0.09046578277706496,0.2,5728.330770631019,0.6061314017991878,32898.4884030824
IRN,q2,0.119,644.7871517289781,0.2092346298722513,0.05805351463731179,0.2,9467.657801459602,0.642873347928087,56311.564902140395
IRN,q3,0.163,695.0679723956574,0.199637167915027,0.04706173125410196,0.2,12968.304383511892,0.7138475052940901,78032.72577288344
IRN,q4,0.2239999999999999,688.6622753558403,0.2634401264517911,0.04980270478423143,0.2,17821.47350862983,1.0381279657502234,106926.71222380371
IRN,q5,0.422,699.9290600776046,0.3420916463102973,0.05090432676383416,0.2,33574.38312786514,1.999019779228411,201208.74381248257
IRQ,q1,0.088,503.50252595065473,0.0,0.12955245779273072,0.2,5592.867136856779,0.48797544222425204,13532.523940971281
IRQ,q2,0.131,526.7858247675218,0.0090503182715976,0.11454403049185868,0.2,8325.745396911798,0.6422637252007803,20492.351397339924
IRQ,q3,0.171,574.4269410907408,0.0120109400180943,0.11606852116064448,0.2,10867.957731846696,0.849532893245819,26703.503182970333
IRQ,q4,0.225,571.173505163474,0.0095675858519416,0.10922143662647377,0.2,14299.944384008813,1.0518650867643762,35408.35932810452
IRQ,q5,0.385,574.5511547559407,0.0603216061251828,0.11944687530776521,0.2,24468.793723748415,1.9683628525647725,59892.138557860606
ISL,q1,0.0969999999999999,2817.588951133144,0.7157355524143663,0.5399708401406569,0.2,32619.000924238964,0.6383283688109789,121809.05407141754
ISL,q2,0.142,3032.291090319983,0.6281828517973378,0.3850784066334797,0.2,47751.52712620554,0.6664070989490614,238358.45591827788
ISL,q3,0.179,3025.1766310149596,0.7802974995918048,0.42623754911570444,0.2,60193.82644782248,0.9298370376491296,280354.5631249853
ISL,q4,0.223,3056.236003309555,0.8796460906041645,0.39576248134860914,0.2,74990.07428974533,1.075577200242471,367819.73440592695
ISL,q5,0.359,2902.980069029049,0.7843717446179107,0.38623504674998366,0.2,120723.93125568867,1.6898502943483584,601476.9790697003
ISR,q1,0.0559440559440559,1963.6624790600556,0.4488651972984354,0.3618631628698088,0.2,13547.443259246367,0.316335574593971,44634.75600239347
