iso3,hazard,rp,income_cat,fa,n,v_ew
ALB,Flood,1000.0,q4,0.03130261428500283,0.2,0.3233364467042251
ALB,Flood,2500.0,q4,0.03367092069381628,0.2,0.3233364467042251
ALB,Flood,5000.0,q4,0.035815738416264745,0.2,0.3233364467042251
ALB,Tsunami,10.0,q4,7.9835441432313e-05,0.2,0.33814381996771237
ALB,Tsunami,25.0,q4,0.00017944009875233452,0.2,0.33814381996771237
ALB,Tsunami,50.0,q4,0.0003205612376067963,0.2,0.33814381996771237
ALB,Tsunami,100.0,q4,0.000564995105463093,0.2,0.33814381996771237
ALB,Tsunami,250.0,q4,0.0012479531948604934,0.2,0.33814381996771237
ALB,Tsunami,500.0,q4,0.0022531420724888427,0.2,0.33814381996771237
ALB,Tsunami,1000.0,q4,0.004076414380554654,0.2,0.33814381996771237
ALB,Tsunami,2500.0,q4,0.008856191864136238,0.2,0.33814381996771237
ALB,Tsunami,5000.0,q4,0.015894408400652593,0.2,0.33814381996771237
ALB,Earthquake,10.0,q5,0.003708196372310365,0.2,0.11349823051308817
ALB,Earthquake,25.0,q5,0.009245786835142666,0.2,0.11349823051308817
ALB,Earthquake,50.0,q5,0.01844959339107201,0.2,0.11349823051308817
ALB,Earthquake,100.0,q5,0.03673241474983016,0.2,0.11349823051308817
ALB,Earthquake,250.0,q5,0.09057960569454047,0.2,0.11349823051308817
ALB,Earthquake,500.0,q5,0.15314283178745378,0.2,0.11349823051308817
ALB,Earthquake,1000.0,q5,0.19858687694650856,0.2,0.11349823051308817
ALB,Earthquake,2500.0,q5,0.27609760125986305,0.2,0.11349823051308817
ALB,Earthquake,5000.0,q5,0.35087062234603716,0.2,0.11349823051308817
ALB,Flood,10.0,q5,0.00868047824488076,0.2,0.2868629508607599
ALB,Flood,25.0,q5,0.017612857629774117,0.2,0.2868629508607599
ALB,Flood,50.0,q5,0.02436139646849387,0.2,0.2868629508607599
ALB,Flood,100.0,q5,0.02704129762287311,0.2,0.2868629508607599
