iso3,hazard,protection
THA,Tsunami,1.0
THA,Wind,1.0
TJK,Earthquake,1.0
TJK,Flood,2.609937059854746
TUN,Earthquake,1.0
TUN,Flood,18.55861253050972
TUN,Tsunami,1.0
TUR,Earthquake,1.0
TUR,Flood,18.12234076589479
TUR,Tsunami,1.0
TZA,Earthquake,1.0
TZA,Flood,1.968519954600199
TZA,Storm surge,1.0
TZA,Tsunami,1.0
TZA,Wind,1.0
UGA,Earthquake,1.0
UGA,Flood,1.529017771501006
URY,Earthquake,1.0
URY,Flood,46.96074307270953
USA,Earthquake,1.0
USA,Flood,458.6981328030826
USA,Storm surge,96.05204297834209
USA,Tsunami,1.0
USA,Wind,1.0
VNM,Earthquake,1.0
VNM,Flood,18.2452584815773
VNM,Storm surge,3.720332321796721
VNM,Tsunami,1.0
VNM,Wind,1.0
ZAF,Earthquake,1.0
ZAF,Flood,100.0000048883162
ZAF,Tsunami,1.0
ZMB,Earthquake,1.0
ZMB,Flood,6.529094939141981
ZWE,Earthquake,1.0
ZWE,Flood,2.020500802515371
