iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco_PDS,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,reco_fee,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7430143350200373,0.8203511395181686,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.0444874497808178,0.2102081880793796,0.095763822443,0.06,0.05,0.8,1.5,1.8602784365289795,7.6731663798159575,1.9183958579970496e-05,3229394061.453162,3284.0322699034214,0.004807166120969369,2505.2018540463364,0.9348532507211091,1.5791038342742953e-05,3.3929202372275437e-06,6.995057229004342,0.01809654579601093,6.060203978283233,796.0525027570573,0.0008750357158637434,0.08,0.7787506296158354,0.7787506296158353,0.7787506296158353,0.08000000000000002,9043.676227180611,0.0047214809088252235,115.30343045801611,0.07961630244810393,6.0602039782832335,0.19062610739837807,9.508506938567741,1627726805.9502385,0.0015182021238264456,0.8069791008609981,0.0012251573848107227
BGR,26961.2912585423,6465097.0,0.76363,0.4856640200425024,0.5481724147748034,0.8333333333333334,0.7250000000000001,0.3470229186386416,0.2779317433954221,0.0801391761858496,0.002478634814,0.06,0.05,0.8,1.5,1.5874518621332678,28.790782680774978,8.285160988212039e-06,262329119.66520923,53.56436944940668,0.011551875925783309,2696.12912585423,3.0140367886036024,8.14828077734685e-06,1.368802108651889e-07,29.497549863595445,0.034036445206934926,26.483513074991844,124.2224670950623,0.0018573690087940983,0.05,1.2762817020226482,1.2762817020226482,1.2762817020226482,0.020000000000000004,7769.3114230928795,0.01114421405276459,120.65503570482865,0.019171454585262978,26.483513074991844,0.03243560447601677,36.67853523042481,237130288.08261374,0.0013604146358829805,0.7849490853411467,0.0010678562241210547
BIH,16737.226012295796,3233526.0,0.49841,0.202715421325147,0.3587490009203474,0.7407407407407408,0.5203703703703704,0.3638449267006413,0.1932890358513667,0.1380499995836406,0.000749787577,0.06,0.05,0.8,1.5,3.7561577757292532,16.314773614170452,9.339633116269604e-06,184120867.84894517,30.199946511918785,0.009314574120964895,1673.72260122958,1.6138665116319066,8.235947650528665e-06,1.1036854657409393e-06,15.676385635158937,0.02112972744723471,14.062519123527029,212.87049222239932,0.001058039781432153,0.05000000000000001,1.293086783569746,1.2933579016183292,1.293086783569746,0.02,4600.098773966579,0.006306815997264241,76.09561477149393,0.0194533281368864,14.062519123527029,0.04184332094098354,20.223440306295174,65393020.03985341,0.0012082910448504593,0.8067259263050299,0.0009747597124030592
BLR,19092.111174022295,9228071.0,0.80326,0.4236035393738244,0.4612760789957857,0.8333333333333334,0.5166666666666667,0.3634728967331161,0.4667404971254493,0.0369119498691073,0.0,0.06,0.05,0.8,1.5,0.9640634358554225,1.0597592754770166,4.4532724164205916e-07,445779116.3576208,4.109511404107078,0.011089362847787523,1909.2111174022295,0.059230881859452376,4.3771587754710705e-07,7.6113640949521e-09,1.07987237608674,0.05052461086637715,1.0206414942272874,61.07350932876171,6.405032505853917e-05,0.05000000000000001,0.02552155974795264,0.02552155974795264,0.02552155974795264,0.02,5252.691836343684,0.000384301950351235,55.973213528590115,0.019967156922411133,1.0206414942272874,0.03918059447861809,1.1747898742833625,10841044.369967943,6.153273797618787e-05,0.9020841076992462,5.5507705031540957e-05
BOL,8244.235658484637,12224110.0,0.7082999999999999,0.3505492399830046,0.6197954434967983,0.5,0.3666666666666666,0.4823807976371062,0.1607276599735671,0.1892292538184218,0.019645011375,0.06,0.05,0.8,1.5,0.9260889312483117,17.580172028795612,3.214140393636097e-05,214901956.69892073,392.90005727250957,0.020012676317423338,1648.8471316969276,1.5531986317328506,2.6422091932017095e-05,5.719312004343879e-06,15.806687825519976,0.03472960894582046,14.253489193787127,289.6891926828598,0.002320978354014472,0.09999999999999998,0.9260889312483118,0.9325780714224857,0.9260889312483118,0.039999999999999994,3418.144212567414,0.012776897541302259,77.15515971279984,0.038831743186189496,14.253489193787127,0.10112564432423549,24.059712805470365,294108575.90247834,0.0029183679120949285,0.7306891886422882,0.0021324198818483318
BRA,15093.465117066098,215313498.0,0.87555,0.5291082704872349,0.3928613642977452,0.6666666666666666,0.55,0.2423649776461265,0.2714958920331365,0.2044296560543529,0.058245602832,0.06,0.05,0.8,1.5,0.6515526203556345,2.0227195787525503,1.5313111685740011e-06,5785517073.681347,329.71196423213587,0.015195960975245906,3018.69302341322,0.12011518335053688,1.3444919799294925e-06,1.868191886445087e-07,1.7293308943242978,0.07064449100705765,1.6092157109737608,1138.9456458670822,8.632833738577115e-05,0.06666666666666667,0.06844271773836719,0.0684427177383672,0.0684427177383672,0.04000000000000001,12455.153598226429,0.00038336816286149554,136.40196242992334,0.03995768887213213,1.6092157109737608,0.0965330793796279,2.8395327571581013,611389730.6292953,0.00018812994465713888,0.7123423998731944,0.00013401293626507754
BTN,11595.683107514,782455.0,0.43686,0.6224304917176389,0.653216539981002,0.8333333333333334,0.8333333333333334,0.15485283162287,0.0458241761753092,0.2554359126144432,1.5388477e-05,0.06,0.05,0.8,1.5,17.671044653804454,194.97949323422452,0.00019446394596001328,152562679.37858516,152.1592868361422,0.022332764273915236,2319.1366215028,17.688810238099585,0.0001429775653550547,5.148638060495855e-05,162.86353867693833,0.009010008818475041,145.17472843883874,1356.7476123363892,0.008362067797905597,0.1,17.671044653804454,17.69129847698292,17.671044653804454,0.04000000000000001,14976.391436940894,0.024421478383668437,77.3814936857192,0.03636483050505104,145.1747284388387,0.06949746790020542,242.81952282792946,189995349.73432755,0.020940510410342488,0.8029811234428376,0.016814834574763248
BWA,15518.651045267903,2630296.0,0.72224,0.5450701640250646,0.599007672716824,0.6666666666666666,0.6708333333333334,0.2158499620289047,0.1467561032549027,0.1175134459185533,0.154262420302,0.06,0.05,0.8,1.5,0.4963819764008739,6.43598187634046,5.0669714124181336e-06,41750067.333532825,13.327634638197766,0.008626690962102352,1551.8651045267902,0.3291083911004238,4.375180309983092e-06,6.917911024350411e-07,6.00877585928276,0.016354814605333248,5.679667468182336,298.00932483891705,0.00025378883985154976,0.05,0.2224091430290874,0.2224091430290874,0.2224091430290874,0.020000000000000004,7189.554679277535,0.0013263396354447569,58.64880089662995,0.019877257619771226,5.679667468182336,0.04914799106714198,9.79556307551339,25765230.375270568,0.0006312122778545464,0.6570303132883606,0.0004147256006702323
CAN,49296.37921427719,38929902.0,0.8175199999999999,0.7290944203661487,0.7828004369006899,0.6666666666666666,0.825,0.2209511482560882,0.4509591004971903,0.1306246481346276,0.002486375387,0.06,0.05,0.8,1.5,1.1673581492588274,18.83326189719291,1.977769960416242e-06,968987395.6351652,76.99439073754817,0.04259789721042805,9859.27584285544,1.615290509882243,1.8575142554402584e-06,1.2025570497598326e-07,17.988464198527037,0.09458836064295965,16.373173688644794,2546.8813711636544,0.0002960461747416663,0.06666666666666667,0.9633180828929325,0.9633180828929325,0.9633180828929325,0.04,44621.97151122419,0.0017323994422055154,515.5254495331711,0.03986852677575496,16.373173688644794,0.09720221938888352,21.647029500113344,842716737.0305215,0.0004391200701783782,0.8700159944390661,0.00038204148453439417
CHE,72278.2072582055,8775760.0,0.74092,0.8346389202560219,0.9344967924968568,1.0,1.0,0.2289916063398242,0.3883157696464528,0.233723074320163,0.00030503981,0.06,0.05,0.8,1.5,12.808496313284708,75.9592652359178,4.6562587771758174e-06,773181014.6643951,40.86220952638845,0.028110400723139955,7227.820725820549,13.588141619655943,4.230592839978258e-06,4.256659371975589e-07,71.79397386153435,0.03977293931121699,58.20583224187841,2020.6988604503517,0.0008785788591023749,0.049999999999999996,11.330551099431808,11.496218280530256,11.330551099431808,0.02,31563.69284162513,0.0049885529946890285,344.1401082032597,0.019646628115355457,58.20583224187841,0.03493591437096963,90.47907809456377,794022674.379149,0.0012518168549938958,0.8395229796277249,0.001050929016052683
