iso3,hazard,income_cat,exposure_bias
BIH,Flood,q1,0.5970787457479972
BIH,Flood,q2,0.8532164919835933
BIH,Flood,q3,1.1832349207561366
BIH,Flood,q4,1.1832349207561366
BIH,Flood,q5,1.1832349207561366
BLR,Drought,q1,1.1307261257784298
BLR,Drought,q2,1.0122262544027805
BLR,Drought,q3,0.9523492066062634
BLR,Drought,q4,0.9523492066062634
BLR,Drought,q5,0.9523492066062634
BLR,Flood,q1,1.0920240821088518
BLR,Flood,q2,1.0087495093546857
BLR,Flood,q3,0.9664088028454872
BLR,Flood,q4,0.9664088028454872
BLR,Flood,q5,0.9664088028454872
BLZ,Drought,q1,0.9966249758195465
BLZ,Drought,q2,0.9928012166496497
BLZ,Drought,q3,0.9654323054791559
BLZ,Drought,q4,1.0012520294351754
BLZ,Drought,q5,1.043889472616473
BLZ,Flood,q1,0.9966249758195462
BLZ,Flood,q2,0.9928012166496498
BLZ,Flood,q3,0.9654323054791555
BLZ,Flood,q4,1.0012520294351754
BLZ,Flood,q5,1.0438894726164727
BLZ,Heat,q1,0.9966249758195462
BLZ,Heat,q2,0.9928012166496497
BLZ,Heat,q3,0.9654323054791558
BLZ,Heat,q4,1.0012520294351757
BLZ,Heat,q5,1.0438894726164725
BLZ,Storm surge,q1,1.522830414937752
BLZ,Storm surge,q2,1.5169877590696026
BLZ,Storm surge,q3,1.475168407392324
BLZ,Storm surge,q4,1.5299004946050148
BLZ,Storm surge,q5,1.5950499709546977
BLZ,Wind,q1,1.522830414937752
BLZ,Wind,q2,1.5169877590696026
BLZ,Wind,q3,1.475168407392324
BLZ,Wind,q4,1.5299004946050148
BLZ,Wind,q5,1.5950499709546977
BOL,Drought,q1,1.1188721563956032
BOL,Drought,q2,1.0112220897487136
BOL,Drought,q3,0.9716218654958971
BOL,Drought,q4,0.9491419441798928
BOL,Drought,q5,0.9491419441798928
BOL,Flood,q1,1.1038487664076357
BOL,Flood,q2,1.0380590537077776
BOL,Flood,q3,0.9712543344931625
BOL,Flood,q4,0.9434189226957117
BOL,Flood,q5,0.9434189226957117
BOL,Heat,q1,0.8102685279554941
BOL,Heat,q2,1.0506015038810648
BOL,Heat,q3,1.0701074427239234
BOL,Heat,q4,1.0345112627197588
BOL,Heat,q5,1.0345112627197588
BRA,Drought,q1,1.3012574747073853
BRA,Drought,q2,0.9983583996758744
BRA,Drought,q3,0.9359331322601379
BRA,Drought,q4,0.8822254966783012
BRA,Drought,q5,0.8822254966783012
BRA,Flood,q1,0.963593999016625
BRA,Flood,q2,0.8824409492507296
BRA,Flood,q3,0.9675438697971955
BRA,Flood,q4,1.0932105909677248
