iso3,hazard,income_cat,exposure_bias
BDI,Flood,q5,0.8765762224418729
BEL,Drought,q1,0.9905030337352332
BEL,Drought,q2,1.00139346241133
BEL,Drought,q3,1.00139346241133
BEL,Drought,q4,1.00139346241133
BEL,Drought,q5,1.00139346241133
BEL,Flood,q1,0.9911927306486514
BEL,Flood,q2,1.0011484361534686
BEL,Flood,q3,1.0011484361534686
BEL,Flood,q4,1.0011484361534686
BEL,Flood,q5,1.0011484361534686
BEN,Drought,q1,1.1851615699314941
BEN,Drought,q2,1.1079086240594338
BEN,Drought,q3,1.0540609536184593
BEN,Drought,q4,0.9502866986459201
BEN,Drought,q5,0.7025821537446926
BEN,Flood,q1,0.938031509353335
BEN,Flood,q2,0.996052553746773
BEN,Flood,q3,1.0229404065720396
BEN,Flood,q4,1.074568498513672
BEN,Flood,q5,0.9684070318141803
BEN,Heat,q1,1.2733946650227537
BEN,Heat,q2,1.1422803899760265
BEN,Heat,q3,1.0893673210120893
BEN,Heat,q4,0.9879326911540834
BEN,Heat,q5,0.5070249328350465
BFA,Drought,q1,1.1338247833071589
BFA,Drought,q2,1.1219988626036064
BFA,Drought,q3,1.1069476907990847
BFA,Drought,q4,0.9532410700147357
BFA,Drought,q5,0.6839875932754146
BFA,Flood,q1,0.9759765817444743
BFA,Flood,q2,1.004110591894687
BFA,Flood,q3,1.039917513904049
BFA,Flood,q4,1.0193234616521174
BFA,Flood,q5,0.9606718508046722
BFA,Heat,q1,1.017203546479097
BFA,Heat,q2,0.9990044118257474
BFA,Heat,q3,0.9758418768123933
BFA,Heat,q4,0.9579506921583848
BFA,Heat,q5,1.0499994727243778
BGD,Drought,q1,1.2626785002194925
BGD,Drought,q2,1.1821258793074751
BGD,Drought,q3,0.904952711332223
BGD,Drought,q4,0.8689358589964561
BGD,Drought,q5,0.781307050144354
BGD,Flood,q1,1.049986274702232
BGD,Flood,q2,1.0168200699135646
BGD,Flood,q3,0.9582130589571766
BGD,Flood,q4,0.9505974586634085
BGD,Flood,q5,1.0243831377636186
BGD,Heat,q1,1.0762490130468443
BGD,Heat,q2,1.0359628318996075
BGD,Heat,q3,0.9601122950555017
BGD,Heat,q4,0.9502560106068324
BGD,Heat,q5,0.9774198493912147
BGD,Storm surge,q1,0.9013920859434912
BGD,Storm surge,q2,1.0063999703228999
BGD,Storm surge,q3,1.081753665008382
BGD,Storm surge,q4,1.0915453880466086
BGD,Storm surge,q5,0.9189088906786177
BGD,Wind,q1,0.9013920859434912
BGD,Wind,q2,1.0063999703228999
BGD,Wind,q3,1.081753665008382
BGD,Wind,q4,1.0915453880466086
BGD,Wind,q5,0.9189088906786177
BGR,Drought,q1,1.127515115141211
BGR,Drought,q2,0.9681212212146972
BGR,Drought,q3,0.9681212212146971
BGR,Drought,q4,0.9681212212146971
BGR,Drought,q5,0.9681212212146971
BGR,Flood,q1,1.099772994955204
BGR,Flood,q2,0.9750567512611991
BGR,Flood,q3,0.975056751261199
BGR,Flood,q4,0.975056751261199
BGR,Flood,q5,0.975056751261199
BIH,Drought,q1,0.8823481805898469
BIH,Drought,q2,1.0294129548525384
BIH,Drought,q3,1.0294129548525384
BIH,Drought,q4,1.0294129548525384
