iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma,dk,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
ROU,Flood,50.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,1823.2391110149774,0.10749994049302868,0.024089620913283313,0.2,1123.816858469761,1024.1327814440365,425.01510429927515,3953.6310657477725
ROU,Flood,100.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,2032.0324064283036,0.11981059502905435,0.027223821225843818,0.2,1123.816858469761,1141.4141940062527,473.6868905125949,3953.6310657477725
ROU,Flood,250.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,2163.03760070732,0.1275347879251973,0.02923550100568659,0.2,1123.816858469761,1215.0012036255757,504.22549950461394,3953.631065747772
ROU,Flood,500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,2281.8132434976137,0.13453791464337628,0.03109042369844275,0.2,1123.816858469761,1281.7187442288543,531.9132788549745,3953.6310657477716
ROU,Flood,1000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,2426.586130802393,0.1430738640294137,0.03339234457293403,0.2,1123.816858469761,1363.0392133090668,565.6612735232627,3953.6310657477725
ROU,Flood,2500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,2667.404299817549,0.1572727360711383,0.037324705821886024,0.2,1123.816858469761,1498.3093376530185,621.7983751260026,3953.631065747772
ROU,Flood,5000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,2895.8023221197536,0.1707393042562318,0.04117868002970883,0.2,1123.816858469761,1626.6029336183105,675.0402174515988,3953.6310657477716
ROU,Storm surge,10.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Storm surge,25.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Storm surge,50.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
