country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Nigeria,5434.734794999999,5438.922711,185989640,0.054,0.4859699999999999,2177.98517,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.8736444729486806,1.0,0.042629750652000004,1.7686206545724874,6.260293378149054,1164349711.6963265,4.234070548076514e-07,78.74932569713535,1.4075482406678534,0.29739718,27173.673974999998,6.260293378149054,11.072084172277787,11.072084172277785,6.260293378149054,4.234070548076514e-07,0.0017565444928108406,0.9999999999999998,1.4075482406678534,1.4075482406678534,1.4075482406678537,31103.812610734876,3.3976210297414053,3.2000000000000006,0.0394089086,3.393739601658167,2.9593409326459215,11.54236163710407,2146759685.6347966,0.002123813225941243,0.5423754319068221,0.001151904115709303
Norway,64139.54705000001,63810.78642999999,5232929,0.09,0.80734,70812.47742000001,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3359516873480029,1.0,0.39515132317999996,1.2606816289074485,0.9891586075904887,5176196.763259889,1.181730846802387e-09,0.006183913618426768,0.8501612531490281,0.637683888,256558.18820000006,0.9891586075904889,1.247014084665001,1.2470140846650009,0.9891586075904887,1.181730846802387e-09,3.48536141063523e-05,0.8,0.8501612531490281,0.8501612531490281,0.8501612531490281,763675.8434680479,2.719955903271228,2.4000000000000004,0.32770243071999994,0.7504999717785176,0.6604399751650954,1.3060227242482088,6834324.188377455,2.0362206849232942e-05,0.7573823864051692,1.5421976815947726e-05
Pakistan,4854.632259,4866.163456,193203476,0.092,0.39224,1468.192946,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3767173581299691,1.0,0.13487566366,1.2991914911412175,28.53590362190956,5513235770.553917,1.6673800451171682e-06,322.1436205296737,14.68993958805476,0.038437394,24273.161294999998,28.53590362190956,37.07360317761076,37.07360317761076,28.53590362190956,1.6673800451171682e-06,0.004573396485989338,1.0,14.689939588054758,14.68993958805476,14.68993958805476,64433.349754554336,3.3939267453099813,2.4000000000000004,0.127501435,2.780733599999999,2.5137831744,38.37397935393454,7413986199.132387,0.007904610958490838,0.743626387003404,0.005878077287730057
Panama,21334.939679999996,21334.93968,4034119,0.033,0.66895,13680.23601,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.5402427160644628,1.0,0.14067866737299997,1.453668012316749,45.62999577689074,184076832.9334747,3.484313304428022e-07,1.405613450334587,5.982184336413823,0.2219576,106674.6984,45.62999577689074,66.3308652630144,66.33086526301442,45.62999577689074,3.484313304428022e-07,0.001828554213576948,1.0,5.982184336413823,5.982184336413823,5.982184336413824,197456.98595827314,3.3976445783345426,2.4000000000000004,0.15252197019999988,3.4056850967093397,3.078739327425243,73.87924717261818,298037674.7247553,0.0034628289688521958,0.6176294091123679,0.002138745009889372
Papua New Guinea,3878.2877289999988,2620.882403,8084991,0.051,0.13039,2182.716565,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3251812071972436,1.0,0.015918621088999902,1.2505071438850954,37.64881924212715,304390364.73322487,3.0727836546436818e-06,24.843428192741275,9.876116951168406,0.1438,19391.438644999995,37.64881924212715,47.08011742111865,47.08011742111865,37.64881924212715,3.0727836546436818e-06,0.006223377096071417,1.0000000000000002,9.876116951168406,9.876116951168406,9.876116951168406,59632.71620809815,3.3917330538268353,2.4000000000000004,0.016375475799999872,2.854399999999999,2.5803775999999994,50.496578442048666,408264382.2347575,0.013020328034059765,0.7455716882943669,0.009707587954500415
Paraguay,8871.379539999998,8877.606645,6725308,0.045,0.59924,4080.204644,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3682732130696673,1.0,0.16556536897000002,1.291214611165578,16.51198344002503,111048174.32506786,4.1735026356531245e-07,2.8068090663579044,4.818884216606964,0.12248523399999992,44356.8977,16.51198344002503,21.320514277084385,21.320514277084385,16.51198344002503,4.1735026356531245e-07,0.002148270351732979,0.9999999999999998,4.818884216606964,4.818884216606964,4.818884216606964,120445.62603473652,3.3971949846035048,3.2000000000000006,0.18015980719999997,2.1887605999999993,1.9085992431999994,23.72905556717232,159585207.23834854,0.0026747875525086964,0.6958550623004287,0.0018612644589913502
Peru,12071.592379999998,12071.59238,31773839,0.046,0.7892399999999999,6045.650077,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2701986753641919,1.0,0.21630684535399988,1.1985671246105611,251.0807299835116,7977798690.4985695,4.226512537214879e-06,134.29252888894706,161.3850010791875,0.14567199200000003,60357.961899999995,251.08072998351162,300.9371085814582,300.9371085814582,251.0807299835116,4.226512537214879e-06,0.03452326761135362,1.0,161.3850010791875,168.84593600678812,161.38500107918748,223383.6336119912,3.355623613193127,2.4000000000000004,0.20988348979999993,1.152912,1.042232448,381.4150944329758,12119021802.68317,0.03159608794154594,0.658287345331145,0.02079930485388968
Philippines,7236.4670709999955,7236.467070999999,103320222,0.066,0.4428899999999999,2951.071929,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2736571882802758,1.0,0.2460328341339999,1.2018342573076888,313.80127856651575,32422017765.37625,9.030713540110513e-06,933.0553277826241,109.88385334538117,0.182782594,36182.335354999974,313.80127856651575,377.1371265681916,377.1371265681916,313.80127856651575,9.030713540110513e-06,0.05680748440997384,1.0,109.88385334538117,113.1530644487994,109.88385334538117,132217.74140989326,3.3261380869083332,2.4000000000000004,0.23841690379999997,1.1922743481144842,1.077806991251985,378.2618874082162,39082102181.1559,0.052271624218963635,0.8295873547203682,0.04336387846274717
Poland,26035.837899999995,26003.01339,37948016,0.081,0.60531,12372.41706,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4132026319993684,1.0,0.5235896282139999,1.333657816441903,21.37025123262071,810958635.6995105,1.0093738335587953e-07,3.8303734385870496,16.59906990796405,0.245507388,130179.18949999996,21.370251232620706,28.500602595711825,28.500602595711825,21.37025123262071,1.0093738335587953e-07,0.002714591834847252,1.0,16.59906990796405,16.59906990796405,16.59906990796405,315049.27466241055,3.396380079549014,4.0,0.5339679388,0.938124964723147,0.7880249703674436,28.85316166736223,1094920240.6036487,0.0011082094526084845,0.7406554428589381,0.0008208013629021985
Portugal,27102.663699999997,27006.87428,10324611,0.067,0.64017,19813.30825,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1902422674046285,1.0,0.49214697833999993,1.1230351832450347,11.921149092259563,123081227.0505831,4.2404664308069476e-08,0.4378116635664015,2.738759119027257,0.27893372,135513.31849999996,11.921149092259563,13.3878698553171,13.3878698553171,11.921149092259563,4.2404664308069476e-08,0.000994559489581064,1.0,2.738759119027257,2.738759119027257,2.7387591190272564,712319.7192124245,3.398703848628995,3.2000000000000006,0.5049709739999999,0.5049999999999997,0.44035999999999964,12.873180342203753,132910579.36610064,0.00047497841853100784,0.9260453730440623,0.0004398515667764259
Romania,21614.68624,21647.808930000003,19705301,0.085,0.5474899999999999,9474.130604,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2677480378213938,1.0,0.4400844288049999,1.1962520955101494,86.58655959420426,1706214219.358233,4.758235230812561e-07,9.376245745196599,44.76386113644037,0.15855516599999991,108073.4312,86.58655959420426,103.57935335758128,103.57935335758128,86.58655959420426,4.758235230812561e-07,0.0034423733175765535,1.0,44.76386113644037,44.8969465548399,44.76386113644037,403638.55540966603,3.3954337015458385,3.2000000000000006,0.4562559166,2.0004407,1.7443842903999998,102.87655502846191,2027213482.6789055,0.0047595673555547256,0.8416549287663176,0.0040059133235979035
Russian Federation,24416.623880000003,24026.00492,144342396,0.069,0.7410100000000001,8748.364504000001,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3491630039272151,1.0,0.23262767545400004,1.2731618842701848,47.22126618073517,6816030702.681084,2.764371153607176e-07,39.90159557449439,40.86079557331537,0.16870056,122083.11940000003,47.22126618073517,60.12031622828875,60.12031622828875,47.22126618073517,2.764371153607176e-07,0.0039165570625084595,1.0,40.86079557331537,41.01720517994733,40.86079557331537,349645.0598341424,3.394810642986976,0.0,0.24254190820000004,1.1768813801094993,1.1768813801094993,71.7557400420693,10357395444.425425,0.0029388067897808522,0.6580834669540033,0.001933980160926948
Rwanda,1773.7504839999997,1773.750484,11917508,0.052,0.29775,702.8356016,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.712577817249879,1.0,0.11410463509999999,1.6164667809225366,6.204460049530381,73941702.27595872,1.8927397822529278e-06,22.556741496917525,1.2268659104365132,0.325945766,8868.752419999999,6.204460049530381,10.029303563626858,10.029303563626858,6.204460049530381,1.8927397822529278e-06,0.003771059638198448,1.0,1.2268659104365134,1.2268659104365132,1.2268659104365132,12446.012498997006,3.394585956795584,3.2000000000000006,0.108922552,3.4299999999999997,2.990959999999999,9.620602212186494,114653603.82855023,0.005423875736169493,0.6449138954805906,0.0034979328296157242
Senegal,2379.451263999999,2380.3869170000003,15411614,0.061,0.44065,958.0737379,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2262101120163631,1.0,0.22138621966649996,1.1570127117457127,3.987326229426284,61451132.739993334,5.651226086466483e-07,8.709451507135205,1.0744292053148405,0.08662865900000001,11897.256319999993,3.987326229426284,4.613387133323314,4.613387133323314,3.987326229426284,5.651226086466483e-07,0.0006006942623212484,1.0,1.0744292053148403,1.0744292053148405,1.0744292053148405,52593.83063803707,3.3991545700609933,2.4000000000000004,0.2055720613,3.4399999999999995,3.1097599999999996,4.463027337915491,68782454.60340112,0.0018756540238663588,0.8934129073223672,0.0016757335145933404
Serbia,13720.890889999999,13720.08723,7057412,0.09,0.5566800000000001,5348.294064,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2201204533701086,1.0,0.38204577688999986,1.1512600303591554,185.364944461063,1308196783.4188395,1.9984838955721933e-06,14.104124226417943,72.13834930997689,0.10037339999999992,68604.45444999999,185.364944461063,213.40325158776656,213.40325158776653,185.364944461063,1.9984838955721933e-06,0.006952003220405894,1.0,72.13834930997689,87.68839747305135,72.13834930997689,311667.78643077327,3.3911185079596486,1.6000000000000003,0.3918993151999998,2.4653750028,2.3075910026208,218.56171266160436,1542480053.6785586,0.015929119647828085,0.848112609494695,0.013509687231472695
Seychelles,26319.158629999994,26319.15863,94677,0.054,0.54214,15075.71944,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2185476986724669,1.0,0.24113705314697828,1.149774305591921,0.0,0.0,0.0,0.0,0.0,0.752,105276.63451999999,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0,481710.1033755381,2.7200000000000006,2.4000000000000004,0.21568357720033374,1.2,1.056,0.0,0.0,0.0,,
Sierra Leone,1368.829098,1365.865943,7396190,0.079,0.40318,496.0494634,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4068659912801502,1.0,0.044824061730999995,1.3276718199786748,7.303914302583858,54021137.92562771,2.860103545214026e-06,21.15386924007653,2.403229499594997,0.134120294,6844.145490000001,7.303914302583858,9.697201195079785,9.697201195079785,7.303914302583858,2.860103545214026e-06,0.003813134048042736,1.0,2.403229499594997,2.403229499594997,2.403229499594997,16821.620967792853,3.3949636810964954,3.2000000000000006,0.0425775018,3.3937396016581673,2.959340932645922,9.855475288524882,72892967.77423485,0.007199931169584827,0.7411021882514478,0.005335884745039121
Slovak Republic,29212.378199999996,29156.093910000003,5428704,0.085,0.53468,16495.987680000002,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3059018860417959,1.0,0.44261201277,1.2322946629565263,93.10617725946554,505445876.91316956,3.364439820269755e-07,1.8264547910057698,43.719510477070095,0.47587736,146061.89099999997,93.10617725946554,114.7342453251237,114.73424532512368,93.10617725946554,3.364439820269755e-07,0.0024138463453618675,1.0,43.719510477070095,44.27174514412602,43.719510477070095,477479.53727896686,3.396695736118306,3.2000000000000006,0.4452396203999999,2.4657553827999994,2.1501386938016,114.26915475774757,620333417.5100033,0.003911669018366591,0.8147971117564676,0.003187216618312355
Slovenia,29930.03704,29803.44962,2064845,0.096,0.49627,21304.57016,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2213378830398852,1.0,0.40083245856,1.152410092358948,159.82623904149446,330016410.55363464,5.282296229581381e-07,1.0907122958169966,63.78870623307793,0.35709152,149650.1852,159.82623904149443,184.18537089519188,184.18537089519188,159.82623904149446,5.282296229581381e-07,0.003357719863370005,1.0,63.78870623307793,69.72024495353944,63.78870623307794,676116.4566349131,3.3956081895695416,4.0,0.42944019200000005,2.072142975902078,1.7406000997577458,186.0723295362009,384210519.28117675,0.006216909430734233,0.8589468377155982,0.005339994695893449
Solomon Islands,2072.710578,2072.710578,599419,0.07,0.22779,2005.483643,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2968860005415652,1.0,0.09246077489999992,1.2237776803613838,71.45166517550284,42829485.68783473,1.606881084228121e-05,9.63195052626936,25.205221543042924,0.20800000000000002,8290.842311999999,71.45166517550285,87.44095306643513,87.44095306643513,71.45166517550284,1.606881084228121e-05,0.029060865333981667,0.8,25.205221543042924,35.742179566557866,25.205221543042924,27926.013004574965,2.687490519396459,1.8000000000000003,0.07292022399999994,1.7570611999999999,1.598925692,103.17283584954042,61843758.092095666,0.04977676909870067,0.6925433869017871,0.034472572260642376
