iso3,gdp_pc_pp,pop,share1,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,protection,macro_multiplier_Gamma,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dc,dc_npv_post,dc_npv_pre,fa,gamma_SP,help_fee,help_needed,help_received,k,n,social,v,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
BOL,8244.235658484642,12224110.0,0.053,0.7082999999999999,0.5333333333333333,0.4583333333333333,0.4823807976371062,0.1860536296522206,0.06,0.05,0.8,1.5,3.0,1.0,1.3990079401413924,1.5908526343105425,20.94802602671482,7.537467075790315e-07,256070974.43342498,9.213882665583913,0.009243999999999999,1648.847131696928,20.948026026714825,29.30645474166258,29.30645474166258,0.0028761446189993125,0.04,1.5908526343105425,6.524344256420703,1.5908526343105425,3418.1442125674157,0.13140960717921996,0.007900471115382803,0.09459628115436054,38.38929478523794,469274962.2771749,0.004656501387818674,0.5456736349001673,0.0025409300382086895
BWA,15518.651045267896,2630296.0,0.039,0.72224,0.6,0.6958333333333333,0.2158499620289047,0.1813377339842362,0.06,0.05,0.8,1.5,3.0,1.0,1.1472258508628863,2.354625718028692,29.32917585166211,3.3502180643730287e-07,77144413.92592344,0.8812065173848119,0.007912800000000001,3103.7302090535804,29.32917585166211,33.647188721530284,33.647188721530284,0.0008799674691507468,0.040000000000000015,2.354625718028692,5.63982207911064,2.354625718028692,14379.109358555062,0.1345906180678888,0.008206824339886051,0.10190974618369242,44.07197554058793,115922340.97650626,0.0028399359849016516,0.6654835752631854,0.0018899307527509266
BRA,15093.465117066096,215313498.0,0.033,0.87555,0.8666666666666666,0.5416666666666666,0.2423649776461265,0.2800243806130049,0.06,0.05,0.8,1.5,3.0,1.0,1.1722736319727989,5.09905993616241,42.94176168971858,5.821222249428289e-07,9245940919.695698,125.33877251598332,0.0146064,4528.039535119828,42.94176168971858,50.339494939316786,50.33949493931679,0.0028812916919415356,0.06,5.09905993616241,10.861902822594486,5.09905993616241,18682.730397339637,0.20001042939145502,0.019389405863485996,0.097903640566597,73.44573288518303,15813857660.682392,0.004866061723768014,0.5846733363917683,0.0028450565431237243
BGR,26961.291258542296,6465097.0,0.061,0.76363,0.6666666666666667,0.7083333333333334,0.3470229186386416,0.4815435236449999,0.06,0.05,0.8,1.5,3.0,1.0,1.2711402227091062,29.066877753478405,82.02532527981154,4.537933477531596e-07,530301684.39053375,2.933818011178909,0.0110232,5392.258251708459,82.02532527981154,104.2656902439665,104.2656902439665,0.008676417922867767,0.04,29.06687775347841,67.1337100775766,29.066877753478405,15538.62284618576,0.12391096033016824,0.020452203359999997,0.04327893488215426,136.70257871868492,883795431.5664337,0.005070327582154385,0.6000276369958489,0.0030423366779149716
BFA,2158.8585157543994,22673762.0,0.063,0.31877,0.8,0.5666666666666667,0.5136741699207948,0.1229624302928611,0.06,0.05,0.8,1.5,3.0,1.0,1.4285696628448004,0.06062276245813264,0.46155786308605695,1.0116785600584453e-07,10465253.136841841,2.2938558891267893,0.0033296000000000007,431.77170315087994,0.46155786308605695,0.659367560852215,0.6593675608522149,0.0001673288744087937,0.04,0.06062276245813265,0.13372668189293963,0.06062276245813264,840.5556059348991,0.13573925224134664,0.004492362417086046,0.12793553532269017,0.690479069211338,15655758.081279404,0.00031983525746246246,0.668460325109125,0.00021379718018471836
BDI,708.1783133855611,12889576.0,0.069,0.14417,0.6666666666666667,0.25,0.5273924728010927,0.1077888062104686,0.06,0.05,0.8,1.5,3.0,1.0,1.441528849922254,0.07715148381198571,1.7316782747171031,2.242393709429533e-06,22320598.72951498,28.903504139613876,0.0019175999999999998,141.6356626771122,1.7316782747171031,2.496264191788299,2.496264191788299,0.0018971164994641791,0.04000000000000001,0.07715148381198571,0.4885718633115506,0.07715148381198571,268.5583696802787,0.13324517600873265,0.004327566668029421,0.13677057979367255,2.87540209677969,37062713.85700117,0.004060279794552539,0.6022386492158778,0.0024452574189098427
CMR,3723.5323365555096,27914536.0,0.045,0.58733,0.6666666666666667,0.5666666666666667,0.4033385932793022,0.0272384416732871,0.06,0.05,0.8,1.5,3.0,1.0,1.3243396140208026,0.6285942980334434,4.49020092314823,6.487506211731788e-07,125341875.3164545,18.10957256976106,0.00386,744.706467311102,4.49020092314823,5.946550957437977,5.946550957437978,0.0014218184248316482,0.039999999999999994,0.6285942980334434,1.663926083029703,0.6285942980334434,1846.3555923482154,0.1338728198952039,0.0010184659635196682,0.08217700641449166,10.029566632700236,279970698.8329095,0.0026935623827502963,0.4476964047986332,0.0012058981948581476
CAN,48974.58659329692,38929902.0,0.076,0.8175199999999999,0.8666666666666666,0.8333333333333333,0.2209511482560882,0.31838608,0.06,0.05,0.8,1.5,3.0,1.0,1.1520447579253583,10.6002111360952,55.81964135303669,9.319721932846046e-08,2173053167.548866,3.6281586151294714,0.04079880000000001,14692.375977989077,55.81964135303669,64.30672521003947,64.30672521003947,0.0010399868367223614,0.06000000000000001,10.600211136095202,14.677215419208743,10.6002111360952,66496.03812404824,0.2025260609000362,0.022451760000000005,0.08649716885256684,68.75068996553988,2676457622.7908506,0.0014038033753397663,0.8119139077879124,0.0011397674842379712
CHL,25886.1213561616,19603733.0,0.055,0.87912,0.8,0.9,0.2231146309942332,0.2388276879337707,0.06,0.05,0.8,1.5,3.0,1.0,1.1540885222150892,90.81740593279754,239.10605464636123,1.6149343479046229e-06,4687371253.9706745,31.65874176885134,0.0193872,7765.836406848479,239.1060546463612,275.94955325949934,275.94955325949934,0.012857513330670731,0.06000000000000001,90.81740593279754,197.05746241937436,90.81740593279754,34806.486568104985,0.18976091062708075,0.015609925899282529,0.07161330050636694,457.7103667370091,8972831820.844408,0.017681689753341962,0.5223959779432887,0.009236843610386902
CHN,18187.8411189224,1412175000.0,0.072,0.6356,0.8,0.8166666666666667,0.2022686904693058,0.3661948415242874,0.06,0.05,0.8,1.5,3.0,1.0,1.1343961123430204,49.914517050265566,86.46523158504864,7.38661008380575e-07,122104038413.61606,1043.1186095098385,0.04823600000000001,9093.9205594612,86.46523158504864,98.08582256291811,98.08582256291811,0.00781688051972467,0.1,49.914517050265566,80.83042258882821,49.914517050265566,44959.605653061764,0.32913839564282776,0.03788740240441594,0.08744285241853092,123.2771332998285,174088885717.68533,0.006777997041747442,0.7013890514046283,0.004754012915534615
COL,15616.7522199735,51874024.0,0.036,0.8205,0.7333333333333333,1.0,0.3414650517486818,0.444139537969584,0.06,0.05,0.8,1.5,3.0,1.0,1.2658899058581772,-2.6728210898686546,70.31795054155418,8.158080582832457e-07,3647675054.0233946,42.319246794778486,0.014192000000000001,7808.37610998675,70.31795054155418,89.01478379118798,89.01478379118798,0.009233695547934977,0.1,-2.6728210898686546,-3.6447560316390755,-2.6728210898686546,22867.27754421472,0.3282600074714017,0.05474645405110766,0.13865171065218354,108.33179617544666,5619606194.768228,0.006936896651077844,0.6490979843782163,0.004502725634054627
COM,3245.76869721125,836774.0,0.045,0.29864,0.2666666666666666,0.1666666666666666,0.2453295509724245,0.0532611023867247,0.06,0.05,0.8,1.5,3.0,1.0,1.1750741577138877,0.11402925394663357,11.713765510026345,1.531660233388217e-06,9801774.420886785,1.281653460133192,0.009732800000000003,1298.3074788845,11.713765510026345,13.764543140352195,13.764543140352195,0.0015462285343604027,0.08000000000000002,0.11402925394663357,2.5656582137992574,0.11402925394663357,5292.0957697037975,0.26920961587078224,0.004256267416842538,0.2375937531595984,19.271342840546964,16125758.634055845,0.005937374051670661,0.6078333828082051,0.003608934154824637
COD,1132.65423032115,99010212.0,0.055,0.46837,0.4,0.3625,0.3277168959915325,0.0909548732091637,0.06,0.05,0.8,1.5,3.0,1.0,1.2529025178422186,0.15861135036308555,3.5954720451269346,2.6627228401371996e-06,355988449.4280914,263.6367528992263,0.0023880000000000004,226.53084606423002,3.5954720451269346,4.504775978170848,4.504775978170848,0.00199022727774378,0.04,0.15861135036308555,1.0938713818143833,0.15861135036308555,691.2394473249345,0.1327830240895544,0.0034164795380312437,0.11765336249200883,6.906288476577679,683793086.199113,0.0060974375865964735,0.5206084364012296,0.003174377448012077
CRI,22070.9209746683,5180829.0,0.045,0.82042,0.9333333333333332,0.7166666666666667,0.432619322553597,0.3462998094691005,0.06,0.05,0.8,1.5,3.0,1.0,1.3520000652982582,9.698924753752266,56.07542550332946,4.076508206797174e-07,290517190.6349889,2.1119691936512797,0.024850000000000004,11035.46048733415,56.07542550332946,75.81397894212905,75.81397894212904,0.010446477720688166,0.10000000000000002,9.698924753752266,14.628883962782442,9.698924753752266,25508.478036061308,0.3274224121839603,0.0395813875573943,0.06852896617688056,90.95348447413684,471214450.0146579,0.00412096462030415,0.6165286116033832,0.0025406925958227806
CIV,5537.36975768475,28160542.0,0.07,0.52661,0.4,0.4375,0.5264144049225482,0.1122047601190077,0.06,0.05,0.8,1.5,3.0,1.0,1.4406049043931966,0.14722344959355232,2.6761224017591467,1.5928679774803988e-07,75361057.29187933,4.485602558029183,0.0027176000000000006,1107.4739515369502,2.6761224017591467,3.855235056730727,3.8552350567307268,0.0004142572429946981,0.04,0.14722344959355232,0.8412768548202989,0.1472234495935523,2103.806319091693,0.13526891330434349,0.0045394456784292325,0.12496377742400194,4.465801120447673,125759380.01601376,0.00080648418217874,0.5992480026721118,0.00048328403535726145
