iso3,income_cat,axfin,social,n,c,gamma_SP,k
CHL,poor,0.2736,0.37789091425298804,0.2,7120.168362674376,0.4351254342352037,26085.59759672706
CHL,nonpoor,0.3354999999999999,0.23073406100513902,0.8,30577.6096045334,1.141218641441199,138505.62796792234
CHN,poor,0.3406,0.4581189147933587,0.2,6492.319965248129,0.45036901295255083,27244.6100429193
CHN,nonpoor,0.5178,0.3590628013568595,0.8,21111.721407340963,1.1374077467618622,105587.86162192455
COL,poor,0.03,1.0514889431525039,0.2,2823.374637005124,0.42614537456562207,-697.4296495711332
COL,nonpoor,0.1699,0.42145843985071973,0.8,18815.096615715593,1.1434636563585945,57342.55127292958
COM,poor,0.0815,0.052905228252761005,0.2,726.8405527589026,0.223496619924228,2963.037107924463
COM,nonpoor,0.1317,0.0532778713249744,0.8,3875.5007333243366,1.1941258450189431,15797.040003343249
COD,poor,0.0069,0.054830555301083814,0.2,309.46681194217757,0.1657789426315081,981.4666772401864
COD,nonpoor,0.0729,0.09305734673820541,0.8,1338.451084915893,1.208555264342123,4074.879876470794
CRI,poor,0.1273,0.6513703457924847,0.2,4957.493316461759,0.4232122680864083,6091.922692432372
CRI,nonpoor,0.2788,0.3319247580193075,0.8,26349.277889219935,1.1441969329783979,62248.214417045165
CIV,poor,0.0313,0.1213715686790272,0.2,1930.0391534154337,0.37859400075900446,3626.4425626774564
CIV,nonpoor,0.0771,0.11151478528115677,0.8,6439.202408752079,1.1553514998102488,12242.178853653715
HRV,poor,0.1675,0.5829240000000002,0.2,13518.225154776163,0.6540293990550806,42639.42362947972
HRV,nonpoor,0.3087999999999999,0.332253,0.8,39498.37973031934,1.08649265023623,200130.676083087
DNK,poor,0.5135000000000001,0.77950752,0.2,28547.9391633791,0.6851492974334982,66892.29408123878
DNK,nonpoor,0.7791,0.5093314830000001,0.8,67781.91510362684,1.0787126756416254,337123.9183013246
DOM,poor,0.0542,0.28313534998732826,0.2,6229.231227091603,0.4861875854937327,22075.68212378423
DOM,nonpoor,0.171,0.18274078344009498,0.8,22615.2110839456,1.1284531036265666,91705.85770286885
ECU,poor,0.0617,0.2706017419179857,0.2,2530.566745736692,0.4257050639650958,11977.196031237478
ECU,nonpoor,0.1769,0.14340057474230783,0.8,12941.380599957953,1.143573734008726,72164.30854856389
EGY,poor,0.0098,0.10209164102130149,0.2,5728.260508516031,0.36087371965126347,7949.017112691309
EGY,nonpoor,0.0526,0.12979926710278983,0.8,14543.884707443744,1.159781570087184,19569.6581251274
SLV,poor,0.0243999999999999,0.44483624981288356,0.2,2612.8779094095635,0.34520978845987155,7469.966822542698
SLV,nonpoor,0.1132,0.3558223422714853,0.8,11091.797747645443,1.1636975528850322,37007.36019040091
SWZ,poor,0.0643,0.3657313866704609,0.2,1661.7720401790962,0.310046941266351,4272.212271069234
SWZ,nonpoor,0.1898,0.21255861629893527,0.8,10907.785960783986,1.172488264683412,34988.52594130371
