country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
"Korea, Rep.",45467.3821469188,51628117.0,0.075,0.81427,32254.6247153456,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.9416666666666667,0.20279720920777902,1.0,0.17640213849938483
Kyrgyz Republic,5193.70786762567,6803300.0,0.094,0.37461,1606.66807508711,4,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.485430091589271,1.0,0.2728321571377096
Lao PDR,7947.65879715444,7529475.0,0.07,0.37592,2088.37718210612,4,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.2864886795282072,1.0,0.31947814370153477
Latvia,32733.4662982719,1883379.0,0.069,0.6854,21851.1052012696,4,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.13433888017759493,1.0,0.25692679399999996
Lebanon,12986.9128325067,5489739.0,0.079,0.89262,4136.14657516013,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.375,0.17788026340875157,1.0,0.09449929969172469
Lesotho,2282.04718505155,2305825.0,0.046,0.29943,1107.39529790821,4,0.2,1.5,0.06,0.8,0.05,0.4,0.3416666666666667,0.21715833947341423,1.0,0.13141513074488997
Liberia,1460.92350986833,5302681.0,0.072,0.53065,754.532876859838,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.2623024378712349,1.0,0.07342030251270379
Lithuania,39592.7990928621,2833000.0,0.071,0.68465,24826.7910371972,4,0.2,1.5,0.06,0.8,0.05,0.0,0.35833333333333334,0.2598650358328045,1.0,0.3499346320000001
Luxembourg,115541.774828289,650774.0,0.071,0.91881,126426.089934322,4,0.2,1.5,0.06,0.8,0.05,0.0,0.5,0.2372362621786413,1.0,0.386969612642
Madagascar,1502.48226544076,29611714.0,0.057,0.3988199999999999,505.035527643123,4,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.4516007373953485,1.0,0.06780447109316128
Malawi,1466.87941731684,20405317.0,0.069,0.1798,645.158692067185,4,0.2,1.5,0.06,0.8,0.05,0.8,0.3333333333333333,0.9707059348850776,1.0,0.057041631399188275
Malaysia,28315.3729935804,33938221.0,0.057,0.78214,11971.9275991535,4,0.2,1.5,0.06,0.8,0.05,0.8,0.7666666666666666,0.24949212698674084,1.0,0.09398866872008683
Maldives,20979.4999560746,523787.0,0.089,0.41536,11817.5239328803,4,0.2,1.5,0.06,0.8,0.05,0.6,0.49583333333333335,0.17934246468391105,1.0,0.031104448667637452
Mali,2131.80532581315,22593590.0,0.075,0.45437,833.297255208972,4,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.6798061699455986,1.0,0.05086972770740798
Malta,48239.618247889,523417.0,0.08,0.94875,33940.9495961291,4,0.2,1.5,0.06,0.8,0.05,0.0,0.36666666666666664,0.28775624634153857,1.0,0.3730886749999999
Marshall Islands,6121.36937717853,41569.0,0.072,0.7852,6727.79956217374,4,0.2,1.5,0.06,0.8,0.05,0.4,0.3333333333333333,0.22845953002610966,1.0,0.10506320831774893
Mauritania,5440.66960687007,4736139.0,0.075,0.56923,2190.70020547034,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.22076578577680425,1.0,0.08625404704923155
Mauritius,22786.9785180174,1262523.0,0.072,0.4081,10216.2947440415,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7416666666666667,0.32153921983997297,1.0,0.24215181797716426
Mexico,19547.3307083132,127504125.0,0.05,0.813,11091.3054302538,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.75,0.23087021820623913,1.0,0.1274091784995511
Moldova,12905.3893617934,2592477.0,0.1009999999999999,0.43173,5562.61362534668,4,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.4075954431814228,1.0,0.46680684821967633
Mongolia,12051.7731023892,3398366.0,0.079,0.6893,4946.75481125723,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5416666666666667,0.22914325221774237,1.0,0.24511378641266954
