iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma
JAM,10107.864790295696,2827377.0,0.57008,0.6,0.475,0.17381211069959124,0.22145530226574614,0.06,0.05,0.8,1.5,3.0,1.1075142054454954
JOR,9490.666715875366,11285869.0,0.91827,0.4666666666666667,0.425,0.30982958107400826,0.21035896626097958,0.06,0.05,0.8,1.5,3.0,1.2360050151152273
JPN,41641.16500511999,125124989.0,0.91955,0.8,0.8083333333333333,0.21067857354295638,0.27967580545629334,0.06,0.05,0.8,1.5,3.0,1.142340626252789
KAZ,26093.294584983396,19621972.0,0.5799,0.6,0.7833333333333333,0.4992063423501769,0.2610296830380486,0.06,0.05,0.8,1.5,3.0,1.414902426764071
KEN,4881.531729286371,54027487.0,0.29002,0.8,0.5,0.44207779697977306,0.08247856120141436,0.06,0.05,0.8,1.5,3.0,1.360935145725165
KGZ,5070.150235926509,6974900.0,0.37461,0.6,0.4833333333333333,0.485430091589271,0.2890595315774666,0.06,0.05,0.8,1.5,3.0,1.401888498409063
KOR,45560.12503892751,51628117.0,0.81427,0.8666666666666666,0.9416666666666667,0.20279720920777902,0.2435595619732658,0.06,0.05,0.8,1.5,3.0,1.1348953849764924
LAO,7947.658797321377,7529475.0,0.37592,0.4,0.16666666666666666,0.2864886795282072,0.12204671147322778,0.06,0.05,0.8,1.5,3.0,1.2139557053479906
LBN,12986.912832522998,5489739.0,0.89262,0.5333333333333333,0.375,0.17788026340875157,0.09837190890376403,0.06,0.05,0.8,1.5,3.0,1.1113572429172351
LCA,15100.286008155801,179857.0,0.1905,0.4666666666666667,0.3333333333333333,0.23796442368118045,0.1562180993195279,0.06,0.05,0.8,1.5,3.0,1.168116586996188
LKA,12200.1373948947,22181000.0,0.1902599999999999,0.6666666666666667,0.5083333333333333,0.34732239754243355,0.1550440431934355,0.06,0.05,0.8,1.5,3.0,1.2714231296527607
LSO,2240.3392510214594,2305825.0,0.29943,0.4,0.3416666666666667,0.21715833947341423,0.23227487981308198,0.06,0.05,0.8,1.5,3.0,1.1484618279527103
MAR,8083.365234374999,37457971.0,0.6459600000000001,0.8666666666666666,0.7666666666666666,0.20080164161649414,0.14689248966746393,0.06,0.05,0.8,1.5,3.0,1.1330102440835685
MDA,13308.417334626298,2538894.0,0.43173,0.6,0.375,0.4075954431814228,0.4814199819642096,0.06,0.05,0.8,1.5,3.0,1.3283609069404572
MDG,1502.48218160534,29611714.0,0.3988199999999999,0.6,0.25,0.4516007373953485,0.07269544757065392,0.06,0.05,0.8,1.5,3.0,1.3699311248524466
MEX,20254.7811446095,127504125.0,0.813,0.5333333333333333,0.75,0.23087021820623913,0.17087523094750345,0.06,0.05,0.8,1.5,3.0,1.1614149463692196
MHL,6004.34276866496,41569.0,0.7852,0.4,0.3333333333333333,0.22845953002610966,0.1100632083177489,0.06,0.05,0.8,1.5,3.0,1.159137655994142
MKD,17128.760501541892,2057679.0,0.59118,0.6666666666666667,0.5583333333333333,0.2633828630982844,0.2882696528588569,0.06,0.05,0.8,1.5,3.0,1.1921284720301786
MLI,2132.6233149007703,22593590.0,0.45437,0.6,0.3333333333333333,0.6798061699455986,0.08982290665962211,0.06,0.05,0.8,1.5,3.0,1.5855085850029491
MMR,4249.87615142487,54179306.0,0.31771,0.4666666666666667,0.25,0.34198358432077974,0.08724115366127741,0.06,0.05,0.8,1.5,3.0,1.2663797449196272
MNG,12073.245456961598,3398366.0,0.6893,0.5333333333333333,0.5416666666666667,0.22914325221774237,0.28324534474521473,0.06,0.05,0.8,1.5,3.0,1.1597835437448127
MOZ,1250.77241374562,32969518.0,0.38187,0.8,0.5166666666666667,0.3294826964673195,0.121288821857643,0.06,0.05,0.8,1.5,3.0,1.2545706060093087
