country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Guinea-Bissau,1855.11197273171,2105566.0,0.078,0.45041,775.828965734682,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4231887629374076,1.0,0.08957057304248096
Guyana,34420.0675052872,808726.0,0.045,0.2702199999999999,18989.7901988355,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3808481921743437,1.0,0.12710520740181658
Haiti,2799.1125613522,11584996.0,0.055,0.5882000000000001,1748.25713234727,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1333669537730951,1.0,0.02350306605105794
Honduras,5709.12420809714,10432860.0,0.036,0.596,3040.17307960182,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3635926941047578,1.0,0.13880419457650786
Hungary,35254.5033035444,9683505.0,0.081,0.72552,18463.2085249699,1,0.2,1.5,0.06,0.8,0.05,1,1,0.22126941170098394,1.0,0.557022787
Iceland,55033.2651800383,381900.0,0.0969999999999999,0.93992,72902.9799538499,1,0.2,1.5,0.06,0.8,0.05,1,1,0.26715489528229863,1.0,0.251933220044
India,7096.33889865174,1417173173.0,0.081,0.35872,2388.62119776762,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4525301642355351,1.0,0.11881041763047664
Indonesia,12409.758854952,275501339.0,0.073,0.57934,4787.99930765134,1,0.2,1.5,0.06,0.8,0.05,1,1,0.30997681866727844,1.0,0.1253518604695039
"Iran, Islamic Rep.",15308.0032395997,88550570.0,0.06,0.76807,4387.82571517872,1,0.2,1.5,0.06,0.8,0.05,1,1,0.31799517747918205,1.0,0.13776510047376372
Iraq,9199.02069369123,44496122.0,0.088,0.71354,5937.19546600271,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5840924714508963,1.0,0.11397677570660815
Ireland,113870.785549597,5086988.0,0.09,0.6418300000000001,104038.946076296,1,0.2,1.5,0.06,0.8,0.05,1,1,0.31125054927451323,1.0,0.51065902348
Israel,44272.2532212696,9550600.0,0.052,0.92763,54659.753964319,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3584782813615938,1.0,0.17999860132531434
Italy,43788.2393135596,58856847.0,0.063,0.7165699999999999,34157.990122464,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.41498128028500014
Jamaica,10011.8567225921,2827377.0,0.053,0.57008,6047.21646430936,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3810091134726805,1.0,0.19113073850227333
Japan,41641.16500512,125124989.0,0.077,0.91955,33815.3172733799,1,0.2,1.5,0.06,0.8,0.05,1,1,0.21044253355545398,1.0,0.21227167873132777
Jordan,9318.69175816212,11285869.0,0.0819999999999999,0.91827,4204.50563967692,1,0.2,1.5,0.06,0.8,0.05,1,1,0.17572272222131016,1.0,0.2062385713577313
Kazakhstan,26093.2945860375,19621972.0,0.098,0.5799,11243.6712256386,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3305707553557686,1.0,0.17981812039843703
Kenya,4881.53172928637,54027487.0,0.072,0.29002,2099.30193826696,1,0.2,1.5,0.06,0.8,0.05,1,1,0.46296027315172006,1.0,0.05413454955569945
Kiribati,2002.71821779186,131232.0,0.095,0.57058,1701.97012305233,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2839495798319327,1.0,0.08808444859096348
"Korea, Rep.",45467.3821469188,51628117.0,0.075,0.81427,32254.6247153456,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2367936221973808,1.0,0.17640213849938483
Kyrgyz Republic,5193.70786762567,6803300.0,0.094,0.37461,1606.66807508711,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5202256666410198,1.0,0.2728321571377096
Lao PDR,7947.65879715444,7529475.0,0.07,0.37592,2088.37718210612,1,0.2,1.5,0.06,0.8,0.05,1,1,0.24729888607284273,1.0,0.31947814370153477
Latvia,32733.4662982719,1883379.0,0.069,0.6854,21851.1052012696,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2393699080806075,1.0,0.25692679399999996
Lebanon,12986.9128325067,5489739.0,0.079,0.89262,4136.14657516013,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1676576124167707,1.0,0.09449929969172469
Lesotho,2282.04718505155,2305825.0,0.046,0.29943,1107.39529790821,1,0.2,1.5,0.06,0.8,0.05,1,1,0.19921209565820783,1.0,0.13141513074488997
Liberia,1460.92350986833,5302681.0,0.072,0.53065,754.532876859838,1,0.2,1.5,0.06,0.8,0.05,1,1,0.47251207127325184,1.0,0.07342030251270379
Lithuania,39592.7990928621,2833000.0,0.071,0.68465,24826.7910371972,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3129644244946807,1.0,0.3499346320000001
Luxembourg,115541.774828289,650774.0,0.071,0.91881,126426.089934322,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2472306603861574,1.0,0.386969612642
Madagascar,1502.48226544076,29611714.0,0.057,0.3988199999999999,505.035527643123,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2940729838426214,1.0,0.06780447109316128
Malawi,1466.87941731684,20405317.0,0.069,0.1798,645.158692067185,1,0.2,1.5,0.06,0.8,0.05,1,1,0.25307656921941635,1.0,0.057041631399188275
Malaysia,28315.3729935804,33938221.0,0.057,0.78214,11971.9275991535,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2505940745612133,1.0,0.09398866872008683
Maldives,20979.4999560746,523787.0,0.089,0.41536,11817.5239328803,1,0.2,1.5,0.06,0.8,0.05,1,1,0.326357971697339,1.0,0.031104448667637452
Mali,2131.80532581315,22593590.0,0.075,0.45437,833.297255208972,1,0.2,1.5,0.06,0.8,0.05,1,1,0.6438448659589122,1.0,0.05086972770740798
Malta,48239.618247889,523417.0,0.08,0.94875,33940.9495961291,1,0.2,1.5,0.06,0.8,0.05,1,1,0.22391636903978407,1.0,0.3730886749999999
Mauritania,5440.66960687007,4736139.0,0.075,0.56923,2190.70020547034,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23810597085800642,1.0,0.08625404704923155
Mauritius,22786.9785180174,1262523.0,0.072,0.4081,10216.2947440415,1,0.2,1.5,0.06,0.8,0.05,1,1,0.29481279169257346,1.0,0.24215181797716426
Mexico,19547.3307083132,127504125.0,0.05,0.813,11091.3054302538,1,0.2,1.5,0.06,0.8,0.05,1,1,0.36826304497677287,1.0,0.1274091784995511
Moldova,12905.3893617934,2592477.0,0.1009999999999999,0.43173,5562.61362534668,1,0.2,1.5,0.06,0.8,0.05,1,1,0.25670477375728673,1.0,0.46680684821967633
Mongolia,12051.7731023892,3398366.0,0.079,0.6893,4946.75481125723,1,0.2,1.5,0.06,0.8,0.05,1,1,0.20767487925071607,1.0,0.24511378641266954
Montenegro,22081.2952131425,616159.0,0.053,0.68164,9893.51590693197,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3648966623915853,1.0,0.3134028207120208
Morocco,8061.51806640625,37457971.0,0.067,0.6459600000000001,3527.94189453125,1,0.2,1.5,0.06,0.8,0.05,1,1,0.26925696721882303,1.0,0.13496142142169495
Mozambique,1243.07363779512,32969518.0,0.044,0.38187,541.454425499229,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5724925548469878,1.0,0.08014075299455813
Myanmar,4124.48565135618,54179306.0,0.089,0.31771,1095.70178954585,1,0.2,1.5,0.06,0.8,0.05,1,1,0.7219105979677607,1.0,0.27565582770699115
Namibia,9490.26076435304,2567012.0,0.0279999999999999,0.53956,4911.32763537761,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2751726819797061,1.0,0.06684000104321745
Nepal,4001.69995491459,30547580.0,0.083,0.21451,1336.54604726414,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2701993002713125,1.0,0.28421980153503623
Netherlands,58584.6237903865,17703090.0,0.092,0.92886,55985.4034255707,1,0.2,1.5,0.06,0.8,0.05,1,1,0.25251989485705195,1.0,0.34127209585999996
Nicaragua,5822.36911103879,6948392.0,0.051,0.59556,2255.42598603695,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2995171186734716,1.0,0.13128805372230357
Niger,1274.80994054532,26207977.0,0.076,0.1689399999999999,533.028763819513,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23359231685535525,1.0,0.048337228520167204
Nigeria,4963.16031287959,218541212.0,0.071,0.53521,2184.42149316828,1,0.2,1.5,0.06,0.8,0.05,1,1,0.8736444729486806,1.0,0.06050744725469314
Norway,67462.3764458619,5457127.0,0.088,0.83664,106148.778627718,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3359516873480029,1.0,0.314512297136
Pakistan,5451.71824050408,235824862.0,0.096,0.37731,1596.66266149236,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3767173581299691,1.0,0.16788036861323924
Panama,33266.4768548785,4408581.0,0.037,0.6914100000000001,17357.6286293985,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5402427160644628,1.0,0.13847224717933032
Papua New Guinea,3765.89957298991,10142619.0,0.051,0.13582,3020.26964580164,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3251812071972436,1.0,0.001538620633346184
Paraguay,13531.3966633509,6780744.0,0.05,0.62818,6153.05567679103,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3682732130696673,1.0,0.17488664077363517
Peru,12743.9423914767,34049588.0,0.0579999999999999,0.78708,7125.8292350929,1,0.2,1.5,0.06,0.8,0.05,1,1,0.27019867536419195,1.0,0.1250281383808332
Philippines,8581.93769302209,115559009.0,0.065,0.47977,3498.50981598253,1,0.2,1.5,0.06,0.8,0.05,1,1,0.27365718828027585,1.0,0.16428974981426164
