iso3,hazard,income_cat,recovery_rate,recovery_time
ARE,Storm surge,tot,0.14978661367769955,20.0
ARE,Tsunami,q1,0.14978661367769955,20.0
ARE,Tsunami,q2,0.14978661367769955,20.0
ARE,Tsunami,q3,0.14978661367769955,20.0
ARE,Tsunami,q4,0.14978661367769955,20.0
ARE,Tsunami,q5,0.14978661367769955,20.0
ARE,Tsunami,tot,0.14978661367769955,20.0
ARE,Wind,q1,0.14978661367769955,20.0
ARE,Wind,q2,0.14978661367769955,20.0
ARE,Wind,q3,0.14978661367769955,20.0
ARE,Wind,q4,0.14978661367769955,20.0
ARE,Wind,q5,0.14978661367769955,20.0
ARE,Wind,tot,0.14978661367769955,20.0
ARG,Earthquake,q1,0.2450000000000002,12.2274786675673
ARG,Earthquake,q2,0.3540000000000003,8.46252054676268
ARG,Earthquake,q3,0.4150000000000003,7.218631984467442
ARG,Earthquake,q4,0.23700000000000018,12.64022056351894
ARG,Earthquake,q5,0.14978661367769955,20.0
ARG,Earthquake,tot,0.25200000000000017,11.887826482357099
ARG,Flood,q1,0.14978661367769955,20.0
ARG,Flood,q2,0.20600000000000016,14.542389677446547
ARG,Flood,q3,0.2580000000000002,11.61136540137205
ARG,Flood,q4,0.14978661367769955,20.0
ARG,Flood,q5,0.14978661367769955,20.0
ARG,Flood,tot,0.14978661367769955,20.0
ARG,Storm surge,q1,0.14978661367769955,20.0
ARG,Storm surge,q2,0.20600000000000016,14.542389677446547
ARG,Storm surge,q3,0.2580000000000002,11.61136540137205
ARG,Storm surge,q4,0.14978661367769955,20.0
ARG,Storm surge,q5,0.14978661367769955,20.0
ARG,Storm surge,tot,0.14978661367769955,20.0
ARG,Tsunami,q1,0.14978661367769955,20.0
ARG,Tsunami,q2,0.20600000000000016,14.542389677446547
ARG,Tsunami,q3,0.2580000000000002,11.61136540137205
ARG,Tsunami,q4,0.14978661367769955,20.0
ARG,Tsunami,q5,0.14978661367769955,20.0
ARG,Tsunami,tot,0.14978661367769955,20.0
ARG,Wind,q1,0.22900000000000018,13.081800321196457
ARG,Wind,q2,0.33600000000000024,8.915869861767824
ARG,Wind,q3,0.3970000000000003,7.545925122302238
ARG,Wind,q4,0.22200000000000017,13.494289520513462
ARG,Wind,q5,0.14978661367769955,20.0
ARG,Wind,tot,0.23700000000000018,12.64022056351894
ARM,Earthquake,q1,0.14978661367769955,20.0
ARM,Earthquake,q2,0.14978661367769955,20.0
ARM,Earthquake,q3,0.2420000000000002,12.379058981628052
ARM,Earthquake,q4,0.8800000000000007,3.404241219947714
ARM,Earthquake,q5,1.504999999999945,1.9905197830924255
ARM,Earthquake,tot,0.36300000000000027,8.252705987752035
ARM,Flood,q1,0.14978661367769955,20.0
ARM,Flood,q2,0.14978661367769955,20.0
ARM,Flood,q3,0.1500000000000001,19.971548490359925
ARM,Flood,q4,0.6100000000000004,4.911036514022932
ARM,Flood,q5,0.6100000000000004,4.911036514022932
ARM,Flood,tot,0.2750000000000002,10.893571903832687
ARM,Storm surge,q1,0.14978661367769955,20.0
ARM,Storm surge,q2,0.14978661367769955,20.0
ARM,Storm surge,q3,0.1500000000000001,19.971548490359925
ARM,Storm surge,q4,0.6100000000000004,4.911036514022932
ARM,Storm surge,q5,0.6100000000000004,4.911036514022932
ARM,Storm surge,tot,0.2750000000000002,10.893571903832687
ARM,Tsunami,q1,0.14978661367769955,20.0
ARM,Tsunami,q2,0.14978661367769955,20.0
ARM,Tsunami,q3,0.1500000000000001,19.971548490359925
ARM,Tsunami,q4,0.6100000000000004,4.911036514022932
ARM,Tsunami,q5,0.6100000000000004,4.911036514022932
ARM,Tsunami,tot,0.2750000000000002,10.893571903832687
ARM,Wind,q1,0.14978661367769955,20.0
ARM,Wind,q2,0.14978661367769955,20.0
ARM,Wind,q3,0.21200000000000016,14.13081261110372
ARM,Wind,q4,0.6100000000000004,4.911036514022932
ARM,Wind,q5,0.6100000000000004,4.911036514022932
ARM,Wind,tot,0.2910000000000002,10.29461262389687
ATG,Earthquake,q1,0.1520000000000001,19.70876495759203
ATG,Earthquake,q2,0.1520000000000001,19.70876495759203
ATG,Earthquake,q3,0.1520000000000001,19.70876495759203
ATG,Earthquake,q4,0.1520000000000001,19.70876495759203
ATG,Earthquake,q5,0.20400000000000015,14.68496212526465
ATG,Earthquake,tot,0.16100000000000012,18.607032754993718
ATG,Flood,q1,0.14978661367769955,20.0
ATG,Flood,q2,0.14978661367769955,20.0
ATG,Flood,q3,0.14978661367769955,20.0
ATG,Flood,q4,0.14978661367769955,20.0
ATG,Flood,q5,0.1520000000000001,19.70876495759203
ATG,Flood,tot,0.14978661367769955,20.0
ATG,Storm surge,q1,0.14978661367769955,20.0
ATG,Storm surge,q2,0.14978661367769955,20.0
ATG,Storm surge,q3,0.14978661367769955,20.0
ATG,Storm surge,q4,0.14978661367769955,20.0
ATG,Storm surge,q5,0.1520000000000001,19.70876495759203
ATG,Storm surge,tot,0.14978661367769955,20.0
ATG,Tsunami,q1,0.14978661367769955,20.0
ATG,Tsunami,q2,0.14978661367769955,20.0
ATG,Tsunami,q3,0.14978661367769955,20.0
ATG,Tsunami,q4,0.14978661367769955,20.0
ATG,Tsunami,q5,0.1520000000000001,19.70876495759203
ATG,Tsunami,tot,0.14978661367769955,20.0
ATG,Wind,q1,0.14978661367769955,20.0
ATG,Wind,q2,0.14978661367769955,20.0
ATG,Wind,q3,0.14978661367769955,20.0
ATG,Wind,q4,0.1520000000000001,19.70876495759203
ATG,Wind,q5,0.1550000000000001,19.327304990670896
ATG,Wind,tot,0.14978661367769955,20.0
AUS,Earthquake,q1,0.14978661367769955,20.0
AUS,Earthquake,q2,0.2680000000000002,11.178105498335778
AUS,Earthquake,q3,0.2680000000000002,11.178105498335778
AUS,Earthquake,q4,0.2680000000000002,11.178105498335778
AUS,Earthquake,q5,0.5280000000000004,5.673735366579525
AUS,Earthquake,tot,0.22700000000000017,13.197058473806116
AUS,Flood,q1,0.14978661367769955,20.0
AUS,Flood,q2,0.14978661367769955,20.0
AUS,Flood,q3,0.14978661367769955,20.0
AUS,Flood,q4,0.2670000000000002,11.219971061999958
AUS,Flood,q5,0.2680000000000002,11.178105498335778
AUS,Flood,tot,0.14978661367769955,20.0
AUS,Storm surge,q1,0.14978661367769955,20.0
AUS,Storm surge,q2,0.14978661367769955,20.0
AUS,Storm surge,q3,0.14978661367769955,20.0
AUS,Storm surge,q4,0.2670000000000002,11.219971061999958
