country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Guatemala,poor,0.2,2061.4618771898918,0.0669,0.3532722215357338,5696.82683146333,0.06214476117586902,0.4
Guinea,nonpoor,0.8,3087.1286276583996,0.0662,1.1544128182490372,5792.18843295558,0.008079835219474338,0.6000000000000001
Guinea,poor,0.2,1147.1297632829026,0.0231,0.38234872700385053,2169.5645223602446,0.009834770211986761,0.6000000000000001
Guinea-Bissau,nonpoor,0.8,2138.016548573296,0.0002,1.1731634681417205,3491.9703133195853,0.004180031254303429,0.2
Guinea-Bissau,poor,0.2,723.4936693653668,0.0002,0.30734612743311823,1208.434533308075,0.004473700172259851,0.2
Guyana,nonpoor,0.8,41088.9555844366,0.68,1.141245716431965,108578.98021745538,0.04329953279665416,0.0
Guyana,poor,0.2,7744.51518868962,0.68,0.4350171342721406,17571.054210402504,0.06802424102284672,0.0
Haiti,nonpoor,0.8,3306.451713097286,0.1506,1.0126011519825773,29019.125810176105,0.20967863189029678,0.6000000000000001
Haiti,poor,0.2,769.7559543718548,0.0779,0.9495953920696907,6335.12823873156,0.22277297257648243,0.6000000000000001
Honduras,nonpoor,0.8,6879.4946707570525,0.1408,1.1823398888242542,28444.16847123989,0.050574715277649646,0.4
Honduras,poor,0.2,1027.6423574574849,0.052,0.2706404447029827,3892.2752741808176,0.05211412669320874,0.4
Hungary,nonpoor,0.8,40498.610669946625,0.4143,1.0841652829904784,207099.02361836124,0.031518086632072735,1.0
Hungary,poor,0.2,14278.07383793548,0.1755999999999999,0.6633388680380862,13495.720166622012,0.03889313585445866,1.0
Iceland,nonpoor,0.8,62118.798071968245,0.8145,1.1002227707171377,299903.80513833975,0.012834360084404086,0.0
Iceland,poor,0.2,26691.13361231855,0.6725,0.5991089171314488,117650.39479457369,0.012834360084404086,0.0
India,nonpoor,0.8,8151.919309826186,0.1643,1.0783414897421337,30658.96559157254,0.0047728644325658615,0.8
India,poor,0.2,2874.0172539539544,0.0722,0.6866340410314646,9715.300698430277,0.005100755407046759,0.8
Indonesia,nonpoor,0.8,14379.80807317563,0.2536,1.0813991398290155,82419.16286340925,0.02046064035097649,0.8
Indonesia,poor,0.2,4529.561982057479,0.1084,0.6744034406839372,22591.46569435261,0.020127889418401965,0.8
"Iran, Islamic Rep.",nonpoor,0.8,17986.903806529644,0.2685,1.1007155261505215,108558.79408342612,0.014086273323945357,0.4
"Iran, Islamic Rep.",poor,0.2,4592.40097187991,0.1926999999999999,0.5971378953979142,23097.521032736957,0.01449608127099204,0.4
Iraq,nonpoor,0.8,10486.883590808,0.0273,1.1249677755919871,25789.067895713517,0.01612713502408465,0.6000000000000001
Iraq,poor,0.2,4047.5691052241405,0.0045,0.500128897632052,9762.137564933173,0.019310382573519705,0.6000000000000001
Ireland,nonpoor,0.8,129528.01856266658,0.6589,1.0766297662838273,497460.05142446375,0.008708794009962322,0.0
Ireland,poor,0.2,51241.85349731865,0.598,0.6934809348646898,81146.15997768055,0.00961426281687619,0.0
Israel,nonpoor,0.8,52462.62006720447,0.6463,1.0780815424382257,187841.81478974165,0.006026560614601148,0.0
Israel,poor,0.2,11510.785837530095,0.5141,0.6876738302470965,25821.517048465357,0.006033022002165347,0.0
Italy,nonpoor,0.8,51286.975296006676,0.5079,1.1679513705073246,358239.0798878504,0.013674794639191004,1.0
Italy,poor,0.2,13793.295383771274,0.4597,0.32819451797070104,93296.96593755657,0.013916870195247328,1.0
Jamaica,nonpoor,0.8,11851.535395368397,0.3231,1.1764089778612874,68285.8190379979,0.10859844576201595,0.8
Jamaica,poor,0.2,2653.142031486906,0.1162,0.2943640885548507,14864.753964394427,0.11016309537385857,0.8
Japan,nonpoor,0.8,48043.4941246572,0.6955,0.9884751499569766,236844.55356762616,0.028271416051328893,0.8
Japan,poor,0.2,16031.848526971196,0.5523,1.0460994001720936,40884.71880440452,0.029285948816963343,0.8
