iso3,hazard,rp,income_cat,fa,v_ew
ARG,Flood,50.0,q1,0.05616321115587814,0.588
ARG,Flood,50.0,q2,0.05000581653722094,0.5038788763321774
ARG,Flood,50.0,q3,0.05000581653722094,0.252
ARG,Flood,50.0,q4,0.05000581653722094,0.25199999999999995
ARG,Flood,50.0,q5,0.05000581653722094,0.09490320776087298
ARG,Flood,100.0,q1,0.06258099000859589,0.588
ARG,Flood,100.0,q2,0.05571998895152157,0.5038788763321774
ARG,Flood,100.0,q3,0.05571998895152157,0.252
ARG,Flood,100.0,q4,0.05571998895152157,0.25199999999999995
ARG,Flood,100.0,q5,0.05571998895152157,0.09490320776087298
ARG,Flood,250.0,q1,0.06648683897862068,0.588
ARG,Flood,250.0,q2,0.059197624275382686,0.5038788763321774
ARG,Flood,250.0,q3,0.059197624275382686,0.252
ARG,Flood,250.0,q4,0.059197624275382686,0.25199999999999995
ARG,Flood,250.0,q5,0.059197624275382686,0.09490320776087298
ARG,Flood,500.0,q1,0.06991957659608403,0.588
ARG,Flood,500.0,q2,0.062254017312505586,0.5038788763321774
ARG,Flood,500.0,q3,0.062254017312505586,0.252
ARG,Flood,500.0,q4,0.062254017312505586,0.25199999999999995
ARG,Flood,500.0,q5,0.062254017312505586,0.09490320776087298
ARG,Flood,1000.0,q1,0.07400000090270875,0.588
ARG,Flood,1000.0,q2,0.06588708858944481,0.5038788763321774
ARG,Flood,1000.0,q3,0.06588708858944481,0.252
ARG,Flood,1000.0,q4,0.06588708858944481,0.25199999999999995
ARG,Flood,1000.0,q5,0.06588708858944481,0.09490320776087298
ARG,Flood,2500.0,q1,0.08058918905525542,0.588
ARG,Flood,2500.0,q2,0.07175387802516588,0.5038788763321774
ARG,Flood,2500.0,q3,0.07175387802516588,0.252
ARG,Flood,2500.0,q4,0.07175387802516588,0.25199999999999995
ARG,Flood,2500.0,q5,0.07175387802516588,0.09490320776087298
ARG,Flood,5000.0,q1,0.08666957320815939,0.588
ARG,Flood,5000.0,q2,0.07716764565291163,0.5038788763321774
ARG,Flood,5000.0,q3,0.07716764565291163,0.252
