iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta
BOL,8244.235658484637,12224110.0,0.7082999999999999,0.3505492399830046,0.45159608995899964,0.5,0.36666666666666664,0.48238079763710623,0.1607276599735671,0.18922925381842182,0.019645011375,0.06,0.05,0.8,1.5
BRA,15093.465117066098,215313498.0,0.87555,0.5291082704872349,0.2972315814736653,0.6666666666666666,0.55,0.2423649776461265,0.27149589203313657,0.2044296560543529,0.058245602832,0.06,0.05,0.8,1.5
BTN,11595.683107514,782455.0,0.43686,0.6224304917176389,0.49811842657188055,0.8333333333333334,0.8333333333333334,0.15485283162287,0.04582417617530927,0.2554359126144432,1.5388477e-05,0.06,0.05,0.8,1.5
BWA,15518.651045267903,2630296.0,0.72224,0.5450701640250646,0.4623580173222869,0.6666666666666666,0.6708333333333334,0.21584996202890477,0.1467561032549027,0.11751344591855335,0.154262420302,0.06,0.05,0.8,1.5
CAN,49296.37921427719,38929902.0,0.8175199999999999,0.7290944203661487,0.7911607350482234,0.6666666666666666,0.825,0.2209511482560882,0.4509591004971903,0.13062464813462768,0.002486375387,0.06,0.05,0.8,1.5
CHE,72278.2072582055,8775760.0,0.74092,0.8346389202560219,0.7229985573111711,1.0,1.0,0.22899160633982424,0.38831576964645287,0.23372307432016304,0.00030503981,0.06,0.05,0.8,1.5
CHL,25886.121356161602,19603733.0,0.87912,0.5408725972262776,0.4734936777201834,1.0,0.8666666666666667,0.22311463099423323,0.21548047411167437,0.1713887966067474,0.00749503097,0.06,0.05,0.8,1.5
CHN,18187.8411189224,1412175000.0,0.6356,0.6520846316363867,0.5976369336204351,0.8333333333333334,0.8166666666666667,0.20226869046930582,0.31600808986996093,0.1733558135246135,0.001107742747,0.06,0.05,0.8,1.5
CIV,5537.369757684749,28160542.0,0.52661,0.44117726619149267,0.23290483163290918,0.5,0.44166666666666665,0.5264144049225482,0.1072404611072749,0.17750876809624555,0.115022170219,0.06,0.05,0.8,1.5
CMR,3723.5323365555096,27914536.0,0.58733,0.5426972877468083,0.4754611957294877,0.8333333333333334,0.5,0.4033385932793022,0.018480421884311468,0.2817346101843237,0.256575177358,0.06,0.05,0.8,1.5
COD,1132.65423032115,99010212.0,0.46837,0.5417738643394608,0.4652293141883839,0.5,0.375,0.32771689599153253,0.08738361221216613,0.2913057834198177,0.698637778178,0.06,0.05,0.8,1.5
COL,15616.752219973494,51874024.0,0.8205,0.5172414705972652,0.37572093666306966,0.8333333333333334,0.6916666666666667,0.34146505174868186,0.14851494062419704,0.2888962899087083,0.06613518166,0.06,0.05,0.8,1.5
COM,3245.76869721125,836774.0,0.29864,0.5611604077563926,0.37942264771819717,0.3333333333333333,0.3333333333333333,0.24532955097242454,0.044055268956522696,0.2392337036923884,0.186437217461,0.06,0.05,0.8,1.5
CRI,22070.920974668297,5180829.0,0.82042,0.665176892969537,0.7228386626392188,1.0,0.675,0.43261932255359703,0.3283491382560658,0.2016015653020331,0.008868735494,0.06,0.05,0.8,1.5
CYP,44996.31640625001,1251488.0,0.66911,0.2915047815919911,0.3504444278772374,0.8181818181818182,0.7007575757575758,0.1451910922152238,0.29322844347325255,0.07177395345202464,0.000126419744,0.06,0.05,0.8,1.5
CZE,41052.34573109651,10672118.0,0.7437699999999999,0.5393701498150425,0.5660632821184407,1.0,0.925,0.19013098402060497,0.42570749780330497,0.13542006065985432,8.1421604e-05,0.06,0.05,0.8,1.5
DEU,53969.62554886499,83797985.0,0.77648,0.6063789838354662,0.628604221970261,0.8333333333333334,0.9166666666666667,0.21800234539705118,0.4321037130259294,0.10099684070760781,0.0,0.06,0.05,0.8,1.5
DNK,59935.119915577394,5903037.0,0.8836700000000001,0.6982914904907482,0.5852130205584197,0.8333333333333334,0.9166666666666667,0.21172682437904242,0.4244698821202023,0.07823505932309308,0.001649913074,0.06,0.05,0.8,1.5
DOM,19338.0151125748,11228821.0,0.83848,0.5853167226634055,0.5770098262209388,0.6666666666666666,0.5416666666666666,0.24862508642175815,0.17702126959964037,0.22730902329232616,0.008537285128,0.06,0.05,0.8,1.5
ECU,10859.217829113702,18001000.0,0.6456999999999999,0.563095812503476,0.3272222942723956,0.6666666666666666,0.43333333333333335,0.18060502619358446,0.13754670328584065,0.21863044781738983,0.031807919477,0.06,0.05,0.8,1.5
EGY,12780.759867658198,110990103.0,0.42967,0.6082203936160391,0.5238020587545825,0.6666666666666666,0.4666666666666667,0.7411056618723808,0.12552285229834584,0.07329923633153872,0.014670147196,0.06,0.05,0.8,1.5
ESP,40223.0125356769,47778340.0,0.81304,0.6061794448483766,0.6658926365915065,0.8333333333333334,0.7666666666666666,0.16670477850299206,0.3741873083218517,0.14362136578787857,0.008863663023,0.06,0.05,0.8,1.5
EST,37711.81883494659,1348840.0,0.69609,0.36610174501903453,0.2693636406938561,0.8181818181818182,0.8257575757575757,0.2239238114723021,0.43229795917559305,0.09146343877779811,0.003486593807,0.06,0.05,0.8,1.5
ETH,2381.16578430493,123379924.0,0.22661,0.5417738643394608,0.4499916978006937,0.8333333333333334,0.5083333333333333,0.4834511165692108,0.06820997206180943,0.1920802773614383,0.269846056657,0.06,0.05,0.8,1.5
FIN,49275.153776296596,5556106.0,0.85681,0.6963851362078851,0.28930277015034694,0.8333333333333334,0.8916666666666666,0.19991804595040583,0.42702216949093946,0.11359001363583013,0.000276208987,0.06,0.05,0.8,1.5
FRA,45904.4112972518,67971311.0,0.81509,0.5654372974328619,0.6522686242370742,1.0,0.95,0.17668124683823622,0.42222496103955187,0.12335626167219513,0.001148958258,0.06,0.05,0.8,1.5
GAB,13939.7868122861,2388992.0,0.90735,0.4267726317339799,0.20843857681413508,0.8333333333333334,0.5041666666666667,0.27297777313868626,0.06693352380557857,0.0767254438952848,0.024686419565,0.06,0.05,0.8,1.5
GBR,47587.1673459552,66971395.0,0.84398,0.642071262418551,0.6961531295669033,0.8333333333333334,0.8500000000000001,0.21166971628155043,0.4259556113348766,0.1437678386473004,0.004993337475,0.06,0.05,0.8,1.5
GEO,17078.3409616702,3712502.0,0.60297,0.4799341211716937,0.29872538419773564,0.8333333333333334,0.6416666666666667,0.26043967643408783,0.3799882950747853,0.20697541712429604,0.054850259814,0.06,0.05,0.8,1.5
GHA,5480.32998341512,33475870.0,0.5861500000000001,0.5975740580549966,0.47302926899384534,0.8333333333333334,0.47500000000000003,0.4015998812071467,0.045688860432987324,0.3030168728483887,0.252085535489,0.06,0.05,0.8,1.5
GIN,2699.1288547588897,13859341.0,0.37668,0.491227769978424,0.32126446877254655,0.6666666666666666,0.6666666666666666,0.5326179953434279,0.07583308709919642,0.19243411357727133,0.138200995171,0.06,0.05,0.8,1.5
GMB,2113.61484432613,2705992.0,0.63852,0.5417738643394608,0.40430805076630955,0.8333333333333334,0.8333333333333334,0.5058967226596787,0.081704904290294,0.18984495069355095,0.172421335913,0.06,0.05,0.8,1.5
GRC,31704.425609933194,10426919.0,0.80357,0.5450174951544926,0.6086049592329519,0.8333333333333334,0.6666666666666667,0.12470324872956334,0.28922582278660247,0.2250036934135633,0.008064955208,0.06,0.05,0.8,1.5
GTM,9162.05278751063,17357886.0,0.52666,0.50202975475267,0.45074130073513125,0.6666666666666666,0.5583333333333333,0.3252414222281725,0.18070439655011558,0.2202516762414956,0.095213027306,0.06,0.05,0.8,1.5
HND,5709.12420809714,10432860.0,0.596,0.2604377998089767,0.43082326000016,0.8333333333333334,0.6041666666666667,0.24259264015249607,0.12120407572983878,0.26350863246541734,0.127429917407,0.06,0.05,0.8,1.5
HRV,34302.348815210695,3855600.0,0.58219,0.46871646681844575,0.3767963658763351,0.6666666666666666,0.6333333333333333,0.20341490490168024,0.3163605431380921,0.10134075073421277,0.003139338613,0.06,0.05,0.8,1.5
HTI,2799.1125613458894,11584996.0,0.5882000000000001,0.3983119757086822,0.4556932072162028,0.5,0.5,0.11433196860146515,0.09245096398467648,0.27497719082002187,0.291921948523,0.06,0.05,0.8,1.5
HUN,35356.7758131528,9643048.0,0.72552,0.6448860437011493,0.578168130026148,0.8333333333333334,0.7083333333333334,0.20937668409697455,0.48383332647140515,0.07795909969691434,0.003514764117,0.06,0.05,0.8,1.5
IDN,12409.758854952,275501339.0,0.57934,0.7011917233988042,0.5074559762169905,0.6666666666666666,0.6333333333333333,0.1761408179006248,0.16134946322021415,0.3673305238751994,0.024729117009,0.06,0.05,0.8,1.5
IND,7112.03939594585,1417173173.0,0.35872,0.7738320593043702,0.5785872705365424,1.0,0.775,0.26808751560353083,0.12785348041184305,0.3502587646077509,0.118991602614,0.06,0.05,0.8,1.5
IRL,112445.42095391502,5127170.0,0.6418300000000001,0.5127947441090477,0.6879095552494283,0.8181818181818182,0.8340909090909091,0.27491920622194305,0.3861346257837032,0.04974404888382755,0.00144305587,0.06,0.05,0.8,1.5
IRN,15461.079338719,88550570.0,0.76807,0.5945261939061661,0.3347866833078776,0.8333333333333334,0.8333333333333334,0.16736178418633862,0.05320926365118401,0.16175492038700368,0.009220822952,0.06,0.05,0.8,1.5
IRQ,9199.020693691231,44496122.0,0.71354,0.2611828188184946,0.46852412988917247,0.5,0.36666666666666664,0.4073304239369676,0.1168154716331102,0.05974202670999892,0.000887524669,0.06,0.05,0.8,1.5
ISL,55567.436253845684,382003.0,0.93992,0.6291541148918254,0.42275176163534633,0.8181818181818182,0.7924242424242425,0.2088920584384275,0.4102682416512929,0.14032440963426981,0.0,0.06,0.05,0.8,1.5
ISR,44393.30029743679,9557500.0,0.92763,0.3037350504261213,0.6258974901788448,0.7222222222222222,0.7694444444444445,0.2848230351273969,0.3198797477745335,0.08728377443101076,0.004967662373,0.06,0.05,0.8,1.5
ITA,44292.191184356314,58940425.0,0.7165699999999999,0.6623002024068627,0.6072503042113342,0.8333333333333334,0.7,0.14345010664311653,0.37281564511844695,0.18239122451840914,0.008277917637,0.06,0.05,0.8,1.5
JOR,9490.666715875366,11285869.0,0.91827,0.5705707672674138,0.5532983217103998,0.5,0.43333333333333335,0.30982958107400826,0.21035896626097958,0.057728537217293936,0.000408548828,0.06,0.05,0.8,1.5
JPN,41837.909997566494,125124989.0,0.91955,0.5890552972778644,0.6006388497899532,0.8333333333333334,0.8083333333333333,0.21067857354295638,0.4389803751976059,0.0735644320680868,0.007278878874,0.06,0.05,0.8,1.5
KAZ,26093.294584983396,19621972.0,0.5799,0.4874772623375023,0.6120635270526082,1.0,0.7916666666666667,0.4992063423501769,0.2610296830380486,0.12475262424328239,0.000151407911,0.06,0.05,0.8,1.5
KEN,4881.531729286371,54027487.0,0.29002,0.6358429590097112,0.369736629797969,0.6666666666666666,0.4833333333333333,0.44207779697977306,0.08247856120141436,0.1668505748020347,0.361460557542,0.06,0.05,0.8,1.5
KOR,45560.125038927516,51628117.0,0.81427,0.6918635585867663,0.7854157047100222,1.0,0.9416666666666667,0.20279720920777902,0.3784681612466538,0.2051090135254299,0.002266651427,0.06,0.05,0.8,1.5
LAO,7947.658797321377,7529475.0,0.37592,0.5617039206533438,0.49457491514774077,0.3333333333333333,0.22916666666666666,0.2864886795282072,0.09125201185639621,0.18425384671706344,0.071383628289,0.06,0.05,0.8,1.5
LBN,12986.912832522998,5489739.0,0.89262,0.3565122472738893,0.41831252494930943,0.5,0.25,0.17788026340875157,0.24619258788612733,0.16377520098137754,0.0,0.06,0.05,0.8,1.5
LBR,1460.9233903567801,5302681.0,0.53065,0.5417738643394608,0.27929331833704446,0.6666666666666666,0.6666666666666666,0.2623024378712349,0.08945030399389275,0.22097482938594676,0.276177478999,0.06,0.05,0.8,1.5
LKA,12200.1373948947,22181000.0,0.1902599999999999,0.5388648938202181,0.5705090742266171,0.6666666666666666,0.36666666666666664,0.34732239754243355,0.1550440431934355,0.15737379098550217,0.009586125507,0.06,0.05,0.8,1.5
LSO,2240.3392510214594,2305825.0,0.29943,0.5611604077563926,0.4212746298246668,0.3333333333333333,0.24166666666666664,0.21715833947341423,0.23227487981308198,0.161688500795371,0.323999109936,0.06,0.05,0.8,1.5
LTU,39955.24616298381,2831639.0,0.68465,0.30008560690056596,0.5492217773582767,0.8181818181818182,0.7924242424242425,0.2598650358328045,0.3202631346971138,0.09365551256607736,0.001894733336,0.06,0.05,0.8,1.5
LUX,117746.98959288398,653103.0,0.91881,0.5560322521748641,0.5825635571812302,0.8181818181818182,0.9090909090909092,0.2372362621786413,0.4182557417114149,0.08548491389411757,0.0,0.06,0.05,0.8,1.5
LVA,32992.3823633129,1879383.0,0.6854,0.24530640611584603,0.4052033857818733,0.8181818181818182,0.7757575757575758,0.13433888017759493,0.31847428831795005,0.11972091218859057,0.004550118181,0.06,0.05,0.8,1.5
MAR,8083.365234374999,37457971.0,0.6459600000000001,0.6986300833767103,0.4564822411696458,1.0,0.75,0.20080164161649414,0.17656974707366815,0.2142859772310497,0.014431101154,0.06,0.05,0.8,1.5
