iso3,income_cat,hazard,capital_t,sigma_h,delta_k_h_eff,productivity_pi,savings_s_h,delta_i_h_pds,eta,delta_tax_sp,discount_rate_rho,k_h_eff,delta_c_h_max,lambda_h,consumption_floor_xi,t_hat,t_tilde,delta_tilde_k_h_eff
AUS,q1,Wind,50,0.2045596960851609,37424.73645784048,0.2309980310138752,0.0,0,1.5,0,0.06,64574.5030609677,,0.6232827241409933,,0.0,0.0,37424.73645784048
AUS,q2,Earthquake,50,0.2045596960851609,35180.799146247875,0.2309980310138752,0.0,0,1.5,0,0.06,141639.63784586787,,1.907909580964388,,0.0,0.0,35180.799146247875
AUS,q2,Flood,50,0.2045596960851609,82088.53134124508,0.2309980310138752,0.0,0,1.5,0,0.06,141639.63784586787,,0.6232827241409935,,0.0,0.0,82088.53134124508
AUS,q2,Storm surge,50,0.2045596960851609,82088.53134124508,0.2309980310138752,0.0,0,1.5,0,0.06,141639.63784586787,,0.6232827241409935,,0.0,0.0,82088.53134124508
AUS,q2,Tsunami,50,0.2045596960851609,82088.53134124508,0.2309980310138752,0.0,0,1.5,0,0.06,141639.63784586787,,0.6232827241409935,,0.0,0.0,82088.53134124508
AUS,q2,Wind,50,0.2045596960851609,82088.53134124508,0.2309980310138752,0.0,0,1.5,0,0.06,141639.63784586787,,0.6232827241409935,,0.0,0.0,82088.53134124508
AUS,q3,Earthquake,50,0.2045596960851609,42751.97651520142,0.2309980310138752,0.0,0,1.5,0,0.06,172121.5724985598,,1.9079095809643862,,0.0,0.0,42751.97651520142
AUS,q3,Flood,50,0.2045596960851609,99754.61186880332,0.2309980310138752,0.0,0,1.5,0,0.06,172121.5724985598,,0.6232827241409933,,0.0,0.0,99754.61186880332
AUS,q3,Storm surge,50,0.2045596960851609,99754.61186880332,0.2309980310138752,0.0,0,1.5,0,0.06,172121.5724985598,,0.6232827241409933,,0.0,0.0,99754.61186880332
AUS,q3,Tsunami,50,0.2045596960851609,99754.61186880332,0.2309980310138752,0.0,0,1.5,0,0.06,172121.5724985598,,0.6232827241409933,,0.0,0.0,99754.61186880332
AUS,q3,Wind,50,0.2045596960851609,95133.42202813193,0.2309980310138752,0.0,0,1.5,0,0.06,172121.5724985598,,0.6785399676890097,,0.0,0.0,95133.42202813193
AUS,q4,Earthquake,50,0.2045596960851609,63722.377386066844,0.2309980310138752,0.0,0,1.5,0,0.06,256549.44386341015,,1.9079095809643878,,0.0,0.0,63722.377386066844
AUS,q4,Flood,50,0.2045596960851609,64010.51491494148,0.2309980310138752,0.0,0,1.5,0,0.06,256549.44386341015,,1.896483182136097,,0.0,0.0,64010.51491494148
AUS,q4,Storm surge,50,0.2045596960851609,64010.51491494148,0.2309980310138752,0.0,0,1.5,0,0.06,256549.44386341015,,1.896483182136097,,0.0,0.0,64010.51491494148
AUS,q4,Tsunami,50,0.2045596960851609,64010.51491494148,0.2309980310138752,0.0,0,1.5,0,0.06,256549.44386341015,,1.896483182136097,,0.0,0.0,64010.51491494148
AUS,q4,Wind,50,0.2045596960851609,63722.377386066844,0.2309980310138752,0.0,0,1.5,0,0.06,256549.44386341015,,1.9079095809643878,,0.0,0.0,63722.377386066844
AUS,q5,Earthquake,50,0.2045596960851609,56062.45899660527,0.2309980310138752,0.0,0,1.5,0,0.06,470974.124379196,,3.526875000039187,,0.0,0.0,56062.45899660527
AUS,q5,Flood,50,0.2045596960851609,116981.70317898644,0.2309980310138752,0.0,0,1.5,0,0.06,470974.124379196,,1.9079095809643891,,0.0,0.0,116981.70317898644
AUS,q5,Storm surge,50,0.2045596960851609,116981.70317898644,0.2309980310138752,0.0,0,1.5,0,0.06,470974.124379196,,1.9079095809643891,,0.0,0.0,116981.70317898644
AUS,q5,Tsunami,50,0.2045596960851609,116981.70317898644,0.2309980310138752,0.0,0,1.5,0,0.06,470974.124379196,,1.9079095809643891,,0.0,0.0,116981.70317898644
AUS,q5,Wind,50,0.2045596960851609,116370.02800380258,0.2309980310138752,0.0,0,1.5,0,0.06,470974.124379196,,1.9155171035620726,,0.0,0.0,116370.02800380258
AUT,q1,Earthquake,50,0.2810733366875623,50116.59784290732,0.1818653202247265,0.0,0,1.5,0,0.06,83550.8513852865,,0.32446330235064824,,0.0,0.0,50116.59784290732
AUT,q1,Flood,50,0.2810733366875623,50116.59784290732,0.1818653202247265,0.0,0,1.5,0,0.06,83550.8513852865,,0.32446330235064824,,0.0,0.0,50116.59784290732
AUT,q1,Storm surge,50,0.2810733366875623,50116.59784290732,0.1818653202247265,0.0,0,1.5,0,0.06,83550.8513852865,,0.32446330235064824,,0.0,0.0,50116.59784290732
AUT,q1,Tsunami,50,0.2810733366875623,50116.59784290732,0.1818653202247265,0.0,0,1.5,0,0.06,83550.8513852865,,0.32446330235064824,,0.0,0.0,50116.59784290732
AUT,q1,Wind,50,0.2810733366875623,50116.59784290732,0.1818653202247265,0.0,0,1.5,0,0.06,83550.8513852865,,0.32446330235064824,,0.0,0.0,50116.59784290732
AUT,q2,Earthquake,50,0.2810733366875623,98462.14170280678,0.1818653202247265,0.0,0,1.5,0,0.06,201861.74487076103,,0.4699770842692673,,0.0,0.0,98462.14170280678
AUT,q2,Flood,50,0.2810733366875623,121083.43266190884,0.1818653202247265,0.0,0,1.5,0,0.06,201861.74487076103,,0.32446330235064824,,0.0,0.0,121083.43266190884
AUT,q2,Storm surge,50,0.2810733366875623,121083.43266190884,0.1818653202247265,0.0,0,1.5,0,0.06,201861.74487076103,,0.32446330235064824,,0.0,0.0,121083.43266190884
AUT,q2,Tsunami,50,0.2810733366875623,121083.43266190884,0.1818653202247265,0.0,0,1.5,0,0.06,201861.74487076103,,0.32446330235064824,,0.0,0.0,121083.43266190884
AUT,q2,Wind,50,0.2810733366875623,111021.60514240112,0.1818653202247265,0.0,0,1.5,0,0.06,201861.74487076103,,0.3785354657672245,,0.0,0.0,111021.60514240112
AUT,q3,Earthquake,50,0.2810733366875623,65264.662522744526,0.1818653202247265,0.0,0,1.5,0,0.06,253877.4808942393,,1.0284567663424413,,0.0,0.0,65264.662522744526
AUT,q3,Flood,50,0.2810733366875623,67420.43675464428,0.1818653202247265,0.0,0,1.5,0,0.06,253877.4808942393,,0.9961223680799939,,0.0,0.0,67420.43675464428
AUT,q3,Storm surge,50,0.2810733366875623,67420.43675464428,0.1818653202247265,0.0,0,1.5,0,0.06,253877.4808942393,,0.9961223680799939,,0.0,0.0,67420.43675464428
AUT,q3,Tsunami,50,0.2810733366875623,67420.43675464428,0.1818653202247265,0.0,0,1.5,0,0.06,253877.4808942393,,0.9961223680799939,,0.0,0.0,67420.43675464428
AUT,q3,Wind,50,0.2810733366875623,65264.6625227445,0.1818653202247265,0.0,0,1.5,0,0.06,253877.4808942393,,1.0284567663424418,,0.0,0.0,65264.6625227445
AUT,q4,Earthquake,50,0.2810733366875623,97420.12209065829,0.1818653202247265,0.0,0,1.5,0,0.06,378961.20547878847,,1.0284567663424422,,0.0,0.0,97420.12209065829
AUT,q4,Flood,50,0.2810733366875623,97420.12209065829,0.1818653202247265,0.0,0,1.5,0,0.06,378961.20547878847,,1.0284567663424422,,0.0,0.0,97420.12209065829
AUT,q4,Storm surge,50,0.2810733366875623,97420.12209065829,0.1818653202247265,0.0,0,1.5,0,0.06,378961.20547878847,,1.0284567663424422,,0.0,0.0,97420.12209065829
AUT,q4,Tsunami,50,0.2810733366875623,97420.12209065829,0.1818653202247265,0.0,0,1.5,0,0.06,378961.20547878847,,1.0284567663424422,,0.0,0.0,97420.12209065829
AUT,q4,Wind,50,0.2810733366875623,97420.12209065829,0.1818653202247265,0.0,0,1.5,0,0.06,378961.20547878847,,1.0284567663424422,,0.0,0.0,97420.12209065829
AUT,q5,Earthquake,50,0.2810733366875623,95280.905610969,0.1818653202247265,0.0,0,1.5,0,0.06,617698.0599441367,,1.6141845711728244,,0.0,0.0,95280.905610969
AUT,q5,Flood,50,0.2810733366875623,158792.56120396944,0.1818653202247265,0.0,0,1.5,0,0.06,617698.0599441367,,1.0284567663424422,,0.0,0.0,158792.56120396944
AUT,q5,Storm surge,50,0.2810733366875623,158792.56120396944,0.1818653202247265,0.0,0,1.5,0,0.06,617698.0599441367,,1.0284567663424422,,0.0,0.0,158792.56120396944
AUT,q5,Tsunami,50,0.2810733366875623,158792.56120396944,0.1818653202247265,0.0,0,1.5,0,0.06,617698.0599441367,,1.0284567663424422,,0.0,0.0,158792.56120396944
AUT,q5,Wind,50,0.2810733366875623,144005.7677895375,0.1818653202247265,0.0,0,1.5,0,0.06,617698.0599441367,,1.1280349170178252,,0.0,0.0,144005.7677895375
BEL,q1,Earthquake,50,0.2589876336506437,64715.82674807967,0.1700950073738132,0.0,0,1.5,0,0.06,107257.76848935043,,0.32452236718988264,,0.0,0.0,64715.82674807967
BEL,q1,Flood,50,0.2589876336506437,64715.82674807967,0.1700950073738132,0.0,0,1.5,0,0.06,107257.76848935043,,0.32452236718988264,,0.0,0.0,64715.82674807967
BEL,q1,Storm surge,50,0.2589876336506437,64715.82674807967,0.1700950073738132,0.0,0,1.5,0,0.06,107257.76848935043,,0.32452236718988264,,0.0,0.0,64715.82674807967
BEL,q1,Tsunami,50,0.2589876336506437,64715.82674807967,0.1700950073738132,0.0,0,1.5,0,0.06,107257.76848935043,,0.32452236718988264,,0.0,0.0,64715.82674807967
BEL,q1,Wind,50,0.2589876336506437,64715.82674807967,0.1700950073738132,0.0,0,1.5,0,0.06,107257.76848935043,,0.32452236718988264,,0.0,0.0,64715.82674807967
BEL,q2,Earthquake,50,0.2589876336506437,137511.99857811505,0.1700950073738132,0.0,0,1.5,0,0.06,227907.62088868787,,0.3245223671898825,,0.0,0.0,137511.99857811505
BEL,q2,Flood,50,0.2589876336506437,137511.99857811505,0.1700950073738132,0.0,0,1.5,0,0.06,227907.62088868787,,0.3245223671898825,,0.0,0.0,137511.99857811505
BEL,q2,Storm surge,50,0.2589876336506437,137511.99857811505,0.1700950073738132,0.0,0,1.5,0,0.06,227907.62088868787,,0.3245223671898825,,0.0,0.0,137511.99857811505
BEL,q2,Tsunami,50,0.2589876336506437,137511.99857811505,0.1700950073738132,0.0,0,1.5,0,0.06,227907.62088868787,,0.3245223671898825,,0.0,0.0,137511.99857811505
BEL,q2,Wind,50,0.2589876336506437,137511.99857811505,0.1700950073738132,0.0,0,1.5,0,0.06,227907.62088868787,,0.3245223671898825,,0.0,0.0,137511.99857811505
BEL,q3,Earthquake,50,0.2589876336506437,76668.43783778176,0.1700950073738132,0.0,0,1.5,0,0.06,271204.95243118174,,0.9498869272806538,,0.0,0.0,76668.43783778176
BEL,q3,Flood,50,0.2589876336506437,133075.807523486,0.1700950073738132,0.0,0,1.5,0,0.06,271204.95243118174,,0.47151509238424405,,0.0,0.0,133075.807523486
BEL,q3,Storm surge,50,0.2589876336506437,133075.807523486,0.1700950073738132,0.0,0,1.5,0,0.06,271204.95243118174,,0.47151509238424405,,0.0,0.0,133075.807523486
BEL,q3,Tsunami,50,0.2589876336506437,133075.807523486,0.1700950073738132,0.0,0,1.5,0,0.06,271204.95243118174,,0.47151509238424405,,0.0,0.0,133075.807523486
BEL,q3,Wind,50,0.2589876336506437,98246.56765368542,0.1700950073738132,0.0,0,1.5,0,0.06,271204.95243118174,,0.7197408106789694,,0.0,0.0,98246.56765368542
BEL,q4,Earthquake,50,0.2589876336506437,87044.024085239,0.1700950073738132,0.0,0,1.5,0,0.06,374748.64070844813,,1.1505255797776437,,0.0,0.0,87044.024085239
BEL,q4,Flood,50,0.2589876336506437,96904.74151759097,0.1700950073738132,0.0,0,1.5,0,0.06,374748.64070844813,,1.0419699874320432,,0.0,0.0,96904.74151759097
BEL,q4,Storm surge,50,0.2589876336506437,96904.74151759097,0.1700950073738132,0.0,0,1.5,0,0.06,374748.64070844813,,1.0419699874320432,,0.0,0.0,96904.74151759097
BEL,q4,Tsunami,50,0.2589876336506437,96904.74151759097,0.1700950073738132,0.0,0,1.5,0,0.06,374748.64070844813,,1.0419699874320432,,0.0,0.0,96904.74151759097
BEL,q4,Wind,50,0.2589876336506437,96904.74151759097,0.1700950073738132,0.0,0,1.5,0,0.06,374748.64070844813,,1.0419699874320432,,0.0,0.0,96904.74151759097
BEL,q5,Earthquake,50,0.2589876336506437,50447.9541004808,0.1700950073738132,0.0,0,1.5,0,0.06,585274.8357698943,,2.5275000000631875,,0.0,0.0,50447.9541004808
BEL,q5,Flood,50,0.2589876336506437,151343.86230144234,0.1700950073738132,0.0,0,1.5,0,0.06,585274.8357698943,,1.0419699874320443,,0.0,0.0,151343.86230144234
BEL,q5,Storm surge,50,0.2589876336506437,151343.86230144234,0.1700950073738132,0.0,0,1.5,0,0.06,585274.8357698943,,1.0419699874320443,,0.0,0.0,151343.86230144234
BEL,q5,Tsunami,50,0.2589876336506437,151343.86230144234,0.1700950073738132,0.0,0,1.5,0,0.06,585274.8357698943,,1.0419699874320443,,0.0,0.0,151343.86230144234
BEL,q5,Wind,50,0.2589876336506437,113762.17829816,0.1700950073738132,0.0,0,1.5,0,0.06,585274.8357698943,,1.3497200983359923,,0.0,0.0,113762.17829816
BEN,q1,Earthquake,50,0.2166936869532021,1718.9552130915774,0.4570694328380306,0.0,0,1.5,0,0.06,2651.657847255056,,0.9270423618969156,,0.0,0.0,1718.9552130915774
BEN,q1,Flood,50,0.2166936869532021,1718.9552130915774,0.4570694328380306,0.0,0,1.5,0,0.06,2651.657847255056,,0.9270423618969156,,0.0,0.0,1718.9552130915774
BEN,q1,Storm surge,50,0.2166936869532021,1718.9552130915774,0.4570694328380306,0.0,0,1.5,0,0.06,2651.657847255056,,0.9270423618969156,,0.0,0.0,1718.9552130915774
BEN,q1,Tsunami,50,0.2166936869532021,1718.9552130915774,0.4570694328380306,0.0,0,1.5,0,0.06,2651.657847255056,,0.9270423618969156,,0.0,0.0,1718.9552130915774
BEN,q1,Wind,50,0.2166936869532021,1718.955213091577,0.4570694328380306,0.0,0,1.5,0,0.06,2651.657847255056,,0.9270423618969164,,0.0,0.0,1718.955213091577
BEN,q2,Earthquake,50,0.2166936869532021,2587.8216188321185,0.4570694328380306,0.0,0,1.5,0,0.06,3991.9699190597207,,0.9270423618969159,,0.0,0.0,2587.8216188321185
BEN,q2,Flood,50,0.2166936869532021,2587.8216188321185,0.4570694328380306,0.0,0,1.5,0,0.06,3991.9699190597207,,0.9270423618969159,,0.0,0.0,2587.8216188321185
