iso3,income_cat,income_share,axfin,diversified_share,n,c,gamma_SP,k,liquidity
HTI,q4,0.2189999999999999,0.1541248875789316,0.08519136949608387,0.2,3065.028254673748,1.0090165161898528,27022.5889060377,81.9301374956413
HTI,q5,0.471,0.1920848504500161,0.08898736578319232,0.2,6591.91008196957,2.2667718906008685,57875.918103769414,96.09383079226109
HUN,q1,0.0810810810810811,0.1318740468114005,0.8146712925343891,0.2,14333.828032359248,0.6826155362854465,24580.267694330374,1465.863260103444
HUN,q2,0.1341341341341341,0.219313918530023,0.619857341063681,0.2,23712.752547359734,0.8592217937593575,83408.49770018783,1545.1786063717689
HUN,q3,0.1771771771771771,0.3192081579499544,0.5840988506999848,0.2,31322.068663303522,1.0694693802326678,120537.52766068117,1771.7798754862365
HUN,q4,0.2292292292292292,0.3770486351066004,0.48952093324496865,0.2,40524.03233839835,1.1596194400009872,191413.3889964756,1746.1300033446298
HUN,q5,0.3783783783783783,0.5467674951093731,0.3143239271431742,0.2,66891.19748434314,1.229073849721541,424394.4415314699,1821.645802263681
IDN,q1,0.0729270729270729,0.0728842834622945,0.12765525247408316,0.2,4525.036945112366,0.2884894601104273,26722.01736974596,525.5541107816199
IDN,q2,0.1098901098901099,0.1439433191521393,0.16441697618652434,0.2,6818.548821402199,0.5598964886631609,38569.19055819355,520.974682585841
IDN,q3,0.1498501498501498,0.1480915551266056,0.21092096571391408,0.2,9298.021120093903,0.9794435533891696,49667.23631857102,549.4152858181272
IDN,q4,0.2097902097902098,0.2492578257221486,0.14563224543243125,0.2,13017.22956813147,0.9467716443466123,75287.41311756284,579.5816876691464
IDN,q5,0.4575424575424575,0.3624811241142319,0.15695457527163958,0.2,28389.957820020056,2.2253988534906295,162022.25978391623,578.7192517984467
IND,q1,0.081,0.0502245740855072,0.11223030332986991,0.2,2880.375955358069,0.35551064157332857,10936.628282422122,257.53012662224734
IND,q2,0.119,0.0941720334337496,0.09560880358997187,0.2,4231.66344058778,0.4449408647522732,16368.218109396243,276.82858606097557
IND,q3,0.157,0.0993120968755837,0.11496280053791187,0.2,5582.950925817491,0.7058532793284942,21132.90951222349,284.92046872802297
IND,q4,0.215,0.1509226271449145,0.13282855592713466,0.2,7645.442350641788,1.1168307437678724,28355.77645860395,310.76374636107425
IND,q5,0.428,0.2426856427831661,0.1420048574909598,0.2,15219.764307324116,2.376864470578031,55850.454805777576,339.501800420508
IRL,q1,0.0900900900900901,0.5670637095810129,0.48708260112033164,0.2,50651.09051978154,0.5682126450999321,153942.31487469233,3824.791306394162
IRL,q2,0.1331331331331331,0.6289054417315803,0.36867657307454854,0.2,74851.05599034383,0.6355693585699755,280008.7600931546,3971.777697471781
IRL,q3,0.1701701701701702,0.6657803404694854,0.43792841804500965,0.2,95674.28209292068,0.9649789017214048,318646.110549236,3984.711447693012
IRL,q4,0.2232232232232232,0.6379090542140701,0.3582340555220913,0.2,125502.14651012534,1.0354699527356306,477254.02820049954,4022.891924259845
IRL,q5,0.3833833833833834,0.6728804412672224,0.3617311942274065,0.2,215548.52965640364,1.7957691418730564,815211.8158755102,4019.5795146880355
IRN,q1,0.0599400599400599,0.1759897016055211,0.09046578277706491,0.2,4633.690111504193,0.5095470290407832,26597.18848697105,702.5670905116152
IRN,q2,0.1028971028971029,0.2092346298722513,0.05805351463731183,0.2,7954.501358082204,0.5613250456098938,47285.5988146977,713.794472315357
IRN,q3,0.1468531468531468,0.199637167915027,0.0470617312541019,0.2,11352.540773185277,0.6494323409856255,68272.77276911047,769.4565179363298
IRN,q4,0.2157842157842158,0.2634401264517911,0.04980270478423141,0.2,16681.28440141511,1.0098464870937052,100030.62435207941,762.365261347101
IRN,q5,0.4745254745254745,0.3420916463102973,0.050904326763834135,0.2,36683.38004940822,2.269849097269992,219719.7224090385,774.8378558049736
IRQ,q1,0.088,0.0,0.1295524577927307,0.2,4047.5691052241405,0.48797544222425193,9793.514574702478,383.31675250803215
IRQ,q2,0.131,0.0090503182715976,0.11454403049185866,0.2,6025.3585543677555,0.6422637252007802,14830.355590368074,401.0423408222212
IRQ,q3,0.171,0.0120109400180943,0.11606852116064453,0.2,7865.162693106001,0.8495328932458196,19325.37852944405,437.3115491253855
IRQ,q4,0.225,0.0095675858519416,0.10922143662647375,0.2,10348.898280402633,1.051865086764376,25625.10028866092,434.8347065479263
IRQ,q5,0.385,0.0603216061251828,0.11944687530776518,0.2,17708.114835355616,1.9683628525647718,43344.06016461174,437.40611305765515
ISL,q1,0.0969999999999999,0.7157355524143663,0.5399708401406569,0.2,26950.206583115127,0.6383283688109789,100640.08945409274,2657.8030141589425
ISL,q2,0.142,0.6281828517973378,0.3850784066334797,0.2,39452.87974023044,0.6664070989490615,196934.59167403373,2860.329359404463
ISL,q3,0.179,0.7802974995918048,0.4262375491157044,0.2,49732.85544719189,0.9298370376491297,231632.2750131448,2853.6183622672124
ISL,q4,0.223,0.8796460906041645,0.3957624813486091,0.2,61957.69142303795,1.075577200242471,303897.0399678955,2882.9163524049372
ISL,q5,0.359,0.7843717446179107,0.38623504674998366,0.2,99743.54807565302,1.6898502943483584,496947.43498017266,2738.3515875890253
ISR,q1,0.052,0.4488651972984354,0.36186316286980874,0.2,11542.258077333563,0.29412434829248846,38022.77230411588,1963.6624790600556
ISR,q2,0.109,0.5794317660995795,0.27770582187702963,0.2,24194.348662103053,0.4731455303936892,90212.60670964456,2088.6615192723366
ISR,q3,0.165,0.612658308997454,0.33238303925509344,0.2,36624.472745385356,0.857247166453103,126222.833540241,2018.589080587918
ISR,q4,0.236,0.6031211981064577,0.31260927816299566,0.2,52384.094350975414,1.1531800646921178,185884.1194934738,2056.3405191529864
ISR,q5,0.4379999999999999,0.7230087269137112,0.32459803104372104,0.2,97221.32765138656,2.222302890168601,338971.3965205171,2207.4310767354923
ITA,q1,0.0629370629370629,0.3538688777965296,0.4861452173496723,0.2,13938.102120951276,0.4103442618558516,79606.39430589968,1967.3536546179507
ITA,q2,0.1208791208791209,0.5658478638344857,0.3693055306056784,0.2,26770.00566087469,0.598705130269261,187659.8625517918,2234.002981342728
ITA,q3,0.1688311688311688,0.4680346506257375,0.39703852096005016,0.2,37389.51203874232,0.8990030118423133,250578.1930241792,2189.4869836378243
