iso3,hazard,income_cat,rp,fa,recovery_rate,recovery_time,macro_multiplier_Gamma,v_ew
AGO,Earthquake,q4,50.0,0.0008827493619689876,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,100.0,0.0017647390326807442,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,250.0,0.004406163026662627,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,500.0,0.008216432011645574,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,1000.0,0.012279810212573142,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,2500.0,0.020789676472999025,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,5000.0,0.030853768074053912,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q5,10.0,0.0001779007713898703,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,25.0,0.0004382448939886333,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,50.0,0.0008827493619689876,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,100.0,0.0017647390326807442,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,250.0,0.004406163026662627,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,500.0,0.008216432011645574,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,1000.0,0.012279810212573142,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,2500.0,0.020789676472999025,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,5000.0,0.030853768074053912,0.1830000000000001,16.370121713409773,1.4603399459112667,0.28811627984659943
AGO,Flood,q1,10.0,0.0008080972817445324,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,25.0,0.0016478623328010594,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,50.0,0.00228715367557215,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,100.0,0.0025409489117520696,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,250.0,0.0026756804200508727,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,500.0,0.002795515026581587,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,1000.0,0.0029394735418357878,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,2500.0,0.003163999928673703,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q1,5000.0,0.0033743622469116124,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,10.0,0.0008075998762570409,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,25.0,0.0016468480294671883,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,50.0,0.0022857458713205258,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,100.0,0.002539384889745446,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,250.0,0.002674033467197828,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,500.0,0.0027937943123235403,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,1000.0,0.0029376642172617854,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,2500.0,0.0031620524021041944,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,5000.0,0.003372285236709605,0.1497866136776995,20.0,1.5332208995388774,0.6225060140655241
AGO,Flood,q3,10.0,0.0007981135442743715,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,25.0,0.0016275036145015297,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,50.0,0.0022588967535818534,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,100.0,0.0025095564452345996,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,250.0,0.0026426233965076568,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,500.0,0.0027609774916216518,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,1000.0,0.0029031574536553923,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,2500.0,0.003124909901572891,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,5000.0,0.0033326732726217103,0.1497866136776995,20.0,1.5332208995388774,0.5096400427099916
AGO,Flood,q4,10.0,0.0007976332648887252,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,25.0,0.0016265242345101518,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,50.0,0.0022575374212502174,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,100.0,0.0025080462738606034,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,250.0,0.0026410331496681256,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,500.0,0.0027593160230461934,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,1000.0,0.002901410425693921,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,2500.0,0.0031230294300303462,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,5000.0,0.003330667775680307,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,10.0,0.0008017707301823109,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,25.0,0.001634961304358788,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,50.0,0.002269247668478556,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,100.0,0.002521055954962924,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,250.0,0.0026547326572952125,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,500.0,0.0027736290849280617,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,1000.0,0.002916460556458504,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,2500.0,0.0031392291378991,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,5000.0,0.0033479445404956064,0.1497866136776995,20.0,1.5332208995388774,0.3918564170144741
ALB,Earthquake,q1,10.0,0.0039554094637977225,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,25.0,0.009862172624152177,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,50.0,0.01967956628381014,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,100.0,0.039181242399818836,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,250.0,0.0966182460741765,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,500.0,0.16335235390661737,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,1000.0,0.2118260020762758,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,2500.0,0.29450410801052057,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q1,5000.0,0.3742619971691063,0.1497866136776995,20.0,1.4863140116389217,0.7
ALB,Earthquake,q2,10.0,0.0039554094637977225,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,25.0,0.009862172624152177,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,50.0,0.01967956628381014,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,100.0,0.039181242399818836,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,250.0,0.0966182460741765,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,500.0,0.16335235390661737,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,1000.0,0.2118260020762758,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,2500.0,0.29450410801052057,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,5000.0,0.3742619971691063,0.1497866136776995,20.0,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q3,10.0,0.0039554094637977225,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,25.0,0.009862172624152177,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,50.0,0.01967956628381014,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,100.0,0.039181242399818836,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,250.0,0.0966182460741765,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,500.0,0.16335235390661737,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,1000.0,0.2118260020762758,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,2500.0,0.29450410801052057,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
ALB,Earthquake,q3,5000.0,0.3742619971691063,0.1570000000000001,19.081097283783368,1.4701482473997542,0.3
