iso3,pov_line,pov_headcount
CIV,5.5,0.645964964461
CIV,6.85,0.756192043761
CIV,7.0,0.768221166567
CIV,7.3,0.7828952618052
CIV,7.5,0.792677991964
CIV,10.0,0.885613606979
CIV,10.27,0.8894988789197901
CIV,15.0,0.957563087364
CIV,inf,1.0
CMR,0.0,0.0
CMR,2.15,0.256575177358
CMR,3.2,0.411708533167
CMR,3.22,0.41464962586980003
CMR,3.25,0.419061264924
CMR,3.65,0.469771474318
CMR,4.3,0.542478703438
CMR,5.45,0.646881474678
CMR,5.47,0.6480353861084
CMR,5.5,0.649766253254
CMR,6.85,0.747581325089
CMR,7.0,0.754984297724
CMR,7.3,0.7700988788450001
CMR,7.5,0.780175266259
CMR,10.0,0.863209551814
CMR,10.27,0.8672570143146341
CMR,15.0,0.938162561085
CMR,inf,1.0
COD,0.0,0.0
COD,2.15,0.698637778178
COD,3.2,0.843268316331
COD,3.22,0.8453099886677999
COD,3.25,0.848372497173
COD,3.65,0.878265274918
COD,4.3,0.913246389283
COD,5.45,0.950931715829
COD,5.47,0.9512539579038
COD,5.5,0.951737321016
COD,6.85,0.97378873265
COD,7.0,0.974609422386
COD,7.3,0.9774278298294
COD,7.5,0.979306768125
COD,10.0,0.990932209125
COD,10.27,0.991285888078014
COD,15.0,0.997481819366
COD,inf,1.0
COG,0.0,0.0
COG,2.15,0.353574541559
COG,3.2,0.531756780764
COG,3.22,0.5349692870804
COG,3.25,0.539788046555
COG,3.65,0.590858444727
COG,4.3,0.667268786638
COG,5.45,0.756461479479
COG,5.47,0.7581123483006
COG,5.5,0.760588651533
COG,6.85,0.83511898051
COG,7.0,0.841646690204
COG,7.3,0.8521956936884
COG,7.5,0.859228362678
COG,10.0,0.922810266605
COG,10.27,0.924913076936402
COG,15.0,0.961751198668
COG,inf,1.0
COL,0.0,0.0
COL,2.15,0.06613518166
COL,3.2,0.128786812112
COL,3.22,0.1299385208104
COL,3.25,0.131666083858
COL,3.65,0.159825847923
COL,4.3,0.206285698313
COL,5.45,0.292127453585
COL,5.47,0.29359476411259994
COL,5.5,0.295795729904
COL,6.85,0.391973844401
COL,7.0,0.402768805888
COL,7.3,0.4215888915958
COL,7.5,0.434135615401
COL,10.0,0.565943122524
COL,10.27,0.574779749817504
COL,15.0,0.7295843687
COL,inf,1.0
COM,0.0,0.0
COM,2.15,0.186437217461
COM,3.2,0.339901861821
COM,3.22,0.3422071520918
COM,3.25,0.345665087498
COM,3.65,0.395245539865
COM,4.3,0.486999136124
COM,5.45,0.594147451725
COM,5.47,0.5965076104038
COM,5.5,0.600047848422
COM,6.85,0.686025033412
COM,7.0,0.700840117349
COM,7.3,0.7194193981874
COM,7.5,0.731805585413
COM,10.0,0.832890502011
COM,10.27,0.837734355328116
COM,15.0,0.922591489365
COM,inf,1.0
CPV,0.0,0.0
CPV,2.15,0.045642310858
CPV,3.2,0.141719625922
CPV,3.22,0.1430030163188
CPV,3.25,0.144928101914
CPV,3.65,0.193314782684
CPV,4.3,0.268897152737
CPV,5.45,0.382249668635
CPV,5.47,0.38428431629739995
CPV,5.5,0.387336287791
CPV,6.85,0.509498176045
CPV,7.0,0.518850260956
CPV,7.3,0.5415480910564
CPV,7.5,0.55667997779
CPV,10.0,0.69928246945
CPV,10.27,0.707201954649604
CPV,15.0,0.845939602776
CPV,inf,1.0
CRI,0.0,0.0
CRI,2.15,0.008868735494
CRI,3.2,0.022942953808
CRI,3.22,0.0232065021392
CRI,3.25,0.023601824636
CRI,3.65,0.033232361523
CRI,4.3,0.050442505407
CRI,5.45,0.085714082706
CRI,5.47,0.08637337601079999
CRI,5.5,0.087362315968
CRI,6.85,0.140520959236
CRI,7.0,0.145845695563
CRI,7.3,0.158558119474
CRI,7.5,0.167033068748
CRI,10.0,0.276305768298
CRI,10.27,0.286909510208058
CRI,15.0,0.472671359225
CRI,inf,1.0
CYP,0.0,0.0
CYP,2.15,0.000126419744
CYP,3.2,0.000635588307
CYP,3.22,0.000635588307
CYP,3.25,0.000635588307
CYP,3.65,0.000635588307
CYP,4.3,0.000635588307
CYP,5.45,0.000724003029
CYP,5.47,0.000724003029
CYP,5.5,0.000724003029
CYP,6.85,0.001963527244
CYP,7.0,0.001963527244
CYP,7.3,0.001963527244
CYP,7.5,0.001963527244
CYP,10.0,0.002657401962
CYP,10.27,0.0034220190332219986
CYP,15.0,0.016816977355
CYP,inf,1.0
CZE,0.0,0.0
CZE,2.15,8.1421604e-05
CZE,3.2,0.000168970424
CZE,3.22,0.000168970424
CZE,3.25,0.000168970424
CZE,3.65,0.000168970424
CZE,4.3,0.00065686788
CZE,5.45,0.001303541124
CZE,5.47,0.0015165075667999963
CZE,5.5,0.001835957231
CZE,6.85,0.004238844072
CZE,7.0,0.004279154541
CZE,7.3,0.004587692573999999
CZE,7.5,0.004793384596
CZE,10.0,0.014075137359
CZE,10.27,0.014995325497373998
CZE,15.0,0.03111565844
CZE,inf,1.0
DEU,0.0,0.0
DEU,2.15,0.0
DEU,3.2,0.002469338003
DEU,3.22,0.002469338003
DEU,3.25,0.002469338003
DEU,3.65,0.002469338003
DEU,4.3,0.002469338003
DEU,5.45,0.002469338003
DEU,5.47,0.002469338003
DEU,5.5,0.002469338003
DEU,6.85,0.002469338003
DEU,7.0,0.002469338003
DEU,7.3,0.002469338003
DEU,7.5,0.002469338003
DEU,10.0,0.004998630502
DEU,10.27,0.005662301355999999
DEU,15.0,0.017288831502
DEU,inf,1.0
DJI,0.0,0.0
DJI,2.15,0.190792072931
DJI,3.2,0.36405041248
DJI,3.22,0.366745986374
DJI,3.25,0.370789347215
DJI,3.65,0.437987518776
DJI,4.3,0.52887286116
DJI,5.45,0.664290370838
DJI,5.47,0.6663234721464
DJI,5.5,0.669373124109
DJI,6.85,0.784910005851
DJI,7.0,0.794709208083
DJI,7.3,0.8105225098278
DJI,7.5,0.821064710991
DJI,10.0,0.897421415929
DJI,10.27,0.9005613041823101
DJI,15.0,0.955567494694
DJI,inf,1.0
DNK,0.0,0.0
DNK,2.15,0.001649913074
DNK,3.2,0.002197262934
DNK,3.22,0.0022333601124
DNK,3.25,0.00228750588
DNK,3.65,0.002390417915
DNK,4.3,0.002475849643
DNK,5.45,0.002898916559
DNK,5.47,0.002898916559
DNK,5.5,0.002898916559
DNK,6.85,0.003622916238
DNK,7.0,0.003622916238
DNK,7.3,0.004716654814799999
DNK,7.5,0.005445813866
DNK,10.0,0.006541312189
DNK,10.27,0.006742063049134
DNK,15.0,0.01025892071
DNK,inf,1.0
DOM,0.0,0.0
DOM,2.15,0.008537285128
DOM,3.2,0.032441968348
DOM,3.22,0.0331543488168
DOM,3.25,0.03422291952
DOM,3.65,0.043445675245
DOM,4.3,0.071110998855
DOM,5.45,0.14034219976
DOM,5.47,0.14216223386519997
DOM,5.5,0.144892285023
DOM,6.85,0.232236564553
DOM,7.0,0.244254376724
DOM,7.3,0.2649860498804
DOM,7.5,0.278807165318
DOM,10.0,0.465294003647
DOM,10.27,0.478252059094418
DOM,15.0,0.705257993414
DOM,inf,1.0
DZA,0.0,0.0
DZA,2.15,0.004554675293
DZA,3.2,0.021885192871
DZA,3.22,0.022519831543000003
DZA,3.25,0.023471789551
DZA,3.65,0.040192077637
DZA,4.3,0.083579394531
DZA,5.45,0.199767089844
DZA,5.47,0.20211037109399996
DZA,5.5,0.205625292969
DZA,6.85,0.365749511719
DZA,7.0,0.383446166992
DZA,7.3,0.41793633789039997
DZA,7.5,0.440929785156
DZA,10.0,0.6796515625
DZA,10.27,0.691483214133628
DZA,15.0,0.898756222382
DZA,inf,1.0
ECU,0.0,0.0
ECU,2.15,0.031807919477
ECU,3.2,0.073453013876
ECU,3.22,0.07489757184600002
ECU,3.25,0.077064408801
ECU,3.65,0.094800468637
ECU,4.3,0.131862209034
ECU,5.45,0.205531023758
ECU,5.47,0.20752477861079996
ECU,5.5,0.21051541089
ECU,6.85,0.29931489438
ECU,7.0,0.30801700429
ECU,7.3,0.3274703996662
ECU,7.5,0.340439329917
ECU,10.0,0.470492751525
ECU,10.27,0.48184526257008
ECU,15.0,0.680724437545
ECU,inf,1.0
EGY,0.0,0.0
EGY,2.15,0.014670147196
EGY,3.2,0.107189575681
EGY,3.22,0.11002609075500001
EGY,3.25,0.114280863366
EGY,3.65,0.176241954392
EGY,4.3,0.298606472995
EGY,5.45,0.504432323484
EGY,5.47,0.5079063721231999
EGY,5.5,0.513117445082
EGY,6.85,0.687606592308
EGY,7.0,0.701287202329
EGY,7.3,0.728709885367
EGY,7.5,0.746991674059
EGY,10.0,0.875072762276
EGY,10.27,0.8794488954301699
EGY,15.0,0.956112265131
EGY,inf,1.0
ESP,0.0,0.0
ESP,2.15,0.008863663023
ESP,3.2,0.012728112987
ESP,3.22,0.0129145069482
ESP,3.25,0.01319409789
ESP,3.65,0.014342085032
ESP,4.3,0.016512368282
ESP,5.45,0.022876047321
ESP,5.47,0.022882560663000002
ESP,5.5,0.022892330676
ESP,6.85,0.030552765388
ESP,7.0,0.031253917955
ESP,7.3,0.033109139244199996
ESP,7.5,0.034345953437
ESP,10.0,0.051738934831
ESP,10.27,0.054219483049156
ESP,15.0,0.097675012945
ESP,inf,1.0
EST,0.0,0.0
EST,2.15,0.003486593807
EST,3.2,0.004611030765
EST,3.22,0.004611030765
EST,3.25,0.004611030765
EST,3.65,0.004832018293
EST,4.3,0.006592576449
EST,5.45,0.009069384235
EST,5.47,0.009069384235
EST,5.5,0.009069384235
EST,6.85,0.013402285359
EST,7.0,0.013679477476
EST,7.3,0.014713619982399999
EST,7.5,0.01540304832
EST,10.0,0.025115059678
EST,10.27,0.026951563812495995
EST,15.0,0.059124395502
EST,inf,1.0
ETH,0.0,0.0
ETH,2.15,0.269846056657
ETH,3.2,0.533200632049
ETH,3.22,0.5384221624474
ETH,3.25,0.546254458045
ETH,3.65,0.650256094146
ETH,4.3,0.756180583955
ETH,5.45,0.855735602192
ETH,5.47,0.8567785412792
ETH,5.5,0.85834294991
ETH,6.85,0.909090773242
ETH,7.0,0.914668904137
ETH,7.3,0.9218731826746
ETH,7.5,0.926676035033
ETH,10.0,0.96391623808
ETH,10.27,0.965216764118188
ETH,15.0,0.988000053602
ETH,inf,1.0
FIN,0.0,0.0
FIN,2.15,0.000276208987
FIN,3.2,0.000371751998
FIN,3.22,0.000371751998
FIN,3.25,0.000371751998
FIN,3.65,0.000382842498
FIN,4.3,0.000382842498
FIN,5.45,0.000687659465
FIN,5.47,0.000687659465
FIN,5.5,0.000687659465
FIN,6.85,0.000792763983
FIN,7.0,0.000805012519
FIN,7.3,0.0008145670642
FIN,7.5,0.000820936761
FIN,10.0,0.00120466697
FIN,10.27,0.0013988772431059997
FIN,15.0,0.004801153509
FIN,inf,1.0
FJI,0.0,0.0
FJI,2.15,0.013182688831
FJI,3.2,0.082365419871
FJI,3.22,0.08470266695740002
FJI,3.25,0.088208537587
FJI,3.65,0.123558197867
FJI,4.3,0.196576318036
FJI,5.45,0.34846763494
FJI,5.47,0.35187122727599995
FJI,5.5,0.35697661578
FJI,6.85,0.525971567892
FJI,7.0,0.543322926996
FJI,7.3,0.57460127049
FJI,7.5,0.595453499486
FJI,10.0,0.771513757491
FJI,10.27,0.779634231380778
FJI,15.0,0.921892903598
FJI,inf,1.0
FRA,0.0,0.0
FRA,2.15,0.001148958258
FRA,3.2,0.001835155379
FRA,3.22,0.001835155379
FRA,3.25,0.001835155379
FRA,3.65,0.002144676856
FRA,4.3,0.002446427422
FRA,5.45,0.002699786932
FRA,5.47,0.002699786932
FRA,5.5,0.002699786932
FRA,6.85,0.004329981764
FRA,7.0,0.004329981764
FRA,7.3,0.0044258570912
FRA,7.5,0.004489773976
FRA,10.0,0.006571594956
FRA,10.27,0.007504026476843998
FRA,15.0,0.023838845342
FRA,inf,1.0
FSM,0.0,0.0
FSM,2.15,0.160284376443
FSM,3.2,0.339652878489
FSM,3.22,0.34198886649300003
FSM,3.25,0.345492848499
FSM,3.65,0.406702338557
FSM,4.3,0.508495377089
FSM,5.45,0.643836143768
FSM,5.47,0.6446073888484
FSM,5.5,0.645764256469
FSM,6.85,0.74819850168
FSM,7.0,0.761120355663
FSM,7.3,0.7718702019888
FSM,7.5,0.779036766206
FSM,10.0,0.884325720086
FSM,10.27,0.888370330535054
FSM,15.0,0.959225913587
FSM,inf,1.0
GAB,0.0,0.0
GAB,2.15,0.024686419565
GAB,3.2,0.064734434813
GAB,3.22,0.0653867544274
GAB,3.25,0.066365233849
GAB,3.65,0.081323506282
GAB,4.3,0.12372218171
GAB,5.45,0.209898462348
GAB,5.47,0.21135853201959998
GAB,5.5,0.213548636527
GAB,6.85,0.312246696073
GAB,7.0,0.322927103927
GAB,7.3,0.3440576752604
GAB,7.5,0.358144722816
GAB,10.0,0.520536797817
GAB,10.27,0.532019880967596
GAB,15.0,0.733186485791
GAB,inf,1.0
GBR,0.0,0.0
GBR,2.15,0.004993337475
GBR,3.2,0.004993337475
GBR,3.22,0.004993337475
GBR,3.25,0.004993337475
GBR,3.65,0.004993337475
GBR,4.3,0.007391624899
GBR,5.45,0.007391624899
GBR,5.47,0.007391624899
GBR,5.5,0.007391624899
GBR,6.85,0.007391624899
GBR,7.0,0.009970627257
GBR,7.3,0.009970627257
GBR,7.5,0.009970627257
GBR,10.0,0.014869151259
GBR,10.27,0.015551106746118
GBR,15.0,0.027497956576
GBR,inf,1.0
GEO,0.0,0.0
GEO,2.15,0.054850259814
GEO,3.2,0.138984146967
GEO,3.22,0.1415281834066
GEO,3.25,0.145344238066
GEO,3.65,0.190543884684
GEO,4.3,0.267931355491
