iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dc,dc_npv_post,dc_npv_pre,diversified_share,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,macro_multiplier_Gamma,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
BOL,8244.235658484637,12224110.0,0.7082999999999999,0.3505492399830046,0.3666666666666666,0.4823807976371062,0.1607276599735671,0.019645011375,0.06,0.05,0.8,1.5,0.09384924682234494,19.802322181134763,1.7272538353261652e-06,242065764.59763128,21.11414088094893,0.020012676317423338,1648.8471316969276,19.802322181134763,42.01738730401756,42.01738730401756,0.03472960894582046,0.0024238202695583615,0.1,0.09384924682234494,0.7301470439533038,0.09384924682234494,0.039999999999999994,3418.144212567414,0.48482304108200486,0.038789409758088075,0.11135355739460859,87.9712720288287,1075370506.120325,0.010670640150647828,0.22509987322503902,0.0024019597451408374
BRA,15093.465117066098,215313498.0,0.87555,0.5291082704872349,0.55,0.2423649776461265,0.2714958920331365,0.058245602832,0.06,0.05,0.8,1.5,0.16623812067867533,26.944870037404094,6.808324934686084e-07,5801594220.908867,146.59242572078824,0.018235153170295088,3622.4316280958637,26.944870037404094,38.27017117540334,38.27017117540334,0.08477338920846918,0.0010704594732935393,0.08,0.16623812067867536,0.571246274847209,0.16623812067867536,0.048,14946.184317871712,0.38146495803464814,0.04748230438911882,0.12038530945594358,85.8999009353397,18495408148.241463,0.0056911981621909444,0.3136775449565021,0.0017852010673770119
BTN,11595.683107514,782455.0,0.43686,0.6,0.8333333333333334,0.15485283162287,0.0458241761753092,1.5388477e-05,0.06,0.05,0.8,1.5,18.505862293744745,207.48805565200533,6.219899535647023e-06,162350066.58518982,4.866791491164692,0.022332764273915236,2319.1366215028,207.48805565200533,263.23243160356594,263.232431603566,0.009010008818475041,0.009474079777152731,0.1,18.50586229374474,37.01172458748949,18.50586229374474,0.04000000000000001,14976.391436940896,0.2503367722756308,0.03589410340695245,0.06990655466435462,528.4772612210519,413509675.42871815,0.045575345266084304,0.3926149162455962,0.01789356036450782
BWA,15518.6510452679,2630296.0,0.72224,0.6,0.6708333333333334,0.2158499620289047,0.166027543114214,0.154262420302,0.06,0.05,0.8,1.5,0.2732822657763068,20.36627138575512,5.599141914800323e-07,53569322.160866134,1.4727400581931631,0.012077367346943292,2172.611146337506,20.36627138575512,31.14693354162716,31.14693354162716,0.0278556790313916,0.0006793505255391929,0.07,0.2732822657763068,0.6789621509970355,0.27328226577630677,0.028,10065.376550988543,0.23046542270981307,0.027678117845809258,0.07809556541187672,73.65647273576532,193738325.61099258,0.004746319285156256,0.27650348474894976,0.001312373822076849
CAN,48974.5865932969,38929902.0,0.8175199999999999,0.7290944203661487,0.825,0.2209511482560882,0.3236300104570574,0.002486375387,0.06,0.05,0.8,1.5,1.1731938943714926,27.660938963293297,7.856757486719718e-08,1076837643.0689898,3.058627989957649,0.04472779207094946,10284.66318459235,27.6609389632933,40.42637605894836,40.42637605894836,0.07299108106335714,0.00039769203693142385,0.07,1.1731938943714926,1.9504376464500015,1.1731938943714926,0.041999999999999996,46547.226686833754,0.31980108645685845,0.0418234685449574,0.09250048785721311,57.95854232519456,2256320372.782676,0.0011834411754509282,0.4772538758496191,0.0005648018878239846
CHE,72278.20725820548,8775760.0,0.74092,0.8346389202560219,1.0,0.2289916063398242,0.3480249239755463,0.00030503981,0.06,0.05,0.8,1.5,7.748251110128928,105.35036487768502,1.6588546032741456e-07,924529518.0789931,1.4557709873229117,0.03373248086776794,8673.384870984657,105.35036487768502,140.17990524549643,140.17990524549643,0.0475642110314638,0.0012614497455845427,0.060000000000000005,7.748251110128928,9.283357056668512,7.748251110128928,0.024,37876.43140995014,0.16682078523873695,0.023497017137102366,0.041853010560167395,219.08554173511067,1922642133.7373147,0.0030311424431496074,0.48086406817781147,0.001457567486439351
CHL,25886.1213561616,19603733.0,0.87912,0.5408725972262776,0.8666666666666667,0.2231146309942332,0.2154804741116743,0.00749503097,0.06,0.05,0.8,1.5,4.22243140343786,211.56706265909975,1.7622288517036434e-06,4147504207.9632616,34.54626389369482,0.02175491019031656,5436.085484793936,211.56706265909975,283.5009420686988,283.5009420686988,0.05471580972455005,0.006479093531302712,0.07,4.22243140343786,9.00773353969298,4.22243140343786,0.042,24364.54059767349,0.30485666894488694,0.03966094634454764,0.08262983003153204,499.45709250308784,9791223486.386835,0.019294396624011945,0.4235940701108209,0.008172991996297702
CHN,18187.8411189224,1412175000.0,0.6356,0.8,0.8166666666666667,0.2022686904693058,0.3160080898699609,0.001107742747,0.06,0.05,0.8,1.5,2.4268843955079915,48.80212755289476,5.673588438610888e-07,68917144477.00916,801.2099753295331,0.030383176866299006,6183.865980433617,48.80212755289476,63.05735195416199,63.05735195416199,0.11332477465161644,0.001785370094324817,0.068,2.4268843955079915,3.7146189727163135,2.426884395507991,0.068,30572.53184408199,0.45995497151099074,0.06724283100454882,0.11605602561729923,94.6880517990793,133716099549.36482,0.005206118262192595,0.5153990036298254,0.0026832281651131013
CIV,5537.369757684749,28160542.0,0.52661,0.4411772661914926,0.4416666666666666,0.5264144049225482,0.1072404611072749,0.115022170219,0.06,0.05,0.8,1.5,0.02451897758295143,2.444954915929367,3.8852007624872286e-07,68851255.59813541,10.940935925045363,0.005870329056486297,1107.4739515369497,2.444954915929367,6.188290786183933,6.188290786183933,0.01884589074753909,0.00040522808335161683,0.1,0.024518977582951434,0.1258330165214232,0.02451897758295143,0.04000000000000001,2103.8063190916923,0.5499015910110667,0.03979349701352522,0.12697654430028363,10.89263778516329,306742583.8398778,0.0019671140382212173,0.22445939763641148,0.0004415372321012633
CMR,3723.5323365555096,27914536.0,0.58733,0.5426972877468083,0.5,0.4033385932793022,0.0184804218843114,0.256575177358,0.06,0.05,0.8,1.5,0.050755228520893425,4.529079765241417,1.3446033029184295e-06,126427160.1537031,37.53397730503541,0.00860213089462503,744.706467311102,4.529079765241417,7.426900977906161,7.426900977906161,0.0029044387441497645,0.0011947780560794083,0.1,0.050755228520893425,0.18704802720360356,0.050755228520893425,0.04,1846.3555923482154,0.3882507552484771,0.03942531345447737,0.10183441858962773,20.78732255667357,580268463.8518764,0.005582688876526069,0.21787701388158814,0.0012163395818474581
