,iso3,country,MerL_Riv,MerL_Co
152,PAN,Panama,14.82792086905369,30.56778404030802
153,VEN,"Venezuela, Republica Bolivariana de",16.19097200272001,6.516841314870319
154,PNG,Papua New Guinea,5.960392750550082,1.947841933119275
155,EGY,"Egypt, Arab Republic of",29.25289010747523,8.304822126156266
156,YEM,"Yemen, Republic of",6.474630607855146,2.113982768141798
157,MRT,Mauritania,2.146631575272727,0.05537803337980375
158,GNQ,Equatorial Guinea,33.66824258268666,22.06717816272551
159,GMB,"Gambia, The",1.514883192296329,2.721972284281445
160,HKG,"Hong Kong (SAR, China)",178.6954908233568,147.8592406649118
161,VAT,Vatican City,,
162,AUS,Australia,100.0000313720315,64.25544615862299
163,GRL,Greenland (Den.),45.5483607571371,0
164,FJI,Fiji,24.46939794011756,0
165,NCL,New Caledonia (Fr.),0,0
166,MDG,Madagascar,2.194243651712885,1.017788175305747
167,PHL,Philippines,8.126458979264724,6.240046709651354
168,LKA,Sri Lanka,6.466352036041324,0
169,CUW,Curaçao (Neth.),0,0
170,ABW,Aruba (Neth.),0,36.31475256162651
171,BHS,"Bahamas, The",0,6.864329661803307
172,TCA,Turks and Caicos Islands (UK),0,0
173,JPN,Japan,199.9999740792291,184.1309727268001
174,SPM,Saint-Pierre-et-Miquelon (Fr.),0,4.386719090720463
175,ISL,Iceland,13.28937407589848,0
176,PCN,Pitcairn Islands (UK),0,0
177,PYF,French Polynesia (Fr.),0,0
178,ATF,French Southern and Antarctic Lands (Fr.),,
179,SYC,Seychelles,0,0
180,KIR,Kiribati,0,0
181,MHL,Marshall Islands,0,0
182,TTO,Trinidad and Tobago,0,1.572770996204679
183,GRD,Grenada,0,0
184,VCT,Saint Vincent and the Grenadines,0,0
185,BRB,Barbados,0,0
186,LCA,Saint Lucia,0,0
187,DMA,Dominica,0,0
188,MSR,Montserrat (UK),0,0
189,ATG,Antigua and Barbuda,0,21.40155671712125
190,KNA,Saint Kitts and Nevis,0,0
191,VIR,U.S. Virgin Islands (US),0,0
192,BLM,Saint-Barthélemy (Fr.),0,0
193,PRI,Puerto Rico (US),0,33.67683366726754
194,AIA,Anguilla (UK),0,0
195,VGB,British Virgin Islands (UK),0,0
196,JAM,Jamaica,0.8746527457915422,1.372466957718077
197,CYM,Cayman Islands (UK),0,0
198,BMU,Bermuda (UK),0,0
199,HMD,Heard Island and McDonald Islands (Aus.),,
200,SHN,"Saint Helena, Ascension and Tristan da Cunha (UK)",0,0
201,MUS,Mauritius,0,0
202,COM,Comoros,0,2.235806192947441
203,STP,São Tomé and Príncipe,0,0
204,CPV,Cabo Verde,0,0.07329291689818893
205,MLT,Malta,0,0
206,JEY,Jersey (UK),0,90.51712725818986
207,GGY,Guernsey (UK),0,0
208,IMN,Isle of Man (UK),99.99999248280186,8.184572279768755
209,FRO,Faroe Islands (Den.),0,0
210,IOT,British Indian Ocean Territory (UK),,
211,SGP,Singapore,1999.99995985288,1068.354449511377
212,NFK,Norfolk Island (Aus.),0,0
213,COK,Cook Islands (NZ),0,0
214,TON,Tonga,0,0
215,WLF,Wallis-et-Futuna (Fr.),0,0
216,WSM,Samoa,0,0
217,SLB,Solomon Islands,0,0
218,TUV,Tuvalu,0,0
219,MDV,Maldives,0,0
220,NRU,Nauru,0,0
221,FSM,"Micronesia, Federated States of",0,0
222,SGS,South Georgia and South Sandwich Islands (UK),,
223,FLK,Falkland Islands (UK)/Islas Malvinas,45.71990275040451,0
224,VUT,Vanuatu,0,0
225,NIU,Niue (NZ),0,0
226,ASM,American Samoa (US),0,0
227,PLW,Palau,0,0
228,GUM,Guam (US),0,0
229,MNP,Northern Mariana Islands (US),0,0
230,BHR,Bahrain,0,40.7727538035919
231,MAC,"Macau (SAR, China)",0,0
232,NLD,Netherlands,4881.606629655777,1253.476214653469
233,NZL,New Zealand,99.99993513073579,97.99133143295244
234,TWN,Taiwan,267.2764738349488,59.14583577251103
