iso3,hazard,income_cat,rp,fa,recovery_rate,recovery_time,n,macro_multiplier_Gamma,v_ew
AGO,Flood,q2,2500.0,0.0031620524021041944,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Flood,q2,5000.0,0.003372285236709605,0.1497866136776995,20.0,0.2,1.5332208995388774,0.6225060140655241
AGO,Earthquake,q3,10.0,0.0001779007713898703,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,25.0,0.0004382448939886333,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,50.0,0.0008827493619689876,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,100.0,0.0017647390326807442,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,250.0,0.004406163026662627,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,500.0,0.008216432011645574,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,1000.0,0.012279810212573142,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,2500.0,0.020789676472999025,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,5000.0,0.030853768074053912,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5193570183533321
AGO,Flood,q3,10.0,0.0007981135442743715,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,25.0,0.0016275036145015297,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,50.0,0.0022588967535818534,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,100.0,0.0025095564452345996,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,250.0,0.0026426233965076568,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,500.0,0.0027609774916216518,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
