iso3,decade,forecast_accuracy
CIV,1991-2000,0.183328136512938
CIV,2001-2010,0.271465424646332
CIV,2011-2020,0.327823748167977
CMR,1991-2000,0.271927048774989
CMR,2001-2010,0.391517431491453
CMR,2011-2020,0.4072341085976
COD,1991-2000,0.222541946966925
COD,2001-2010,0.429838721151661
COD,2011-2020,0.434241606840113
COG,1991-2000,0.0912865148514882
COG,2001-2010,0.0811436567783463
COG,2011-2020,0.19518563264721
COL,1991-2000,0.192700660974123
COL,2001-2010,0.32285394610043
COL,2011-2020,0.401104749638018
COM,1991-2000,0.169914497990963
COM,2001-2010,0.295786913217707
COM,2011-2020,0.345211818615821
CPV,1991-2000,0.158969965187291
CPV,2001-2010,0.394195691581056
CPV,2011-2020,0.696743908830786
CRI,1991-2000,0.223138664845412
CRI,2001-2010,0.40507199839839
CRI,2011-2020,0.37048137686138
CUB,1991-2000,0.473051283083473
CUB,2001-2010,0.555062842741179
CUB,2011-2020,0.611581008791985
CUW,1991-2000,0.230663215603864
CUW,2001-2010,0.250150717352886
CUW,2011-2020,0.17129068694166
CYP,1991-2000,0.680597207425324
CYP,2001-2010,0.791578554273244
CYP,2011-2020,0.788885170460176
CZE,1991-2000,0.565102147787251
CZE,2001-2010,0.701208697931726
CZE,2011-2020,0.770742032423757
DEU,1991-2000,0.669007977361484
DEU,2001-2010,0.799275994973663
DEU,2011-2020,0.843150323286393
DNK,1991-2000,0.636748517806955
DNK,2001-2010,0.736837811359051
DNK,2011-2020,0.800381828556566
DOM,1991-2000,0.239565635255504
DOM,2001-2010,0.381744457014376
DOM,2011-2020,0.429479585566824
DZA,1991-2000,0.744657832587028
DZA,2001-2010,0.84466837970309
DZA,2011-2020,0.841687674113878
ECU,1991-2000,0.189121998557546
ECU,2001-2010,0.321312658662136
ECU,2011-2020,0.396018793986375
EGY,1991-2000,0.706166332591167
EGY,2001-2010,0.826961915289072
EGY,2011-2020,0.835146953990879
ERI,1991-2000,0.200756636200124
ERI,2001-2010,0.467315685205175
ERI,2011-2020,0.460590587604471
ESP,1991-2000,0.695853901817664
ESP,2001-2010,0.806317452075673
ESP,2011-2020,0.819800068119322
EST,1991-2000,0.250744819853413
EST,2001-2010,0.215194559192986
EST,2011-2020,0.35636294694511
ETH,1991-2000,0.246140498317392
ETH,2001-2010,0.499719324019959
ETH,2011-2020,0.521932826194687
FIN,1991-2000,0.147939281366327
FIN,2001-2010,0.108395349572553
FIN,2011-2020,0.273100157329455
FJI,1991-2000,0.346123467721817
FJI,2001-2010,0.464464982765232
FJI,2011-2020,0.555292972675831
FLK,1991-2000,0.616191540064813
FLK,2001-2010,0.802059377305381
FLK,2011-2020,0.765337226004071
FRA,1991-2000,0.729012087940807
FRA,2001-2010,0.839676946554637
FRA,2011-2020,0.858074219733691
