iso3,income_cat,social
MAC,q2,0.21900646952200484
MAC,q3,0.24437540657143647
MAC,q4,0.14727300581332073
MAC,q5,0.14727300581332073
MAR,q1,0.23006923827071712
MAR,q2,0.141551492553501
MAR,q3,0.061202125084819446
MAR,q4,0.0780615254352472
MAR,q5,0.0780615254352472
MDG,q1,0.08155513116777954
MDG,q2,0.04996552493784998
MDG,q3,0.0677575442962701
MDG,q4,0.06957964689219065
MDG,q5,0.06957964689219065
MHL,q1,0.2512324532912835
MHL,q2,0.248521485130908
MHL,q3,0.2792218723629896
MHL,q4,0.2041151567921717
MHL,q5,0.2041151567921717
MKD,q1,0.48622900583083783
MKD,q2,0.4011479416859232
MKD,q3,0.3448164024365513
MKD,q4,0.2688565976330559
MKD,q5,0.2688565976330559
MLT,q1,0.38755837886962746
MLT,q2,0.2932815387530342
MLT,q3,0.24321692978167428
MLT,q4,0.18566413961359127
MLT,q5,0.18566413961359127
MMR,q1,0.024058324074704613
MMR,q2,0.0862918165971127
MMR,q3,0.08576855337069805
MMR,q4,0.09574940819106895
MMR,q5,0.09574940819106895
MOZ,q1,0.0949954545719679
MOZ,q2,0.04400717661829505
MOZ,q3,0.0606333770870867
MOZ,q4,0.060517866369098686
MOZ,q5,0.060517866369098686
MRT,q1,0.13972083936443816
MRT,q2,0.10682871321911008
MRT,q3,0.11087738475369141
MRT,q4,0.10213569189880564
MRT,q5,0.10213569189880564
NLD,q1,0.5217449535285066
NLD,q2,0.3360597655610441
NLD,q3,0.3862912616466399
NLD,q4,0.27968913404387646
NLD,q5,0.27968913404387646
NOR,q1,0.6114279512289056
NOR,q2,0.372448789986457
NOR,q3,0.43042414547333074
NOR,q4,0.30674944401352877
NOR,q5,0.30674944401352877
NRU,q1,0.24280706950563896
NRU,q2,0.23874861499900196
NRU,q3,0.2679114254025878
NRU,q4,0.2048507713151641
NRU,q5,0.2048507713151641
NZL,q1,0.4345982878672358
NZL,q2,0.2952932079834673
NZL,q3,0.3368579481995959
NZL,q4,0.24041232138926097
NZL,q5,0.24041232138926097
OMN,q1,0.17078145796107475
OMN,q2,0.19946946759341175
OMN,q3,0.1295670924337572
OMN,q4,0.05000963816549175
OMN,q5,0.05000963816549175
PLW,q1,0.18782782909912824
