iso3,gdp_pc_pp,pop,urbanization_rate
LCA,23403.4617661837,179285.0,0.19172
LKA,13029.523937847,22037000.0,0.19210999999999998
LSO,2595.82952310453,2311472.0,0.30415
LTU,46740.4091948413,2871585.0,0.68694
LUX,132846.573735495,666430.0,0.92078
LVA,37007.3683672158,1877445.0,0.68671
MAR,8868.7119140625,37712505.0,0.65121
MDA,15855.2737421842,2457783.0,0.43372999999999995
MDV,22286.9801703571,525994.0,0.41970999999999997
MEX,22142.607281478,129739759.0,0.81582
MHL,6786.69569336005,38827.0,0.7886799999999999
MKD,23584.5648911173,1827816.0,0.59479
MLI,2394.67216396924,23769127.0,0.46189
MMR,5364.13797034407,54133798.0,0.32112
MNE,27869.6498306519,616177.0,0.68502
MNG,16222.8638898529,3481145.0,0.69089
MOZ,1511.63653474992,33635160.0,0.38753
MRT,6258.71091329181,5022441.0,0.57699
MUS,26590.4238819278,1261041.0,0.40867
MWI,1648.43651796379,21104482.0,0.18280000000000002
MYS,32812.2997525336,35126298.0,0.78716
NAM,10105.5147732431,2963095.0,0.54886
NER,1703.39693250647,26159867.0,0.17054
NGA,5593.05661448231,227882945.0,0.54283
NIC,7486.94276222499,6823613.0,0.59849
NLD,71446.6937440145,17877117.0,0.93179
NOR,90469.8111875037,5519594.0,0.8399500000000001
NPL,4859.80010436735,29694614.0,0.21902999999999997
NRU,12462.8412884717,11875.0,1.0
PAK,5439.18762006677,247504495.0,0.3804
PAN,35863.880148831,4458759.0,0.69512
PER,15294.2567811201,33845617.0,0.7892199999999999
PHL,9901.05652395692,114891199.0,0.48286999999999997
PNG,4174.44164016586,10389635.0,0.13723000000000002
POL,44384.168182283,36687353.0,0.60218
PRT,41755.4793151878,10578174.0,0.6790600000000001
PRY,15783.1150120746,6844146.0,0.63149
PSE,5313.09790291178,5165775.0,0.77582
QAT,116159.142559471,2656032.0,0.99354
ROU,40665.5282935973,19059479.0,0.54672
RUS,39753.45703125,143826130.0,0.75331
RWA,3060.02893126731,13954471.0,0.17892
SDN,2469.19458007813,50042791.0,0.36341999999999997
SEN,4317.2263915953,18077573.0,0.49579
SLB,2534.02756338361,800005.0,0.26037
SLE,3034.21894320278,8460512.0,0.44299999999999995
SLV,11404.3342262685,6309624.0,0.75393
SRB,26030.0209466926,6623183.0,0.57113
STP,5541.3016760535,230871.0,0.76401
SUR,19043.7052869285,628886.0,0.66411
SVK,39290.4325841628,5426740.0,0.54027
SVN,48243.9417459509,2120461.0,0.56088
SWE,63114.6797881276,10536632.0,0.88738
SWZ,10132.1872615949,1230506.0,0.24789999999999998
SYR,4454.85373271464,23594623.0,0.57409
TCD,1679.4615323912,19319064.0,0.24366
TGO,2767.51655834427,9304337.0,0.4449
THA,21142.6643331162,71702435.0,0.53608
TJK,4472.3241378777,10389799.0,0.28234000000000004
TLS,4328.50782017194,1384286.0,0.32456
TON,6901.73855566074,104597.0,0.2316
TUN,12552.9866903456,12200431.0,0.70544
TUR,34609.9155118999,85325965.0,0.7746299999999999
TZA,3620.79345703125,66617606.0,0.37409
UGA,2791.05576885861,48656601.0,0.26771
UKR,15885.2255859375,37732836.0,0.70095
URY,31019.3113912098,3388081.0,0.9577100000000001
USA,74577.5065396723,334914895.0,0.83298
UZB,10007.6855026198,35652307.0,0.50532
VNM,13491.879417397,100352192.0,0.3948
VUT,3118.39603259733,320409.0,0.25976
WSM,6304.34613688419,216663.0,0.17507999999999999
ZAF,13690.3894584515,63212384.0,0.6881900000000001
ZMB,3673.4841969922,20723965.0,0.46335
ZWE,3442.25132658294,16340822.0,0.32517
