iso3,cgdpo,cn,avg_prod_k
IDN,3120405.75,17715404.0,0.1761408179006248
IND,9142121.0,34101256.0,0.26808751560353083
IRL,496383.5,1805561.375,0.27491920622194305
IRN,1087768.0,6499500.5,0.16736178418633862
IRQ,458890.15625,1126579.625,0.4073304239369676
ISL,18182.48046875,87042.46875,0.2088920584384275
ISR,329783.3125,1157853.375,0.2848230351273969
ITA,2462820.0,17168478.0,0.14345010664311653
JAM,25149.857421875,144695.65625,0.17381211069959124
JOR,109624.8125,353822.9375,0.30982958107400826
JPN,5031850.0,23884014.0,0.21067857354295638
KAZ,520080.21875,1041814.125,0.4992063423501769
KEN,223246.234375,504993.09375,0.44207779697977306
KGZ,39531.11328125,81435.234375,0.485430091589271
KHM,74427.921875,192252.84375,0.3871356096650716
KNA,1223.5733642578125,10353.5791015625,0.11817878168073861
KOR,2156917.25,10635833.0,0.20279720920777902
KWT,253742.59375,911087.125,0.2785053007416826
LAO,54361.5,189750.953125,0.2864886795282072
LBN,101815.171875,572380.375,0.17788026340875157
LBR,6232.748046875,23761.685546875,0.2623024378712349
LCA,2625.14892578125,11031.6865234375,0.23796442368118045
LKA,283475.25,816173.25,0.34732239754243355
LSO,5820.875,26804.75,0.21715833947341423
LTU,90408.3046875,347904.84375,0.2598650358328045
LUX,56199.69140625,236893.34375,0.2372362621786413
LVA,56482.9375,420451.15625,0.13433888017759493
MAC,60140.26171875,206531.0625,0.2911923319948543
MAR,289744.21875,1442937.5,0.20080164161649414
MDA,38440.0078125,94309.21875,0.4075954431814228
MDG,41620.1484375,92161.3828125,0.4516007373953485
MDV,10408.591796875,58037.51953125,0.17934246468391105
MEX,2391290.0,10357724.0,0.23087021820623913
MKD,33106.0859375,125695.671875,0.2633828630982844
MLI,48250.6875,70977.125,0.6798061699455986
MLT,17330.59765625,60226.66015625,0.28775624634153857
MMR,277804.59375,812333.125,0.34198358432077974
MNE,13872.3388671875,43643.81640625,0.3178534786705985
MNG,38103.8984375,166288.546875,0.22914325221774237
MOZ,37394.9140625,113495.8359375,0.3294826964673195
MRT,21248.322265625,96248.2578125,0.22076578577680425
MSR,81.0855484008789,1081.483642578125,0.07497621342434811
MUS,30030.896484375,93397.3046875,0.32153921983997297
MWI,21734.9609375,22390.880859375,0.9707059348850776
MYS,818144.5625,3279240.0,0.24949212698674084
NAM,23621.189453125,75637.5703125,0.312294397553134
NER,28234.169921875,121286.8046875,0.23278847187557952
NGA,995048.3125,2996071.0,0.33211773435943276
NIC,33074.5,124761.6875,0.26510141584931673
NLD,950203.4375,4403760.0,0.2157709406280088
NOR,388492.46875,1634139.125,0.23773524714427238
NPL,103970.75,334690.09375,0.31064782597856616
NZL,199241.375,607063.25,0.3282052982123362
OMN,150306.296875,768284.5,0.19563885107014395
PAK,1089080.25,1669777.125,0.6522309077626153
PAN,127016.1328125,510780.3125,0.24867076843824124
PER,397799.15625,1433935.0,0.2774178440794039
PHL,913573.5625,2640882.5,0.3459349526152716
POL,1214853.0,2881624.0,0.42158623054222205
PRT,327037.71875,2612466.25,0.1251835191172326
PRY,86919.078125,271291.25,0.32039027475084436
