iso3,real_estate_share_of_value_added,home_ownership_rate,self_employment,k_pub_share,real_est_k_to_va_shares_ratio
IDN,0.025300418740451823,0.8400000000000001,0.540456286515265,0.14627590623492365,3.705328168012808
IND,0.070918564316989,0.866,0.7612658681171909,0.30449962629096017,3.705328168012808
IRL,0.060594753898711134,0.7032,0.137488731291084,0.14243816630039938,3.705328168012808
IRN,0.0982181900586773,0.605,0.42510849204283097,0.23717318730086073,3.705328168012808
IRQ,,0.737,0.31597308287550896,0.6565014006787058,3.705328168012808
ISL,0.10049132366380148,0.702,0.136835578997005,0.2315210527461527,3.705328168012808
ISR,0.12328065049001558,0.646,0.1169300809039,0.15468514594150626,3.705328168012808
ITA,0.12742751182376066,0.7368,0.213666291620479,0.20547923136378612,3.705328168012808
JAM,,0.8317,0.37282449713511295,,3.705328168012808
JOR,0.1276000882190731,0.8062999999999999,0.11704178616359301,0.3099290071616594,3.705328168012808
JPN,0.11650848694853183,0.5504,0.0950253170182913,0.33770691233890177,3.705328168012808
KAZ,0.08074870837476757,0.95,0.2538945746248,0.1908234973628369,3.705328168012808
KEN,0.08901677096993814,0.75,0.6524706147265159,0.35046603702615364,3.705328168012808
KGZ,0.058984211515563066,0.6884,0.326361669750853,,3.705328168012808
KHM,,0.6845,0.563463328275945,0.4110586892735298,3.705328168012808
KIR,,0.7077,,,3.705328168012808
KNA,,0.7573000000000001,,0.22339864586449687,3.705328168012808
KOR,0.07429192656039227,0.5838,0.23183467685124198,0.20583081855231825,3.705328168012808
KWT,0.07484289193906189,0.7768999999999999,0.019520094812689598,0.33995596551801627,3.705328168012808
LAO,0.05695741644430427,0.959,0.774701374900218,0.5334457969093771,3.705328168012808
LBN,0.13992498000289716,0.7265,0.295626515170066,0.1277240265364752,3.705328168012808
LBR,0.04490700841128846,0.7515999999999999,0.790264840152927,0.3546148757372118,3.705328168012808
LBY,,0.7429000000000001,0.150922226755969,0.8838396834868134,3.705328168012808
LCA,0.1470188247083244,0.6823,0.29168734628153,0.25949857792240416,3.705328168012808
LIE,0.05725462304409673,0.6928,,,3.705328168012808
LKA,0.04475227468769419,0.7104,0.41806466176950896,0.21338021033279564,3.705328168012808
LSO,0.0372515738651261,0.6831,0.385770775891706,0.5012828560496121,3.705328168012808
LTU,0.06245398986021975,0.8854000000000001,0.118625059815295,0.2140950630907475,3.705328168012808
LUX,0.07659412354100363,0.7,0.0993276302333699,0.254468160681299,3.705328168012808
LVA,0.11052168695162212,0.8242,0.133903184257445,0.21550662026859205,3.705328168012808
MAC,,,0.064753521669243,,3.705328168012808
MAR,0.0719711941914063,0.8141999999999999,0.39949068913289104,0.21578378605022466,3.705328168012808
MCO,0.06458913864791478,0.8334999999999999,,,3.705328168012808
MDA,0.0829971327453341,0.6927,0.590149834721299,0.20414717430796397,3.705328168012808
MDG,,0.8218,0.889701546595027,0.4270517061441106,3.705328168012808
MDV,0.089042354600172,0.7692,0.219017746659775,0.4857107609912224,3.705328168012808
MEX,0.0865811540332466,0.6953999999999999,0.31353913594230504,0.24024746135899508,3.705328168012808
MHL,0.0448805438363555,,,,3.705328168012808
MKD,0.13103280952921548,0.8484,0.159304270103509,0.30596725813382647,3.705328168012808
MLI,,0.8690000000000001,0.854329412430454,0.4044720093203938,3.705328168012808
MLT,0.08052257103086141,0.807,0.151510478186655,0.195969803488655,3.705328168012808
MMR,,0.8550000000000001,0.64919218975476,0.3098969301134252,3.705328168012808
MNE,0.07266708124519881,0.8904,0.187310087406685,0.2974117055400452,3.705328168012808
MNG,0.04684012898829282,0.7020000000000001,0.397689458904874,0.38626645342096394,3.705328168012808
MOZ,0.024041938362236295,0.8451000000000001,0.8506112153602661,0.5002670398572487,3.705328168012808
MRT,0.054016348454256825,0.8190000000000002,0.575401313050379,0.18696328016855795,3.705328168012808
MUS,0.050493982016517745,0.7981,0.18472384808344,0.3391965687298239,3.705328168012808
MWI,0.0647371171473435,0.7794,0.6162683457754661,0.4592060178735656,3.705328168012808
MYS,0.013394117996303426,0.769,0.276375407385757,0.4473938552779175,3.705328168012808
NAM,0.05311982006549156,0.8271,0.39130518080585297,0.3377427579453917,3.705328168012808
NCL,,,0.16838846538580898,,3.705328168012808
NER,0.01666381535218135,0.6633,0.902672135245963,0.30542142024119134,3.705328168012808
NGA,0.04568282015416662,0.25,0.8472765376212721,0.37018660967919925,3.705328168012808
NIC,,0.826,0.429872216086372,0.31747647128030004,3.705328168012808
NLD,0.08828474134307747,0.6404,0.165034079958082,0.2572588968290384,3.705328168012808
NOR,0.057351840738994096,0.7649999999999999,0.045686030705137305,0.24820138032477965,3.705328168012808
NPL,0.08367795777487184,0.85,0.8016124188899749,0.22744539760243046,3.705328168012808
NRU,,0.6865000000000001,,,3.705328168012808
NZL,0.16172345541091898,0.645,0.18857104327622,0.3097409100515489,3.705328168012808
OMN,,0.8299999999999998,0.0343445898034306,0.6164748899101491,3.705328168012808
PAK,0.04221412194643287,0.7618,0.571100379312102,0.3273948877481753,3.705328168012808
PAN,,0.7883,0.38914519253997,0.19195930744006195,3.705328168012808
PER,0.04402060396368049,0.7822,0.526021514684753,0.287942626776926,3.705328168012808
PHL,0.056341786030285425,0.7397,0.36745015142239096,0.2332964344156204,3.705328168012808
PLW,0.11097908022848611,0.7126,,,3.705328168012808
PNG,0.06249647576538519,0.6523,0.7830201448553591,0.3291903275339804,3.705328168012808
POL,0.05847785995226191,0.8484,0.199045213380914,0.25398880666773915,3.705328168012808
PRI,,,0.171175846617043,,3.705328168012808
PRK,,0.7637,0.8797596514126821,,3.705328168012808
PRT,0.11017360644543148,0.764,0.14550388774012699,0.24091155412742518,3.705328168012808
PRY,0.06455243072248047,0.8606,0.41320538964087,0.23612218419660788,3.705328168012808
PSE,0.05497665541600753,0.774,0.238273049305542,,3.705328168012808
PYF,,,0.174779539768457,,3.705328168012808
QAT,0.0480217876170697,0.6909000000000001,0.00394136729696868,,3.705328168012808
ROU,0.07975649500484995,0.9469999999999998,0.227960963680757,0.20158368269336346,3.705328168012808
RUS,0.10967196212255556,0.89,0.0658473099479725,0.2621215931862738,3.705328168012808
RWA,0.053764148460121085,0.6916,0.412547595958113,0.5529539897122561,3.705328168012808
SAU,,0.6208,0.0682936588687713,0.4966921106993056,3.705328168012808
SDN,,0.8238,0.465210501982334,0.2619834452887228,3.705328168012808
SEN,0.07438967718962079,0.8112,0.695743915796617,0.32836340532732555,3.705328168012808
SGP,0.06743078644308605,0.8789999999999999,0.133185720796558,0.22682272350644458,3.705328168012808
SLB,,0.7646999999999999,0.64377349612779,,3.705328168012808
SLE,,0.6645,0.894643625081441,0.45679042726611524,3.705328168012808
SLV,0.06566734556517292,0.7886,0.363436068453801,0.25344621724868877,3.705328168012808
SMR,0.05619723724267864,0.7481,,,3.705328168012808
SOM,,0.6998000000000001,0.5134821251987041,,3.705328168012808
SRB,0.08677330221149791,0.914,0.270549284494911,0.16733730998717197,3.705328168012808
SSD,,0.7184,0.7213927456581889,0.6017170604775373,3.705328168012808
STP,,0.6781,0.430085716155205,0.6503619896414008,3.705328168012808
SUR,0.025144719223139995,0.6922,0.23068441668203998,0.21111302902918358,3.705328168012808
