iso3,income_cat,income_share,social
CZE,q1,0.09709709709709709,0.6268724237250736
CZE,q2,0.14414414414414417,0.4416409072484629
CZE,q3,0.17517517517517517,0.3742879600265813
CZE,q4,0.22022022022022023,0.297600344563411
CZE,q5,0.36336336336336333,0.297600344563411
DEU,q1,0.07792207792207793,0.5872138639442203
DEU,q2,0.1278721278721279,0.4007003633391172
DEU,q3,0.16983016983016985,0.4003415097159931
DEU,q4,0.2247752247752248,0.3368125644119064
DEU,q5,0.39960039960039967,0.3368125644119064
DJI,q1,0.053946053946053944,0.2857597999555584
DJI,q2,0.10389610389610389,0.10969674090853201
DJI,q3,0.15084915084915082,0.10947852045406095
DJI,q4,0.21578421578421578,0.07155269738438584
DJI,q5,0.4755244755244755,0.07349847887377559
DNK,q1,0.092,0.5393925597692993
DNK,q2,0.139,0.3671943692310979
DNK,q3,0.17300000000000001,0.370875897041634
DNK,q4,0.218,0.3114006115426033
DNK,q5,0.37799999999999995,0.3114006115426033
DOM,q1,0.066,0.27229534998732835
DOM,q2,0.113,0.1946390454742491
DOM,q3,0.157,0.17109446872357184
DOM,q4,0.22399999999999998,0.14202110139324656
DOM,q5,0.44,0.13935099563223985
ECU,q1,0.04695304695304696,0.25826174191798573
ECU,q2,0.09290709290709293,0.16155587941131128
ECU,q3,0.14185814185814186,0.131850022912608
ECU,q4,0.2207792207792208,0.11462821812532911
ECU,q5,0.49750249750249753,0.09491671631823187
EGY,q1,0.09,0.10013164102130152
EGY,q2,0.128,0.07821267812055907
EGY,q3,0.161,0.08129959746537024
EGY,q4,0.20800000000000002,0.10859478877954455
EGY,q5,0.413,0.15928230295796514
ESP,q1,0.06406406406406408,0.4430652939314772
ESP,q2,0.12312312312312315,0.3073843721102689
ESP,q3,0.17217217217217218,0.3459499707109901
ESP,q4,0.23623623623623627,0.3026005238253766
ESP,q5,0.4044044044044044,0.3026005238253766
EST,q1,0.08091908091908093,0.6085906170110275
EST,q2,0.12287712287712291,0.4371197633647259
EST,q3,0.16683316683316685,0.4007025664672632
EST,q4,0.2307692307692308,0.3105364988184746
EST,q5,0.3986013986013986,0.3105364988184746
ETH,q1,0.07307307307307308,0.047024652244098235
ETH,q2,0.12112112112112113,0.03566174125329348
ETH,q3,0.16316316316316318,0.02701036935655074
ETH,q4,0.21221221221221223,0.03188097499922815
ETH,q5,0.4304304304304305,0.05017375346760636
FIN,q1,0.0930930930930931,0.5276307899773891
FIN,q2,0.13913913913913914,0.367053057567248
FIN,q3,0.17317317317317318,0.4003731576899539
FIN,q4,0.22322322322322322,0.3195463318074862
