iso3,income_cat,liquidity,axfin
HKG,q4,3522.5169072813305,0.7195552361945133
HKG,q5,3510.045998453553,0.7891009484189725
HND,q1,171.87492231841205,0.05190989792099264
HND,q2,202.8806752070105,0.05202936944523275
HND,q3,231.76595602805955,0.056489957340717156
HND,q4,246.3730447619035,0.16565810661244912
HND,q5,240.8706891160746,0.19992051184296364
HRV,q1,1314.1600931496637,0.1854097407093063
HRV,q2,1448.6486702671493,0.14994910411015855
HRV,q3,1410.3584194204964,0.22699342689095917
HRV,q4,1607.849659068022,0.29233493303523433
HRV,q5,1554.0927672499918,0.40616949318458784
HTI,q1,43.95811108229222,0.0691510154844073
HTI,q2,66.57698940174883,0.08642863770093297
HTI,q3,56.39753766312198,0.1048917969917812
HTI,q4,89.04568542467436,0.1541248875789316
HTI,q5,104.43948087399203,0.1920848504500161
HUN,q1,1452.6368327454124,0.13187404681140052
HUN,q2,1531.2365197197585,0.21931391853002305
HUN,q3,1755.7931743693214,0.3192081579499544
HUN,q4,1730.3747400294912,0.3770486351066004
HUN,q5,1805.2091628229714,0.5467674951093731
IDN,q1,512.3734184321627,0.0728842834622945
IDN,q2,507.908840511449,0.14394331915213932
IDN,q3,535.6361644947532,0.1480915551266056
IDN,q4,565.0460047397809,0.24925782572214863
IDN,q5,564.2051984247248,0.3624811241142319
IND,q1,283.75564585358285,0.05022457408550725
IND,q2,305.01935932213524,0.0941720334337496
IND,q3,313.9352769371934,0.09931209687558377
IND,q4,342.410298605227,0.15092262714491456
IND,q5,374.07488556895413,0.2426856427831661
IRL,q1,3847.962032669056,0.5670637095810129
IRL,q2,3995.838872704792,0.6289054417315803
IRL,q3,4008.8509760601105,0.6657803404694854
IRL,q4,4047.262751356914,0.6379090542140701
IRL,q5,4043.9302750862057,0.6728804412672224
IRN,q1,634.515510120358,0.1759897016055211
IRN,q2,644.6553928286834,0.2092346298722513
IRN,q3,694.9259388712187,0.199637167915027
IRN,q4,688.5215508022694,0.26344012645179116
IRN,q5,699.7860332151853,0.34209164631029737
IRQ,q1,503.35968653704975,0.0
IRQ,q2,526.6363800787128,0.00905031827159764
IRQ,q3,574.263981019648,0.0120109400180943
IRQ,q4,571.0114680646725,0.009567585851941637
IRQ,q5,574.3881594464804,0.06032160612518288
ISL,q1,2802.0425637938365,0.7157355524143663
ISL,q2,3015.5600579965185,0.6281828517973378
ISL,q3,3008.4848535799774,0.7802974995918048
ISL,q4,3039.3728520366635,0.8796460906041645
ISL,q5,2886.962525883423,0.7843717446179107
ISR,q1,1960.4286006572152,0.44886519729843544
ISR,q2,2085.221784872944,0.5794317660995795
ISR,q3,2015.264745728168,0.612658308997454
