iso3,prepare_scaleup,ew,finance_pre
HKG,0.5058413662501987,0.9461521602981363,0.75
HND,0.2604377998089767,0.5335129090244716,0.8333333333333334
HRV,0.46871646681844575,0.4877557045058928,0.6666666666666666
HTI,0.3983119757086822,0.6205710009432347,0.5
HUN,0.6448860437011493,0.7762924710809507,0.8333333333333334
IDN,0.7011917233988042,0.7309248779754527,0.6666666666666666
IMN,0.5560322521748641,0.7615020140084537,0.8181818181818182
IND,0.7738320593043702,0.766967178241663,1.0
IRL,0.5127947441090477,0.8874838915392584,0.8181818181818182
IRN,0.5945261939061661,0.436906467022161,0.8333333333333334
IRQ,0.2611828188184946,0.5997007123556064,0.5
ISL,0.6291541148918254,0.6029074554510778,0.8181818181818182
ISR,0.3037350504261213,0.7978486816808547,0.7222222222222222
ITA,0.6623002024068627,0.7794301766653018,0.8333333333333334
JAM,0.4576234933087918,0.6743522248897015,0.6666666666666666
JOR,0.5705707672674138,0.7056089058662753,0.5
JPN,0.5890552972778644,0.7847495148207655,0.8333333333333334
KAZ,0.4874772623375023,0.6738272052386438,1.0
KEN,0.6358429590097112,0.5578241153792867,0.6666666666666666
KGZ,0.43921454752004147,0.7058183781805074,0.6666666666666666
KHM,0.5837992166802645,0.7846112896711102,0.6212121212121212
KIR,0.5558427872632575,0.6939223728796061,0.6212121212121212
KNA,0.520463747143353,0.6361120189234021,0.6666666666666666
KOR,0.6918635585867663,0.9462272774829674,1.0
KWT,0.5839320838247991,0.6988297880840556,0.7222222222222222
LAO,0.5617039206533438,0.7068764904028856,0.3333333333333333
LBN,0.3565122472738893,0.532533392684082,0.5
LBR,0.5417738643394608,0.5874933870575137,0.6666666666666666
LBY,0.2611828188184946,0.5997007123556064,0.41666666666666663
LCA,0.50202975475267,0.6125539928753647,0.6666666666666666
LIE,0.5560322521748641,0.7615020140084537,0.8181818181818182
LKA,0.5388648938202181,0.7103604589213257,0.6666666666666666
LSO,0.5611604077563926,0.5535284709605425,0.3333333333333333
LTU,0.30008560690056596,0.7972502168183648,0.8181818181818182
LUX,0.5560322521748641,0.7615020140084537,0.8181818181818182
LVA,0.24530640611584603,0.671589012271618,0.8181818181818182
MAC,0.6329402744377585,0.7984712519855902,0.75
MAF,0.520463747143353,0.6361120189234021,0.8
MAR,0.6986300833767103,0.5753945467297013,1.0
MCO,0.5560322521748641,0.7615020140084537,0.3333333333333333
MDA,0.4660296594661768,0.6223527965733269,0.5
MDG,0.5417738643394608,0.5874933870575137,0.5
MDV,0.4845411531045577,0.569468219509859,0.6666666666666666
MEX,0.45896844343331944,0.6860471970938798,0.8333333333333334
MHL,0.6520846316363867,0.7804302528795941,0.6666666666666666
MKD,0.48001441815385143,0.44988888784476444,0.6666666666666666
MLI,0.5736654482148582,0.7149322843255466,0.6666666666666666
MLT,0.575217762675083,0.5965723721362046,0.7222222222222222
MMR,0.4180693914260636,0.5050952099044907,0.5
MNE,0.4236035393738244,0.4612760789957857,0.7407407407407408
MNG,0.38223813366532067,0.5190795729867352,0.8333333333333334
MNP,0.6329402744377585,0.7984712519855902,0.75
MOZ,0.7136908668824892,0.7816406511355944,1.0
MRT,0.5611604077563926,0.5535284709605425,0.6666666666666666
MUS,0.5742250470100161,0.731215591759893,0.8333333333333334
MWI,0.5417738643394608,0.5874933870575137,0.6666666666666666
MYS,0.7205719607313039,0.8001141530107123,0.8333333333333334
NAM,0.6244079980796371,0.7936589023480551,0.6666666666666666
NCL,0.6329402744377585,0.7984712519855902,0.75
NER,0.5417738643394608,0.5874933870575137,0.6666666666666666
NGA,0.5289779172613325,0.5510523804721653,0.8333333333333334
NIC,0.5839488873340655,0.7084046503084342,0.6666666666666666
NLD,0.6848459183373843,0.8870013062547625,0.8333333333333334
NOR,0.7135282568782568,0.7628501843403923,1.0
NPL,0.543613903690862,0.4001534455167152,0.6666666666666666
NRU,0.6329402744377585,0.7984712519855902,0.3333333333333333
NZL,0.7163641858595013,0.6903684614567506,0.8333333333333334
OMN,0.5839320838247991,0.6988297880840556,0.7222222222222222
PAK,0.5128272667527066,0.568250477707138,0.8333333333333334
PAN,0.44902131420840696,0.5925990436210657,0.8333333333333334
PER,0.4081936571991137,0.5886502528665168,0.8333333333333334
PHL,0.7435303007378833,0.7720637561070226,0.6666666666666666
PLW,0.6520846316363867,0.7804302528795941,0.5
PNG,0.5558427872632575,0.6939223728796061,0.5
POL,0.45110590521357724,0.8727116904104149,0.8333333333333334
PRI,0.520463747143353,0.6361120189234021,0.8
PRK,0.515691969787608,0.5599765468064254,0.6403508771929824
PRT,0.598726219230438,0.7055610005708771,0.8333333333333334
PRY,0.4804687854724018,0.7176617515975888,0.8333333333333334
PSE,0.2611828188184946,0.5997007123556064,0.3333333333333333
PYF,0.6329402744377585,0.7984712519855902,0.75
QAT,0.5839320838247991,0.6988297880840556,0.6666666666666666
ROU,0.4036449922733403,0.6413961129308042,0.8333333333333334
RUS,0.38012716921762624,0.6815236532653175,0.7407407407407408
RWA,0.5417738643394608,0.5874933870575137,0.6666666666666666
SAU,0.5839320838247991,0.8057426045767292,0.7222222222222222
SDN,0.5417738643394608,0.5874933870575137,0.6666666666666666
SEN,0.5152567271479656,0.5605653897527616,0.6666666666666666
SGP,0.7567871128246064,0.44995220948417897,0.75
SLB,0.5558427872632575,0.6939223728796061,0.5
SLE,0.5491767239521866,0.6367706572695015,0.6666666666666666
SLV,0.6260676719994388,0.6018148665312423,0.6666666666666666
SMR,0.5560322521748641,0.7615020140084537,0.8181818181818182
SOM,0.5417738643394608,0.5874933870575137,0.6666666666666666
SRB,0.5111993892256985,0.4529391405030171,0.6666666666666666
SSD,0.5417738643394608,0.5874933870575137,0.6666666666666666
STP,0.5611604077563926,0.5535284709605425,0.6770833333333334
SUR,0.50202975475267,0.6125539928753647,0.7222222222222222
SVK,0.5623022545867079,0.722720016733458,0.5
SVN,0.6681934502451844,0.8089815273683201,0.8333333333333334
SWE,0.5999160592339046,0.781263006247547,0.8333333333333334
SWZ,0.5611604077563926,0.5535284709605425,0.8333333333333334
SXM,0.520463747143353,0.6361120189234021,0.8
SYC,0.5738679666729781,0.7553091280474352,0.8333333333333334
SYR,0.515691969787608,0.5599765468064254,0.6666666666666666
TCA,0.520463747143353,0.6361120189234021,0.6666666666666666
TCD,0.5417738643394608,0.5874933870575137,0.6666666666666666
TGO,0.23100590589337763,0.2213117947783162,0.5
THA,0.5344902107790523,0.8102517276526173,0.8333333333333334
TJK,0.5838001143080322,0.4259505588243692,0.6666666666666666
TKM,0.4236035393738244,0.4612760789957857,0.7407407407407408
TLS,0.5558427872632575,0.6939223728796061,0.8333333333333334
TON,0.6520846316363867,0.7804302528795941,0.6666666666666666
TTO,0.520463747143353,0.6361120189234021,0.8333333333333334
TUN,0.394376725177459,0.44125893164977237,0.6666666666666666
TUR,0.5962344510255896,0.5318317477587753,0.8333333333333334
TUV,0.6520846316363867,0.7804302528795941,0.75
TWN,0.4916003685389122,0.8417028245189783,0.75
TZA,0.6578896413368731,0.6575202523180379,0.6666666666666666
UGA,0.5970655828189557,0.6377919103780404,0.8333333333333334
UKR,0.22504385779462738,0.6969583965697432,0.6666666666666666
URY,0.5714973299953743,0.6759697145688666,0.6666666666666666
USA,0.6345556717069485,0.8357908319441981,0.8333333333333334
UZB,0.7341401375655401,0.3943439339526184,0.6666666666666666
VCT,0.50202975475267,0.6125539928753647,0.7222222222222222
VEN,0.2461587027862204,0.32626635530154424,0.7222222222222222
VGB,0.520463747143353,0.6361120189234021,0.8333333333333334
VIR,0.520463747143353,0.6361120189234021,0.8
VNM,0.6457157604166694,0.8758079182053924,0.8333333333333334
VUT,0.5558427872632575,0.6939223728796061,0.5
WSM,0.5558427872632575,0.6939223728796061,0.6666666666666666
XKX,0.317811395562255,0.30840111639877127,0.7407407407407408
YEM,0.515691969787608,0.5599765468064254,0.3333333333333333
ZAF,0.554874979276625,0.5776672967286375,0.8333333333333334
ZMB,0.6828507294943291,0.6888500976994525,0.8333333333333334
ZWE,0.6335344881121437,0.7609969029767572,0.8333333333333334
