iso3,income_cat,income_share,social,axfin
BEN,q2,0.11011011011011013,0.11092744592172218,0.075413379333577
BEN,q3,0.15015015015015015,0.054127928582463646,0.0141714519705808
BEN,q4,0.21421421421421424,0.07332643849490705,0.0384354259584916
BEN,q5,0.4554554554554555,0.08402282308376202,0.0987935155863254
BFA,q1,0.063,0.03989960135731187,0.0473461544114331
BFA,q2,0.098,0.04487885903895582,0.0545803211841068
BFA,q3,0.136,0.09408007926289001,0.0303035320283974
BFA,q4,0.2,0.14008589152966502,0.0775577895636875
BFA,q5,0.503,0.11805074354754135,0.1662736350452913
BGD,q1,0.08591408591408592,0.04962474233468171,0.0444158753443058
BGD,q2,0.1258741258741259,0.03712923552952149,0.0374479016299205
BGD,q3,0.16383616383616384,0.0392208567687811,0.0871026207805918
BGD,q4,0.21778221778221782,0.0330112488902978,0.0426962158189025
BGD,q5,0.40659340659340665,0.03717595067079647,0.0887852689868649
BGR,q1,0.061000000000000006,0.5143871014964608,0.085879652429199
BGR,q2,0.10900000000000001,0.3831383054547729,0.1091351980626519
BGR,q3,0.14900000000000002,0.2747142554337186,0.2106339517632901
BGR,q4,0.20700000000000002,0.24242593605764393,0.301832503731686
BGR,q5,0.47400000000000003,0.17163790264631695,0.4477062865915038
BIH,q1,0.07492507492507493,0.2493329348075661,0.104724877497238
BIH,q2,0.12287712287712291,0.21631305971540354,0.0930333077990065
BIH,q3,0.16683316683316685,0.19508625193949447,0.1617418059503435
BIH,q4,0.22877122877122877,0.17757161679192324,0.2172428020827168
BIH,q5,0.40659340659340665,0.12503676789769924,0.3547146187671846
BLR,q1,0.10289710289710291,0.6063687215671144,0.132541551161787
BLR,q2,0.14485514485514486,0.5652786535197266,0.1361834226426805
BLR,q3,0.17982017982017984,0.4782007855109386,0.2393593302941999
BLR,q4,0.2247752247752248,0.44388162696733474,0.2960071291924628
BLR,q5,0.34765234765234765,0.3216071272758677,0.3048448514876219
BOL,q1,0.05294705294705294,0.23868904717626793,0.1069240174097435
BOL,q2,0.10389610389610389,0.15681181706598885,0.1048861766688999
BOL,q3,0.15284715284715283,0.12126010632766691,0.1561596670635573
BOL,q4,0.22377622377622372,0.12027308137546236,0.345694380338251
BOL,q5,0.4665334665334665,0.131142790113009,0.2869695743907149
BRA,q1,0.033,0.49329896213240804,0.1571299778863673
BRA,q2,0.075,0.39973212338420516,0.2076891451005752
BRA,q3,0.121,0.32492834858205094,0.1046187567336968
BRA,q4,0.196,0.25478037255663155,0.2389113973101653
BRA,q5,0.575,0.17940276120680135,0.4313477961126382
