iso3,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
IRL,112445.420953915,5127170.0,0.09,0.6418300000000001,103983.29133582,0.598,0.6589,0.78696066,0.483332488
ISR,44393.3002974368,9557500.0,0.052000000000000005,0.9276300000000001,54930.9388075096,0.5141,0.6463,0.4760781831249963,0.1637579491590871
ITA,44292.1911843563,58940425.0,0.063,0.7165699999999999,34776.423234274,0.4597,0.5079,0.43236375,0.413812555
JAM,10107.8647902957,2827377.0,0.053,0.57008,6047.2164567796,0.1162,0.3231,0.21230953375544723,0.18994544476246208
JPN,41641.16500512,125124989.0,0.077,0.91955,33823.5707344332,0.5523,0.6955,0.5767721449204295,0.1818637308477299
JOR,9490.66671587537,11285869.0,0.08199999999999999,0.91827,4311.00004622061,0.0171,0.0552,0.24754125056812332,0.20254922556096222
KAZ,26093.2945849834,19621972.0,0.098,0.5799,11492.031938762,0.1568,0.2138,0.255859245457,0.23782715673274035
KEN,4881.53172928637,54027487.0,0.07200000000000001,0.29002,2099.30193826696,0.1081,0.2854,0.07293398074006097,0.052675971711731454
KIR,2002.71821779186,131232.0,0.095,0.57058,1701.97066488808,0.0,0.0,0.1600008182132138,0.1047220011723601
KOR,45560.1250389275,51628117.0,0.075,0.81427,32422.5744864287,0.40990000000000004,0.7173999999999999,0.4380643000568937,0.1551862875622895
XKX,12675.0679282376,1761985.0,0.092,,5340.26879794836,0.0548,0.1356,0.3216772550820322,0.1854633454177603
KWT,49400.354457319,4268873.0,,1.0,41079.5226998138,0.2039,0.3071,0.3000398985940599,0.1330898677899873
KGZ,5070.15023592651,6974900.0,0.094,0.37461,1655.07269765044,0.046,0.0741,0.37793788402806294,0.27059149475882066
LAO,7947.65879732138,7529475.0,0.07,0.37592,2054.43078086496,0.08810000000000001,0.2254,0.18656960831578587,0.31528858287866507
LVA,32992.3823633129,1879383.0,0.069,0.6854,21779.5042572825,0.3222,0.4997,0.616317,0.230291
LBN,12986.912832523,5489739.0,0.079,0.89262,4136.14657516013,0.0083,0.037599999999999995,0.112811130327092,0.0929285780628495
LSO,2240.33925102146,2305825.0,0.046,0.29943000000000003,969.935760159406,0.1278,0.1894,0.45277513828321636,0.19721685843773482
LBR,1460.92339035678,5302681.0,0.07200000000000001,0.53065,754.532842914744,0.09519999999999999,0.1476,0.05679167040317527,0.07471045373343525
LBY,19796.5874982858,6812341.0,,0.8130200000000001,6716.09598462328,0.1119,0.21030000000000001,0.076173386145013,0.0930130945276045
LTU,39955.2461629838,2831639.0,0.071,0.68465,25064.808914729,0.3712,0.5334,0.810897,0.314705
LUX,117746.989592884,653103.0,0.071,0.91881,125006.021815486,0.5312,0.6715000000000001,0.45704362,0.381614118
MAC,51840.1393364196,695168.0,,1.0,34584.8590938779,,,0.4575833076177344,0.1577424188776402
MDG,1502.48218160534,29611714.0,0.057,0.39881999999999995,516.592615982213,0.009000000000000001,0.0526,0.0,0.07190293859296
MWI,1466.87941731684,20405317.0,0.069,0.17980000000000002,645.158692067185,0.0418,0.08449999999999999,0.08362742778173529,0.10588454460858256
MYS,28383.6186462565,33938221.0,0.057,0.78214,11993.1876132994,0.3386,0.5558,0.19573953162520513,0.08782981771192368
MDV,21271.3176843797,523787.0,0.08900000000000001,0.41536,11780.8169102421,0.2764,0.3493,0.17803673920660726,0.09074151927478344
MLI,2132.62331490077,22593590.0,0.075,0.45437,833.297255093071,0.0695,0.14029999999999998,0.13405029323205087,0.06846517209832795
MLT,48641.850077048,531113.0,0.08,0.94875,34127.5105566356,0.305,0.5566,0.55387408,0.357368205
MHL,6004.34276866496,41569.0,0.07200000000000001,0.7852,6225.17922244115,0.05,0.05,0.9363467641244214,0.31004735029342145
