country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Vanuatu,2785.9038597746,326740.0,0.075,0.25816,3010.29217286159,0.19,0.19,,
Viet Nam,11396.5314694602,98186856.0,0.066,0.38766,4163.5143004093,,,,
West Bank and Gaza,5722.40917459721,5043612.0,0.073,0.77291,3789.32796575153,0.0177,0.1013,0.041009916687966844,0.04442194026809719
World,17485.9343163164,7951149546.0,,0.568988426426397,12647.480789067,0.21489999999999998,0.3472,0.24899640755647257,0.16859272864729813
Zambia,3298.14289049328,20017675.0,0.031,0.45761,1487.90776431025,0.048,0.1038,0.007057030325323626,0.0059609725549964
Zimbabwe,2143.23757357683,16320537.0,0.06,0.32395,1266.99603069032,0.0159,0.0575,0.4610977729164618,
American Samoa,,44273.0,,0.87196,15743.3107582991,,,,
Andorra,,79824.0,,0.8781100000000001,41992.7933583772,,,,
British Virgin Islands,,31305.0,,0.49331,,,,,
Channel Islands,,174079.0,,0.31077,67960.7269955768,,,,
Cuba,,11212191.0,,0.77401,9499.59020230432,,,,
Eritrea,,3684032.0,,0.42625,643.790042311239,,,,
Faroe Islands,,53090.0,,0.42779000000000006,69010.1662014429,,,,
French Polynesia,,306279.0,,0.6217,19999.0767593202,,,,
Gibraltar,,32649.0,,1.0,,,,,
Greenland,,56661.0,,0.87727,57116.4138715706,,,,
Guam,,171774.0,,0.9509099999999999,35904.8635462723,,,,
Isle of Man,,84519.0,,0.53271,79530.6054842568,,,,
"Korea, Dem. People's Rep.",,26069416.0,,0.6291599999999999,,,,,
Liechtenstein,,39327.0,,0.14538,184083.321373984,,,,
Monaco,,36469.0,,1.0,234317.084818276,,,,
New Caledonia,,276780.0,,0.7232500000000001,36668.4253519191,,,,
Northern Mariana Islands,,49551.0,,0.91983,17302.9221368504,,,,
South Sudan,,10913164.0,0.039,0.20846,1071.77776475545,0.0085,0.0192,,
St. Martin (French part),,31791.0,,,21920.0180458218,,,,
Syrian Arab Republic,4959.392523364486,22125249.0,0.07200000000000001,0.56769,537.211361424552,0.04650000000000001,0.053899999999999997,0.538892934523133,1.470635123444696
"Venezuela, RB",,28301696.0,0.042,0.88378,15975.7293753361,0.0453,0.10890000000000001,,
Virgin Islands (U.S.),,105413.0,,0.96136,39552.1685953523,,,,
"Yemen, Rep.",,33696614.0,0.073,0.39188,676.928385042108,0.0069,0.04650000000000001,0.10912156371180483,0.0776456872282581
