country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Comoros,3245.76869721125,836774.0,0.045,0.29864,1484.8924647255,0.0815,0.1317,0.036605230329151514,0.02693787236590215
"Congo, Dem. Rep.",1132.6542327102,99010212.0,0.055,0.46837,586.464288888955,0.0069,0.0729,0.053450557039706505,0.07847734729210643
"Congo, Rep.",3210.40356747335,5970424.0,0.042,0.6873600000000001,2447.98898873051,0.0281,0.0719,0.17196905346989194,0.13940263856441454
Costa Rica,21987.276869641,5180829.0,0.045,0.82042,13198.8217168097,0.1273,0.2788,0.3221277267004191,0.22220225047787967
Cote d'Ivoire,5537.36975770251,28160542.0,0.07,0.52661,2486.41219393777,0.0313,0.0771,,
Croatia,34025.4548739132,3854000.0,0.079,0.58219,18413.2346820557,0.1675,0.30879999999999996,0.38902711975619647,0.2778019006514228
Curacao,20783.0856106631,149996.0,,0.8902500000000001,17717.5964802588,,,,
Cyprus,43620.125,1251488.0,0.085,0.66911,31283.505859375,0.14880000000000002,0.369,,
Czechia,41666.5081763121,10526073.0,0.098,0.7437699999999999,27638.3732756288,0.5569,0.6249,,
Denmark,59704.2296820244,5903037.0,0.094,0.8836700000000001,66983.1320017138,0.5135000000000001,0.7791,,
Djibouti,4991.01624391933,1120849.0,0.054000000000000006,0.7837999999999999,3136.11296031934,,,0.28575980226926323,0.0818067676553733
Dominica,11495.1304233169,72737.0,0.038,0.7170000000000001,8414.53659276775,0.44,0.44,0.5815343111319325,0.08303201352044504
Dominican Republic,19338.0151122624,11228821.0,0.065,0.83848,10120.5511632969,0.0542,0.171,0.2722953458462685,0.1485407835654331
Early-demographic dividend,9875.95904995144,3447753080.0,,0.467028242356637,4069.17601218906,,,,
East Asia & Pacific,19175.3069803964,2375143162.0,,0.622351923293464,12906.694013545,0.3165,0.49119999999999997,0.35103201672082907,0.20280597797576388
East Asia & Pacific (IDA & IBRD countries),16115.1857233123,2103055378.0,,0.591808231998497,10062.9224412061,,,,
East Asia & Pacific (excluding high income),15937.8986182453,2129112126.0,,0.592263148295869,9952.18812123202,0.2883,0.46159999999999995,,
Ecuador,10859.2178291137,18001000.0,0.047,0.6456999999999999,6391.28248430643,0.0617,0.1769,0.22853998900071207,0.13983461318529725
"Egypt, Arab Rep.",12780.7598676582,110990103.0,0.09,0.42967,4295.40749561014,0.0098,0.0526,0.1001316420283696,0.11927926146850396
El Salvador,9397.52979358838,6336392.0,0.055999999999999994,0.74767,5127.32166823012,0.024399999999999998,0.11320000000000001,0.4399562631664816,0.3331823399397837
Equatorial Guinea,14732.9178162941,1674908.0,,0.7401000000000001,7053.46708464771,,,,
Estonia,37826.0114141096,1344768.0,0.081,0.69609,28332.6290917984,0.5195000000000001,0.6831,,
Eswatini,9131.54667486853,1201670.0,0.037000000000000005,0.24576,4039.51803604474,0.0643,0.1898,0.3528713884197084,0.17459861999891046
Ethiopia,2381.16578430493,123379924.0,0.073,0.22661,1027.58591828225,0.133,0.2883,0.04717270636226079,0.03983853135902304
Euro area,47784.6348158889,344519132.0,,0.7793956262712279,40755.0473759676,0.49450000000000005,0.5634,,
Europe & Central Asia,36534.7934281262,920631231.0,,0.730523125643211,27363.874640104,0.3132,0.40340000000000004,0.41300983706255784,0.2644827529959276
Europe & Central Asia (IDA & IBRD countries),24636.278085858,457865503.0,,0.670001289317922,11324.5106744239,,,,
Europe & Central Asia (excluding high income),23007.3948406315,397493238.0,,0.6833667877705891,10376.7802480968,0.0632,0.18230000000000002,,
European Union,45712.8766489783,447956050.0,,0.754460155203597,37149.6085917605,,,,
Fiji,11962.8998842374,929766.0,0.084,0.58229,5316.65838506043,0.6,0.6,0.1971404578294418,0.17275240571617148
Finland,49586.4094271912,5556880.0,0.095,0.85681,50536.6244670541,0.47240000000000004,0.7189,,
Fragile and conflict affected situations,4195.1972177245,1019139254.0,,0.44336001405228,1857.01159963759,,,,
France,46019.6653916484,67935660.0,0.08,0.81509,40963.837337041,0.49689999999999995,0.5637,,
Gabon,13949.1551470669,2388992.0,0.06,0.90735,8820.34733810024,0.0794,0.135,0.06446669424781934,0.0503501176550926
"Gambia, The",2125.6078253378,2705992.0,0.066,0.63852,840.010193356007,0.1373,0.1859,0.0724039116819085,0.09160311087914712
Georgia,17034.2853372614,3712502.0,0.07,0.60297,6627.70698037798,0.0375,0.1047,0.7702265339712189,0.2533161842885521
Germany,53560.0910560426,84079811.0,0.079,0.77648,48432.4558732596,0.5658,0.5751,,
Ghana,5503.56886367046,33475870.0,0.047,0.5861500000000001,2175.85976967011,0.0925,0.289,0.10710753145781328,0.05923111378756041
Greece,31516.6368539514,10566531.0,0.067,0.80357,20732.0522190537,0.1547,0.33799999999999997,,
Grenada,14386.6238447014,125438.0,,0.36868,10016.2086862449,,,,
Guatemala,9162.05278751063,17357886.0,0.045,0.52666,5473.20874104102,0.0669,0.1278,0.23669434347911747,0.1467015703874342
Guinea,2699.1288547833,13859341.0,0.085,0.37668,1531.65647549394,0.0231,0.0662,0.06131110550645982,0.06878574759990168
Guinea-Bissau,1855.11197273171,2105566.0,0.078,0.45041,775.828965734682,0.0002,0.0002,,
Guyana,34420.0675052872,808726.0,0.045,0.27021999999999996,18989.7901988355,0.68,0.68,,
Haiti,2799.1125613522,11584996.0,0.055,0.5882000000000001,1748.25713234727,0.0779,0.1506,0.08115782989670628,0.02014749778490915
Heavily indebted poor countries (HIPC),2568.21717733185,884288332.0,,0.380121238962135,1097.0516591685,,,,
High income,51568.3271680081,1244899026.0,,0.816266800691417,49430.3293645734,0.47130000000000005,0.6513,0.482168516869418,0.3631597859295383
Honduras,5709.12420809714,10432860.0,0.036000000000000004,0.596,3040.17307960182,0.052000000000000005,0.1408,0.20870016081569695,0.13619397177089507
"Hong Kong SAR, China",58478.8815196858,7346100.0,,1.0,48983.623801213,0.40990000000000004,0.7179000000000001,,
Hungary,35254.5033035444,9683505.0,0.081,0.72552,18463.2085249699,0.17559999999999998,0.4143,0.8014838862560668,0.3974498322102021
IBRD only,14354.6743602737,4914355242.0,,0.574549378519509,7658.32088697013,,,,
IDA & IBRD total,11524.6442848523,6754326592.0,,0.523924022068013,5988.57279695996,,,,
IDA blend,5177.28364640117,607735968.0,,0.441520902534931,1930.61281858042,,,,
IDA only,3404.99454951412,1232235382.0,,0.36243199247651803,1330.8545441218,,,,
IDA total,3979.31071283491,1839971350.0,,0.388579816673037,1528.9727987133,,,0.13623665089975584,0.10150643819802953
Iceland,55033.2651800383,381900.0,0.09699999999999999,0.9399200000000001,72902.9799538499,0.6725,0.8145,,
India,7096.33889865174,1417173173.0,0.081,0.35872,2388.62119776762,0.0722,0.1643,,
Indonesia,12409.758854952,275501339.0,0.073,0.57934,4787.99930765134,0.1084,0.2536,,
"Iran, Islamic Rep.",15308.0032395997,88550570.0,0.06,0.76807,4387.82571517872,0.19269999999999998,0.2685,,
Iraq,9199.02069369123,44496122.0,0.08800000000000001,0.71354,5937.19546600271,0.0045000000000000005,0.0273,0.12955245270409455,0.11247385950509636
Ireland,113870.785549597,5086988.0,0.09,0.6418300000000001,104038.946076296,0.598,0.6589,,
Israel,44272.2532212696,9550600.0,0.052000000000000005,0.9276300000000001,54659.753964319,0.5141,0.6463,,
Italy,43788.2393135596,58856847.0,0.063,0.7165699999999999,34157.990122464,0.4597,0.5079,,
Jamaica,10011.8567225921,2827377.0,0.053,0.57008,6047.21646430936,0.1162,0.3231,0.21230953069448,0.18994544179035472
Japan,41641.16500512,125124989.0,0.077,0.91955,33815.3172733799,0.5523,0.6955,,
Jordan,9318.69175816212,11285869.0,0.08199999999999999,0.91827,4204.50563967692,0.0171,0.0552,0.24754125557692508,0.20254922483706264
Kazakhstan,26093.2945860375,19621972.0,0.098,0.5799,11243.6712256386,0.1568,0.2138,0.19196267665325803,0.1784986453286228
Kenya,4881.53172928637,54027487.0,0.07200000000000001,0.29002,2099.30193826696,0.1081,0.2854,0.07293397931036598,0.052675973109216734
Kiribati,2002.71821779186,131232.0,0.095,0.57058,1701.97012305233,0.0,0.0,0.09093070894468266,0.08778566987979962
"Korea, Rep.",45467.3821469188,51628117.0,0.075,0.81427,32254.6247153456,0.40990000000000004,0.7173999999999999,,
Kosovo,12469.446468256,1761985.0,0.092,,5351.43954231081,0.0548,0.1356,0.20943082790572126,0.13684443473114494
Kuwait,49168.5917087677,4268873.0,,1.0,43233.4890938984,0.2039,0.3071,,
Kyrgyz Republic,5193.70786762567,6803300.0,0.094,0.37461,1606.66807508711,0.046,0.0741,0.4186839122373028,0.2576996350854339
Lao PDR,7947.65879715444,7529475.0,0.07,0.37592,2088.37718210612,0.08810000000000001,0.2254,0.17904688054182225,0.3300482387780723
Late-demographic dividend,19079.1895031541,2325466354.0,,0.656504177557505,12074.4770230096,,,,
