iso3,year,forecast_accuracy
BRN,1990,0.461
BRN,1991,0.464
BRN,1992,0.465
BRN,1993,0.466
BRN,1994,0.46
BRN,1995,0.481
BRN,1996,0.518
BRN,1997,0.525
BRN,1998,0.554
BRN,1999,0.581
BRN,2000,0.584
BRN,2001,0.579
BRN,2002,0.591
BRN,2003,0.59
BRN,2004,0.615
BRN,2005,0.634
BRN,2006,0.6395
BRN,2007,0.645
BRN,2008,0.642
BRN,2009,0.641
BRN,2010,0.623
BRN,2011,0.615
BRN,2012,0.617
BRN,2013,0.637
BRN,2014,0.645
BRN,2015,0.662
BRN,2016,0.656
BRN,2017,0.665
BRN,2018,0.674
CAN,1987,0.389
CAN,1988,0.434
CAN,1989,0.44
CAN,1990,0.461
CAN,1991,0.464
CAN,1992,0.465
CAN,1993,0.466
CAN,1994,0.46
CAN,1995,0.481
CAN,1996,0.518
CAN,1997,0.525
CAN,1998,0.554
CAN,1999,0.581
CAN,2000,0.584
CAN,2001,0.579
CAN,2002,0.591
CAN,2003,0.59
CAN,2004,0.615
CAN,2005,0.634
CAN,2006,0.6395
CAN,2007,0.645
CAN,2008,0.642
CAN,2009,0.641
CAN,2010,0.623
CAN,2011,0.615
CAN,2012,0.617
CAN,2013,0.637
CAN,2014,0.645
CAN,2015,0.662
CAN,2016,0.656
CAN,2017,0.665
CAN,2018,0.674
CHE,1987,0.389
CHE,1988,0.434
CHE,1989,0.44
CHE,1990,0.461
CHE,1991,0.464
CHE,1992,0.465
CHE,1993,0.466
CHE,1994,0.46
CHE,1995,0.481
CHE,1996,0.518
CHE,1997,0.525
CHE,1998,0.554
CHE,1999,0.581
CHE,2000,0.584
CHE,2001,0.579
CHE,2002,0.591
CHE,2003,0.59
CHE,2004,0.615
CHE,2005,0.634
CHE,2006,0.6395
CHE,2007,0.645
CHE,2008,0.642
CHE,2009,0.641
CHE,2010,0.623
CHE,2011,0.615
CHE,2012,0.617
CHE,2013,0.637
CHE,2014,0.645
CHE,2015,0.662
CHE,2016,0.656
CHE,2017,0.665
CHE,2018,0.674
CHI,1987,0.389
CHI,1988,0.434
CHI,1989,0.44
CHI,1990,0.461
CHI,1991,0.464
CHI,1992,0.465
CHI,1993,0.466
CHI,1994,0.46
CHI,1995,0.481
CHI,1996,0.518
CHI,1997,0.525
CHI,1998,0.554
CHI,1999,0.581
CHI,2000,0.584
CHI,2001,0.579
CHI,2002,0.591
CHI,2003,0.59
CHI,2004,0.615
CHI,2005,0.634
CHI,2006,0.6395
CHI,2007,0.645
CHI,2008,0.642
CHI,2009,0.641
CHI,2010,0.623
CHI,2011,0.615
CHI,2012,0.617
CHI,2013,0.637
CHI,2014,0.645
CHI,2015,0.662
CHI,2016,0.656
CHI,2017,0.665
CHI,2018,0.674
CHL,1987,0.389
CHL,1988,0.434
CHL,1989,0.44
CHL,1990,0.461
CHL,1991,0.464
CHL,1992,0.465
CHL,1993,0.466
CHL,1994,0.46
CHL,1995,0.481
CHL,1996,0.518
CHL,1997,0.525
CHL,1998,0.554
CHL,1999,0.581
CHL,2000,0.584
CHL,2001,0.579
CHL,2002,0.591
CHL,2003,0.59
CHL,2004,0.615
CHL,2005,0.634
CHL,2006,0.6395
CHL,2007,0.645
CHL,2008,0.642
CHL,2009,0.641
CHL,2010,0.623
CHL,2011,0.615
CHL,2012,0.617
CHL,2013,0.637
CHL,2014,0.645
CHL,2015,0.662
CHL,2016,0.656
CHL,2017,0.665
CHL,2018,0.674
CUW,1987,0.389
CUW,1988,0.434
CUW,1989,0.44
CUW,1990,0.461
CUW,1991,0.464
CUW,1992,0.465
CUW,1993,0.466
CUW,1994,0.46
CUW,1995,0.481
CUW,1996,0.518
CUW,1997,0.525
CUW,1998,0.554
CUW,1999,0.581
CUW,2000,0.584
CUW,2001,0.579
CUW,2002,0.591
CUW,2003,0.59
CUW,2004,0.615
CUW,2005,0.634
CUW,2006,0.6395
CUW,2007,0.645
CUW,2008,0.642
CUW,2009,0.641
CUW,2010,0.623
CUW,2011,0.615
CUW,2012,0.617
CUW,2013,0.637
CUW,2014,0.645
CUW,2015,0.662
CUW,2016,0.656
CUW,2017,0.665
CUW,2018,0.674
CYM,1987,0.389
CYM,1988,0.434
CYM,1989,0.44
CYM,1990,0.461
CYM,1991,0.464
CYM,1992,0.465
CYM,1993,0.466
CYM,1994,0.46
CYM,1995,0.481
CYM,1996,0.518
CYM,1997,0.525
CYM,1998,0.554
CYM,1999,0.581
CYM,2000,0.584
CYM,2001,0.579
CYM,2002,0.591
CYM,2003,0.59
CYM,2004,0.615
CYM,2005,0.634
CYM,2006,0.6395
CYM,2007,0.645
CYM,2008,0.642
CYM,2009,0.641
CYM,2010,0.623
CYM,2011,0.615
CYM,2012,0.617
CYM,2013,0.637
CYM,2014,0.645
CYM,2015,0.662
CYM,2016,0.656
CYM,2017,0.665
CYM,2018,0.674
CYP,1987,0.389
CYP,1988,0.434
CYP,1989,0.44
CYP,1990,0.461
CYP,1991,0.464
CYP,1992,0.465
CYP,1993,0.466
CYP,1994,0.46
CYP,1995,0.481
CYP,1996,0.518
CYP,1997,0.525
CYP,1998,0.554
CYP,1999,0.581
CYP,2000,0.584
CYP,2001,0.579
CYP,2002,0.591
CYP,2003,0.59
CYP,2004,0.615
CYP,2005,0.634
CYP,2006,0.6395
CYP,2007,0.645
CYP,2008,0.642
CYP,2009,0.641
CYP,2010,0.623
CYP,2011,0.615
CYP,2012,0.617
CYP,2013,0.637
CYP,2014,0.645
CYP,2015,0.662
CYP,2016,0.656
CYP,2017,0.665
CYP,2018,0.674
CZE,1987,0.389
CZE,1988,0.434
CZE,1989,0.44
CZE,1990,0.461
CZE,1991,0.464
CZE,1992,0.465
CZE,1993,0.466
CZE,1994,0.46
CZE,1995,0.481
CZE,1996,0.518
CZE,1997,0.525
CZE,1998,0.554
CZE,1999,0.581
CZE,2000,0.584
CZE,2001,0.579
CZE,2002,0.591
CZE,2003,0.59
CZE,2004,0.615
CZE,2005,0.634
CZE,2006,0.6395
CZE,2007,0.645
CZE,2008,0.642
CZE,2009,0.641
CZE,2010,0.623
CZE,2011,0.615
CZE,2012,0.617
CZE,2013,0.637
CZE,2014,0.645
CZE,2015,0.662
CZE,2016,0.656
CZE,2017,0.665
CZE,2018,0.674
DEU,1987,0.389
DEU,1988,0.434
DEU,1989,0.44
DEU,1990,0.461
DEU,1991,0.464
DEU,1992,0.465
DEU,1993,0.466
DEU,1994,0.46
DEU,1995,0.481
DEU,1996,0.518
DEU,1997,0.525
DEU,1998,0.554
DEU,1999,0.581
DEU,2000,0.584
DEU,2001,0.579
DEU,2002,0.591
DEU,2003,0.59
DEU,2004,0.615
DEU,2005,0.634
DEU,2006,0.6395
DEU,2007,0.645
DEU,2008,0.642
DEU,2009,0.641
DEU,2010,0.623
DEU,2011,0.615
DEU,2012,0.617
DEU,2013,0.637
DEU,2014,0.645
DEU,2015,0.662
DEU,2016,0.656
DEU,2017,0.665
DEU,2018,0.674
DNK,1987,0.389
DNK,1988,0.434
DNK,1989,0.44
DNK,1990,0.461
DNK,1991,0.464
DNK,1992,0.465
DNK,1993,0.466
DNK,1994,0.46
DNK,1995,0.481
DNK,1996,0.518
DNK,1997,0.525
DNK,1998,0.554
DNK,1999,0.581
DNK,2000,0.584
DNK,2001,0.579
DNK,2002,0.591
DNK,2003,0.59
DNK,2004,0.615
DNK,2005,0.634
DNK,2006,0.6395
DNK,2007,0.645
DNK,2008,0.642
DNK,2009,0.641
DNK,2010,0.623
DNK,2011,0.615
DNK,2012,0.617
DNK,2013,0.637
DNK,2014,0.645
DNK,2015,0.662
DNK,2016,0.656
DNK,2017,0.665
DNK,2018,0.674
ESP,1987,0.389
ESP,1988,0.434
ESP,1989,0.44
ESP,1990,0.461
ESP,1991,0.464
ESP,1992,0.465
ESP,1993,0.466
ESP,1994,0.46
ESP,1995,0.481
ESP,1996,0.518
ESP,1997,0.525
ESP,1998,0.554
ESP,1999,0.581
ESP,2000,0.584
ESP,2001,0.579
ESP,2002,0.591
ESP,2003,0.59
ESP,2004,0.615
ESP,2005,0.634
ESP,2006,0.6395
ESP,2007,0.645
ESP,2008,0.642
ESP,2009,0.641
ESP,2010,0.623
ESP,2011,0.615
ESP,2012,0.617
ESP,2013,0.637
ESP,2014,0.645
ESP,2015,0.662
ESP,2016,0.656
ESP,2017,0.665
ESP,2018,0.674
EST,1987,0.389
EST,1988,0.434
