country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier_Gamma,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belarus,19132.2703879485,9208701.0,0.103,0.80326,7904.85624285517,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5583333333333333,0.3864445367538237,1.0,0.4640681004056802,1.4952534211794433,68.45027863843215,630338149.3480088,6.214834737705453e-07,5.723055486394295,17.48856728162489,0.25104000000000004,95661.35193974251,68.45027863843215,102.35051331480183,102.35051331480183,68.45027863843215,6.214834737705453e-07,0.005088617633930993,0.9999999999999998,17.488567281624892,42.71291873395496,17.488567281624885,247542.25468758936,3.392406098291642,3.2,0.48090961740322646,1.8799999999999997,1.6393599999999995,111.91174493762293,1030561797.5188332,0.005849370862337206,0.6116451734050325,0.0035777394554045855
Belgium,53155.91101043156,11669446.0,0.094,0.98153,49582.8253649187,5,0.2,1.5,0.06,0.8,0.05,0.0,0.4333333333333333,0.2166915174374667,1.0,0.4883456199899999,1.2377188200249298,31.481674659293446,367373702.42619324,5.182619504158348e-08,0.6047829844232262,0.0,0.6054399999999999,265779.55505215784,31.481674659293446,38.96546121170942,38.96546121170942,31.481674659293446,5.182619504158348e-08,0.00045875789873799734,1.0,0.0,11.82654798223183,0.0,1226534.1910712174,3.3990767471997887,0.0,0.5127967019999999,1.5399999999999996,1.5399999999999996,43.22304308839,504388967.2756403,0.0008131370955133797,0.7283539614486245,0.0005922516247179986
Belize,9697.9330494303,405272.0,0.0321,0.46396,6968.36158480889,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.9615481265045698,1.0,0.15099820343099518,2.3677508542469914,133.9507633089827,54286493.74775802,7.266213213753225e-06,2.9447927615641976,0.0,0.25434,48489.66524715149,133.9507633089827,317.1620342518803,317.1620342518803,133.9507633089827,7.266213213753225e-06,0.04909535293183178,1.0,0.0,19.63180457711239,0.0,50428.7449692421,3.3185492445735854,0.0,0.1998086050946703,1.542047829611466,1.542047829611466,472.17538592963854,191359463.00647646,0.04868824970464982,0.28368857695801925,0.013812300273288808
Benin,3435.17182729466,13352864.0,0.07,0.49534,1303.22201358944,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.0776962909137103,1.4100049693272154,8.86232519483532,118337423.05040954,1.3729042021782606e-06,18.332203096714817,0.5064775348775082,0.051039999999999995,17175.859136473297,8.86232519483532,12.495922564511583,12.495922564511583,8.86232519483532,1.3729042021782606e-06,0.0015758525854975892,1.0,0.5064775348775082,3.0388652092650497,0.5064775348775082,52008.13434751726,3.397852728514365,1.6000000000000003,0.07417965212182365,3.393739601658167,3.1765402671520446,18.807637576716054,251135826.72317904,0.005475020907914189,0.4712088458045853,0.0025798782827742175
Bhutan,10907.856709608399,782455.0,0.088,0.43686,3266.36277371286,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.1855753942784819,1.0,0.044871903314699105,1.190512128800842,250.86909137205862,196293774.8895241,4.622357726659312e-06,3.6167869150132117,20.29764493728894,0.24764,54539.28354804198,250.86909137205862,298.6626960196824,298.6626960196824,250.86909137205862,4.622357726659312e-06,0.006964772895355972,1.0,20.29764493728894,89.88699781479818,20.29764493728894,293892.86095870094,3.389045494651565,2.4000000000000004,0.044346892649163236,3.395562306575224,3.069588325144002,358.30031902506045,280353876.1227537,0.032847912157614303,0.7001642980801036,0.02299893535923292
Bolivia,8201.183798863918,12224110.0,0.053,0.7082999999999999,3523.27373305196,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.4583333333333333,0.4218342004210295,1.0,0.327103753565012,1.5489435584991276,40.43649675278411,494300184.3206757,1.581143229384327e-06,19.328068761749247,3.0822458065562834,0.23109999999999994,41005.91899431959,40.43649675278411,62.63385117349583,62.63385117349583,40.43649675278411,1.581143229384327e-06,0.00549652731587565,0.9999999999999998,3.0822458065562834,12.609187390457524,3.0822458065562834,97208.61645023542,3.3909556559548024,2.4000000000000004,0.34199898297673087,2.2554168467144113,2.0388968294298273,79.9061444052588,976781498.8857682,0.00974324516618295,0.5060499045943567,0.00493056828678631
Bosnia and Herzegovina,16703.456424590695,3233526.0,0.075,0.49841,7585.37500171521,5,0.2,1.5,0.06,0.8,0.05,0.0,0.1375,0.3239322323570031,1.0,0.18987425548514383,1.4004151588326512,100.83281990571334,326045544.81844157,1.2193389913286928e-06,3.9427643312751037,0.0,0.21569999999999992,83517.28212295347,100.83281990571334,141.20780950380367,141.20780950380367,100.83281990571334,1.2193389913286928e-06,0.004266731753445783,1.0,0.0,41.610004536874285,0.0,257823.3154362662,3.3914657203888514,0.0,0.19924569982633608,2.4663824910999996,2.4663824910999996,179.10680453314473,579146509.2348413,0.010722739053544938,0.562975930303383,0.006036643994069878
Botswana,15518.0298701635,2630296.0,0.039,0.72224,7737.65468112589,5,0.2,1.5,0.06,0.8,0.05,0.6,0.6958333333333333,0.2811780767140953,1.0,0.1595287439842362,1.33555225114749,43.79628363861698,115197189.6695197,5.4976051037295e-07,1.4460328713919288,2.5304531719564043,0.19782,77590.14935081749,43.79628363861698,58.49222520544888,58.49222520544888,43.79628363861698,5.4976051037295e-07,0.001384246771377677,1.0,2.5304531719564043,6.060965681332705,2.5304531719564043,275946.65365647245,3.39776677252884,3.2000000000000006,0.18538860849715122,3.266403415957444,2.8483037787148913,72.31019946432919,190197228.4102272,0.004659753852089171,0.6056722836205396,0.0028222837567044544
Brazil,15093.465117066102,215313498.0,0.033,0.87555,8917.67389796927,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5416666666666666,0.265575010187584,1.0,0.2288644231746908,1.3118806279217272,27.942066250620933,6016304025.768938,3.6067956683843465e-07,77.65917919310816,1.7130226174413392,0.24343999999999996,75467.32558533049,27.942066250620936,36.656655418295095,36.656655418295095,27.942066250620933,3.6067956683843465e-07,0.0007998110648738608,1.0,1.713022617441339,3.6490422620052203,1.713022617441339,284165.7636839609,3.3988599059956552,0.8000000000000002,0.24066267061877888,3.3026515399850975,3.196966690705574,45.506551696700555,9798174827.734432,0.0030149837259865883,0.6140229309584639,0.0018512691442223552
Bulgaria,26823.02077077741,6465097.0,0.061,0.76363,13772.476794451,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7083333333333334,0.3230784715072762,1.0,0.4508913836449999,1.3991199067022253,59.8491301960228,386930432.0829164,3.1342347718500017e-07,2.026313182078313,7.063155719674607,0.27558,134115.10385388706,59.8491301960228,83.73610945606876,83.73610945606876,59.8491301960228,3.1342347718500017e-07,0.0019296198690759358,1.0,7.063155719674607,14.95727093578152,7.063155719674607,415116.1890428424,3.3969297778611525,3.2000000000000006,0.483747084,2.2295733835999996,1.9441879904991994,93.66515295683689,605554299.3857874,0.003491968848597443,0.6389690114914208,0.002231259883347143
