iso3,income_cat,social
GMB,q5,0.09835058351050013
GEO,q1,0.5302462396758567
GEO,q2,0.2699008322651876
GEO,q3,0.2699008322651876
GEO,q4,0.2699008322651876
GEO,q5,0.2699008322651876
DEU,q1,0.4179661625746754
DEU,q2,0.33934087701982585
DEU,q3,0.33934087701982585
DEU,q4,0.33934087701982585
DEU,q5,0.33934087701982585
GHA,q1,0.2004196094687326
GHA,q2,0.12603042281399587
GHA,q3,0.12603042281399587
GHA,q4,0.12603042281399587
GHA,q5,0.12603042281399587
GRC,q1,0.3629135459237781
GRC,q2,0.3079366658474101
GRC,q3,0.3079366658474101
GRC,q4,0.3079366658474101
GRC,q5,0.3079366658474101
GRD,q1,0.2501571844322594
GRD,q2,0.14939263983742432
GRD,q3,0.14939263983742432
GRD,q4,0.14939263983742432
GRD,q5,0.14939263983742432
GTM,q1,0.1319328809016099
GTM,q2,0.09456276472201051
GTM,q3,0.09456276472201051
GTM,q4,0.09456276472201051
GTM,q5,0.09456276472201051
GIN,q1,0.07831207766326354
GIN,q2,0.08578725011387899
GIN,q3,0.08578725011387899
GIN,q4,0.08578725011387899
GIN,q5,0.08578725011387899
GUY,q1,0.2036614222208628
GUY,q2,0.1251014745296088
GUY,q3,0.1251014745296088
GUY,q4,0.1251014745296088
GUY,q5,0.1251014745296088
HTI,q1,0.033306941989268396
HTI,q2,0.048472541493354795
HTI,q3,0.048472541493354795
HTI,q4,0.048472541493354795
HTI,q5,0.048472541493354795
HND,q1,0.07111719313670245
HND,q2,0.08729179770384216
HND,q3,0.08729179770384216
HND,q4,0.08729179770384216
HND,q5,0.08729179770384216
HKG,q1,0.3330739344673478
HKG,q2,0.19065429805161624
HKG,q3,0.19065429805161624
HKG,q4,0.19065429805161624
HKG,q5,0.19065429805161624
HUN,q1,0.5573562875746425
HUN,q2,0.32720422771956914
HUN,q3,0.32720422771956914
HUN,q4,0.32720422771956914
HUN,q5,0.32720422771956914
ISL,q1,0.39928507106699895
ISL,q2,0.2575741627562805
ISL,q3,0.2575741627562805
