iso3,income_cat,income_share,transfers
BLR,0.2,0.10289710289710291,0.6060596860676949
BLR,0.4,0.14485514485514486,0.5561273681246781
BLR,0.6,0.17982017982017984,0.5010439445740557
BLR,0.8,0.2247752247752248,0.43975997890883983
BLR,1.0,0.34765234765234765,0.2987825677412729
BLZ,0.2,0.057942057942057944,0.4203675239970898
BLZ,0.4,0.1048951048951049,0.2503314188213271
BLZ,0.6,0.15184815184815187,0.12318911464867449
BLZ,0.8,0.2227772227772228,0.1128746021275878
BLZ,1.0,0.46253746253746253,0.08676075092224024
BOL,0.2,0.052000000000000005,0.24134021179388956
BOL,0.4,0.1,0.14475880152242707
BOL,0.6,0.14800000000000002,0.11366495735886371
BOL,0.8,0.223,0.10934330168048018
BOL,1.0,0.47700000000000004,0.1311088476883212
BRA,0.2,0.037000000000000005,0.3508706718680682
BRA,0.4,0.078,0.25896854608192155
BRA,0.6,0.125,0.23756416200426667
BRA,0.8,0.19399999999999998,0.20560091976075454
BRA,1.0,0.5660000000000001,0.16529922388237867
BRB,0.2,0.069,0.24890777042750256
BRB,0.4,0.122,0.20178848220804027
BRB,0.6,0.16899999999999998,0.18740093220913606
BRB,0.8,0.228,0.16456313025391464
BRB,1.0,0.41200000000000003,0.13413365268822555
BTN,0.2,0.08800000000000001,0.025006941382396324
BTN,0.4,0.135,0.030386617338598827
BTN,0.6,0.17600000000000002,0.030772301965408404
BTN,0.8,0.228,0.024978237363412745
BTN,1.0,0.373,0.02361395454791128
BWA,0.2,0.036963036963036974,0.26882742460662684
BWA,0.4,0.06693306693306694,0.19144254293557392
BWA,0.6,0.10689310689310691,0.1749319628090712
BWA,0.8,0.19080919080919084,0.1276403919493515
BWA,1.0,0.5984015984015985,0.10796964632053228
CAN,0.2,0.08208208208208208,0.507346757901028
CAN,0.4,0.12912912912912913,0.4252923478482107
CAN,0.6,0.17117117117117117,0.3992179488254085
CAN,0.8,0.22622622622622623,0.3399765320555115
CAN,1.0,0.3913913913913914,0.23146616916269913
CHE,0.2,0.0740740740740741,0.7009750625788653
CHE,0.4,0.12312312312312315,0.534083274958622
CHE,0.6,0.1661661661661662,0.5091082408128542
CHE,0.8,0.22122122122122126,0.42293045811017976
CHE,1.0,0.41541541541541543,0.27137215571731493
CHL,0.2,0.059000000000000004,0.34212804103058114
CHL,0.4,0.099,0.3149570686617537
CHL,0.6,0.14,0.3213131418336465
CHL,0.8,0.203,0.2755395078368465
CHL,1.0,0.499,0.151102859084683
CHN,0.2,0.073,0.3899989147383903
CHN,0.4,0.114,0.27093470234510597
CHN,0.6,0.157,0.2612948353285692
CHN,0.8,0.21899999999999997,0.28315311394818254
CHN,1.0,0.43700000000000006,0.2377535250283438
CIV,0.2,0.076,0.03679077640534683
CIV,0.4,0.11599999999999999,0.06657735769563083
CIV,0.6,0.157,0.056717884503072566
CIV,0.8,0.218,0.06171617383189418
CIV,1.0,0.433,0.0877581195960228
CMR,0.2,0.05394605394605396,0.025294597711188915
CMR,0.4,0.09590409590409592,0.03704805754307722
CMR,0.6,0.14685314685314685,0.03789736478281931
CMR,0.8,0.2247752247752248,0.05047050742264473
CMR,1.0,0.4785214785214786,0.07072534721670155
COD,0.2,0.05494505494505495,0.05345055530108385
COD,0.4,0.09590409590409592,0.0689770640013149
COD,0.6,0.13686313686313686,0.06701325786866628
COD,0.8,0.2017982017982018,0.05932291398732298
COD,1.0,0.5104895104895105,0.09807707819959856
COG,0.2,0.042,0.17186083328505672
COG,0.4,0.08199999999999999,0.1436947198937784
COG,0.6,0.132,0.18424638183927722
COG,0.8,0.207,0.1303312074613257
COG,1.0,0.537,0.132173222812957
COL,0.2,0.03403403403403403,0.08520360915107862
COL,0.4,0.07207207207207207,0.060398548628172684
COL,0.6,0.1151151151151151,0.06906200570789559
COL,0.8,0.19119119119119118,0.0985763089938456
COL,1.0,0.5875875875875876,0.1291499500553562
COM,0.2,0.045,0.03839734754695571
COM,0.4,0.091,0.06024434388089915
COM,0.6,0.139,0.05406661137590864
COM,0.8,0.222,0.07407083476371956
COM,1.0,0.503,0.07846676575920533
CPV,0.2,0.05699999999999999,0.11215629372637398
CPV,0.4,0.09699999999999996,0.1303079093709367
CPV,0.6,0.143,0.11246781643677331
CPV,0.8,0.21599999999999997,0.10331161469398009
CPV,1.0,0.48699999999999993,0.07129851187441198
CRI,0.2,0.04595404595404596,0.34072428314754105
CRI,0.4,0.08791208791208793,0.2702825844025713
CRI,0.6,0.13786213786213788,0.2268066631964412
CRI,0.8,0.21778221778221782,0.211629275897034
CRI,1.0,0.5104895104895105,0.23066484409122423
CYP,0.2,0.08591408591408592,0.5549794383635486
CYP,0.4,0.12687312687312688,0.4139944456741587
CYP,0.6,0.16483516483516486,0.3884392455128001
CYP,0.8,0.2167832167832168,0.3348084815875289
CYP,1.0,0.4055944055944057,0.23206497706638218
CZE,0.2,0.095,0.5130653809799451
CZE,0.4,0.147,0.39420894889004815
CZE,0.6,0.18100000000000002,0.3680651310885715
CZE,0.8,0.222,0.3265627556932367
CZE,1.0,0.355,0.23003031830114817
DEU,0.2,0.07792207792207793,0.6522175339218671
DEU,0.4,0.1278721278721279,0.5157060609493278
DEU,0.6,0.16983016983016985,0.4788096412008523
DEU,0.8,0.2247752247752248,0.42333313916987436
