iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,income_share,transfers,findex,WRP_prepare_scaleup,WRP_ew,HFA,finance_pre,ew,prepare_scaleup,borrowing_ability,avg_prod_k,k_pub_share,self_employment,real_estate_share_of_value_added,home_ownership_rate,hazard_loss,gem_building_classes,gmd_vulnerability_rel,exposure_bias,flopros
NLD,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,imputed,available
NOR,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
NPL,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
PAK,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
PAN,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,imputed,available
PER,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
PHL,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
POL,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
PRT,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
PRY,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
ROU,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUS,available,available,available,available,available,available,available,available,available,available,available,available,,imputed,available,available,available,available,available,available,available,imputed,available,available,,imputed,available
RWA,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
SDN,available,available,available,available,available,available,available,available,imputed,available,,,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
SEN,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
SLE,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
SLV,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,imputed,available
SRB,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
