iso3,ew,prepare_scaleup,finance_pre
DMA,0.6009074332656212,0.5020893021045503,0.6666666666666666
DNK,0.7946013699842172,0.6982914904907482,0.8333333333333334
DOM,0.8114523226201735,0.5853167226634055,0.6666666666666666
DZA,0.43032729633452127,0.8,1.0
ECU,0.5041280465060598,0.563095812503476,0.6666666666666666
EGY,0.661233132045334,0.6082203936160391,0.6666666666666666
ERI,0.6183853286347508,0.6333333333333333,0.6666666666666666
ESP,0.846283972014659,0.6061794448483766,0.8333333333333334
EST,0.5575839205548966,0.36610174501903453,0.8333333333333334
ETH,0.8,0.7333333333333333,0.8333333333333334
FIN,0.9111164864944634,0.6963851362078851,0.8333333333333334
FJI,1.0,1.0,1.0
FRA,0.8331997399350071,0.5654372974328619,1.0
FRO,0.7794301766653018,0.598726219230438,0.8333333333333334
FSM,0.6000000000000001,0.4666666666666667,0.6666666666666666
GAB,0.29348890003071043,0.4267726317339799,0.8333333333333334
GBR,0.892841058757993,0.642071262418551,0.8333333333333334
GEO,0.3753251800319887,0.4799341211716937,0.8333333333333334
GHA,0.6733557627182511,0.5975740580549966,0.8333333333333334
GIB,0.7794301766653018,0.598726219230438,0.8333333333333334
GIN,0.4747194246428278,0.491227769978424,0.6666666666666666
GMB,0.8,0.6666666666666667,0.8333333333333334
GNB,0.2,0.2,0.3333333333333333
GNQ,0.731215591759893,0.5742250470100161,0.8333333333333334
GRC,0.7755713147866197,0.5450174951544926,0.8333333333333334
GRD,0.6000000000000001,0.6666666666666667,0.5
GRL,0.7794301766653018,0.598726219230438,0.8333333333333334
GTM,0.4,0.4666666666666667,0.6666666666666666
GUM,0.8,0.5890552972778644,0.8333333333333334
GUY,0.6578685065745702,0.6666666666666667,0.8333333333333334
HKG,0.9461521602981363,0.5058413662501987,0.8333333333333334
HND,0.5335129090244716,0.2604377998089767,0.8333333333333334
HRV,0.4877557045058928,0.46871646681844575,0.6666666666666666
HTI,0.6000000000000001,0.5333333333333333,0.5
HUN,0.7762924710809507,0.6448860437011493,0.8333333333333334
IDN,0.7309248779754527,0.7011917233988042,0.6666666666666666
IMN,0.7794301766653018,0.598726219230438,0.8333333333333334
IND,0.766967178241663,0.7738320593043702,1.0
IRL,0.8874838915392584,0.5127947441090477,0.8333333333333334
IRN,0.436906467022161,0.5945261939061661,0.8333333333333334
IRQ,0.5997007123556064,0.2611828188184946,0.5
ISL,0.6029074554510778,0.6291541148918254,0.8333333333333334
ISR,0.7978486816808547,0.3037350504261213,0.6666666666666666
ITA,0.7794301766653018,0.6623002024068627,0.8333333333333334
JAM,0.6743522248897015,0.4576234933087918,0.6666666666666666
JOR,0.7056089058662753,0.5705707672674138,0.5
JPN,0.7847495148207655,0.5890552972778644,0.8333333333333334
KAZ,0.6738272052386438,0.4874772623375023,1.0
KEN,0.5578241153792867,0.6358429590097112,0.6666666666666666
KGZ,0.7058183781805074,0.43921454752004147,0.6666666666666666
KHM,0.7846112896711102,0.5837992166802645,0.6666666666666666
KIR,0.6000000000000001,0.5,0.6666666666666666
KNA,0.8,0.6666666666666667,0.6666666666666666
KOR,0.9462272774829674,0.6918635585867663,1.0
KWT,0.6989243408404273,0.6,0.6666666666666666
LAO,0.7068764904028856,0.5617039206533438,0.3333333333333333
LBN,0.532533392684082,0.3565122472738893,0.5
LBR,0.6183853286347508,0.6333333333333333,0.6666666666666666
LBY,0.4998503561778032,0.36392474274258063,0.41666666666666663
LCA,0.6000000000000001,0.4666666666666667,0.6666666666666666
LIE,0.7794301766653018,0.598726219230438,0.8333333333333334
LKA,0.7103604589213257,0.5388648938202181,0.6666666666666666
LSO,0.4,0.4,0.3333333333333333
LTU,0.7972502168183648,0.30008560690056596,0.8333333333333334
LUX,0.7794301766653018,0.598726219230438,0.8333333333333334
LVA,0.671589012271618,0.24530640611584603,0.8333333333333334
MAC,0.8,0.5890552972778644,0.8333333333333334
MAF,0.6578685065745702,0.6666666666666667,0.8333333333333334
MAR,0.5753945467297013,0.6986300833767103,1.0
MCO,0.6000000000000001,0.4,0.3333333333333333
MDA,0.6223527965733269,0.4660296594661768,0.5
MDG,0.4,0.6,0.5
MDV,0.4,0.6,0.6666666666666666
MEX,0.6860471970938798,0.45896844343331944,0.8333333333333334
MHL,0.4,0.4,0.6666666666666666
MKD,0.44988888784476444,0.48001441815385143,0.6666666666666666
MLI,0.7149322843255466,0.5736654482148582,0.6666666666666666
MLT,0.5965723721362046,0.575217762675083,0.6666666666666666
