iso3,REM,UNE,GDP_{pc},gini_index,exp_SP_including_health_GDP,exp_health_GDP,SOC,name,region,income_group,FSY,0.2,0.4,0.6,0.8,1.0
GRD,5.04784683964568,,17742.1755724633,43.8,6.811887741,2.220000029,4.591887951,Grenada,LAC,UMICs,False,,,,,
GTM,19.1249171168734,2.219,12640.8871117101,45.2,4.953453064,2.329999924,2.62345314,Guatemala,LAC,UMICs,False,23.66943452334198,25.419953929588697,28.09794703874563,15.01241082794034,12.623458897628367
GUY,2.41585770681161,10.165,70297.4030938909,,5.827754021,3.339999914,2.487753868,Guyana,LAC,HICs,False,,,,,
HKG,0.11359354951797,2.793,66171.3583247294,,3.922949791,,3.922949791,"Hong Kong SAR, China",EAP,HICs,False,,,,,
HND,25.6991309025944,6.061,6585.85535717861,45.7,4.972523689,3.440000057,1.53252387,Honduras,LAC,LMICs,False,15.020917539254143,14.004760390147572,12.400982865903785,11.325424770190102,9.6550277461003
HRV,7.28360191137075,5.236,42633.7666808329,30.1,20.87405014,6.809999943,14.06404972,Croatia,ECA,HICs,True,38.902711975619646,29.219201738244415,28.723955691808722,28.060705752563347,26.69112622817767
HTI,15.4613702675998,15.058,2800.66106636594,41.1,1.559999943,0.430000007,1.129999995,Haiti,LAC,LMICs,False,,,,,
HUN,2.34955717510195,4.434,40702.1535135968,30.6,18.41973114,5.329999924,13.08973026,Hungary,ECA,HICs,False,80.1483887853249,59.79259492106787,55.21780349049894,45.18160697343086,25.96471776322369
IDN,1.14863323387459,3.3,14470.4372020578,34.9,3.659356356,2.200000048,1.459356308,Indonesia,EAP,UMICs,False,,,,,
IND,3.5186704980628,4.202,9817.07082097048,25.5,5.077910423,1.120000005,3.957910538,India,SAR,LMICs,False,9.81025232848545,6.557741726052919,5.697014541854575,5.008646167100113,3.3230672414679536
IRL,0.103915991885666,4.369,115337.166701374,29.0,13.77259827,5.199999809,8.572598457,Ireland,ECA,HICs,False,,,,,
IRN,0.549653727814696,9.192,16224.0353445835,35.9,12.03383636,3.190000057,8.843836784,"Iran, Islamic Rep.",MNA,UMICs,False,21.141338773536738,59.42219533262565,39.028921141078946,25.996684557418213,12.426659304058756
IRQ,0.314477906673579,15.524,12725.0431260393,29.8,9.489999914,2.589999914,6.9,Iraq,MNA,UMICs,False,12.955245779273072,11.363899866469897,11.48674271588352,10.826467804127962,11.341471469524693
ISL,0.735371524876057,3.107,65645.094856754,26.8,19.33005905,8.140000343,11.19005775,Iceland,ECA,HICs,False,,,,,
ISR,0.176227865346397,3.15,47338.8424624205,37.9,16.06368256,5.389999866,10.67368317,Israel,MNA,HICs,False,,,,,
ITA,0.469989444275154,6.778,53115.1350996573,34.3,30.38153839,7.079999924,23.30153847,Italy,ECA,HICs,False,,,,,
